順位(プライム内),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
297,1088,3028,(株)アルペン,東証PRM,"2,072",-2,-0.1,"104,200",04/03
298,1093,4523,エーザイ(株),東証PRM,"5,027",-5,-0.1,"742,700",04/03
299,1096,6539,(株)ＭＳ－Ｊａｐａｎ,東証PRM,985,-1,-0.1,"53,600",04/03
300,1099,9008,京王電鉄(株),東証PRM,809.4,-0.8,-0.1,"1,546,800",04/03
301,1104,4661,(株)オリエンタルランド,東証PRM,"2,732.5",-2.5,-0.09,"1,704,800",04/03
302,1106,9045,京阪ホールディングス(株),東証PRM,"3,368",-3,-0.09,"226,500",04/03
303,1108,2692,伊藤忠食品(株),東証PRM,"12,980",-10,-0.08,"51,300",04/03
304,1113,6143,(株)ソディック,東証PRM,"1,258",-1,-0.08,"243,900",04/03
305,1114,6445,(株)ジャノメ,東証PRM,"1,330",-1,-0.08,"26,100",04/03
306,1121,4956,コニシ(株),東証PRM,"1,387",-1,-0.07,"44,700",04/03
307,1124,6787,(株)メイコー,東証PRM,"26,670",-20,-0.07,"505,600",04/03
308,1125,7322,(株)三十三フィナンシャルグループ,東証PRM,"1,516",-1,-0.07,"281,500",04/03
309,1126,7482,(株)シモジマ,東証PRM,"1,394",-1,-0.07,"28,000",04/03
310,1128,8052,椿本興業(株),東証PRM,"2,720",-2,-0.07,"27,200",04/03
311,1130,2810,ハウス食品グループ本社(株),東証PRM,"3,105",-2,-0.06,"93,600",04/03
312,1132,4569,杏林製薬(株),東証PRM,"1,695",-1,-0.06,"73,200",04/03
313,1135,8541,(株)愛媛銀行,東証PRM,"1,609",-1,-0.06,"95,700",04/03
314,1138,5011,ニチレキグループ(株),東証PRM,"2,167",-1,-0.05,"23,600",04/03
315,1143,1925,大和ハウス工業(株),東証PRM,"5,007",-2,-0.04,"715,100",04/03
316,1144,2410,(株)キャリアデザインセンター,東証PRM,"2,466",-1,-0.04,"22,200",04/03
317,1145,2915,ケンコーマヨネーズ(株),東証PRM,"2,247",-1,-0.04,"19,000",04/03
318,1147,50765,インフロニア・ホールディングス（株）第1回社債型種類株式,東証PRM,"4,630",-2,-0.04,"8,000",04/03
319,1149,8075,神鋼商事(株),東証PRM,"2,378",-1,-0.04,"29,800",04/03
320,1151,8934,サンフロンティア不動産(株),東証PRM,"2,685",-1,-0.04,"162,900",04/03
321,1152,3150,(株)グリムス,東証PRM,"2,881",-1,-0.03,"77,700",04/03
322,1153,8341,(株)七十七銀行,東証PRM,"3,211",-1,-0.03,"715,900",04/03
