順位(プライム内),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
67,387,2802,味の素(株),東証PRM,"4,612",-47,-1.01,"1,990,300",04/03
68,393,7261,マツダ(株),東証PRM,"1,035",-10.5,-1.0,"6,967,800",04/03
69,397,7294,(株)ヨロズ,東証PRM,900,-9,-0.99,"39,000",04/03
70,410,4974,タカラバイオ(株),東証PRM,"1,139",-11,-0.96,"268,400",04/03
71,414,3104,富士紡ホールディングス(株),東証PRM,"3,645",-35,-0.95,"165,000",04/03
72,415,5832,(株)ちゅうぎんフィナンシャルグループ,東証PRM,"2,984.5",-28.5,-0.95,"387,200",04/03
73,417,8364,(株)清水銀行,東証PRM,"2,502",-24,-0.95,"29,700",04/03
74,418,9020,東日本旅客鉄道(株),東証PRM,"3,640",-35,-0.95,"1,613,600",04/03
75,423,8361,(株)大垣共立銀行,東証PRM,"6,290",-60,-0.94,"123,500",04/03
76,427,9247,ＴＲＥホールディングス(株),東証PRM,"1,592",-15,-0.93,"216,000",04/03
77,428,4046,(株)大阪ソーダ,東証PRM,"1,730",-16,-0.92,"584,500",04/03
78,430,4958,長谷川香料(株),東証PRM,"2,855",-26,-0.9,"40,600",04/03
79,432,1945,(株)東京エネシス,東証PRM,"1,783",-16,-0.89,"184,800",04/03
80,434,368A,(株)北里コーポレーション,東証PRM,"1,337",-12,-0.89,"88,500",04/03
81,436,256A,飛島ホールディングス(株),東証PRM,"2,128",-19,-0.88,"127,700",04/03
82,439,4578,大塚ホールディングス(株),東証PRM,"11,220",-100,-0.88,"671,800",04/03
83,442,6947,(株)図研,東証PRM,"4,500",-40,-0.88,"35,000",04/03
84,444,9336,大栄環境(株),東証PRM,"3,920",-35,-0.88,"64,400",04/03
85,447,4568,第一三共(株),東証PRM,"2,863.5",-25,-0.87,"2,745,100",04/03
86,456,2804,ブルドックソース(株),東証PRM,"1,858",-16,-0.85,"25,000",04/03
87,458,6653,(株)正興電機製作所,東証PRM,"2,228",-19,-0.85,"59,300",04/03
88,460,1911,住友林業(株),東証PRM,"1,416",-12,-0.84,"1,730,700",04/03
89,462,4709,(株)ＩＤホールディングス,東証PRM,944,-8,-0.84,"36,300",04/03
90,466,9755,応用地質(株),東証PRM,"2,935",-25,-0.84,"35,200",04/03
91,469,4577,ダイト(株),東証PRM,"1,434",-12,-0.83,"44,600",04/03
92,473,8881,(株)日神グループホールディングス,東証PRM,716,-6,-0.83,"76,900",04/03
93,476,4547,キッセイ薬品工業(株),東証PRM,"4,825",-40,-0.82,"37,700",04/03
94,477,7942,(株)ＪＳＰ,東証PRM,"2,293",-19,-0.82,"72,900",04/03
95,485,8283,(株)ＰＡＬＴＡＣ,東証PRM,"4,937",-40,-0.8,"50,400",04/03
96,487,3569,セーレン(株),東証PRM,"3,120",-25,-0.79,"64,600",04/03
97,499,3038,(株)神戸物産,東証PRM,"3,355",-26,-0.77,"967,600",04/03
98,500,3040,(株)ソリトンシステムズ,東証PRM,"1,673",-13,-0.77,"78,600",04/03
99,509,3921,(株)ネオジャパン,東証PRM,"1,573",-12,-0.76,"12,100",04/03
100,519,9513,Ｊ－ＰＯＷＥＲ,東証PRM,"4,417",-33,-0.74,"1,377,400",04/03
101,521,9509,北海道電力(株),東証PRM,"1,095",-8,-0.73,"3,505,500",04/03
102,527,9068,丸全昭和運輸(株),東証PRM,"8,310",-60,-0.72,"26,400",04/03
103,532,4071,(株)プラスアルファ・コンサルティング,東証PRM,"2,103",-15,-0.71,"186,400",04/03
104,533,4665,(株)ダスキン,東証PRM,"4,210",-30,-0.71,"111,700",04/03
105,535,7466,ＳＰＫ(株),東証PRM,"1,267",-9,-0.71,"28,000",04/03
106,537,9882,(株)イエローハット,東証PRM,"1,546",-11,-0.71,"66,300",04/03
107,538,1814,大末建設(株),東証PRM,"3,540",-25,-0.7,"58,100",04/03
108,542,6526,(株)ソシオネクスト,東証PRM,"1,863.5",-13,-0.69,"5,230,500",04/03
109,543,7184,(株)富山第一銀行,東証PRM,"2,447",-17,-0.69,"165,000",04/03
110,544,8630,ＳＯＭＰＯホールディングス(株),東証PRM,"6,017",-42,-0.69,"1,302,200",04/03
111,546,2296,伊藤ハム米久ホールディングス(株),東証PRM,"5,850",-40,-0.68,"106,700",04/03
112,549,4452,花王(株),東証PRM,"6,140",-42,-0.68,"1,043,400",04/03
113,552,8522,(株)名古屋銀行,東証PRM,"5,800",-40,-0.68,"134,000",04/03
114,554,1976,明星工業(株),東証PRM,"1,779",-12,-0.67,"65,700",04/03
115,557,7683,(株)ダブルエー,東証PRM,"1,343",-9,-0.67,"19,500",04/03
116,559,7936,(株)アシックス,東証PRM,"4,306",-29,-0.67,"2,322,100",04/03
117,560,2737,(株)トーメンデバイス,東証PRM,"11,960",-80,-0.66,"46,000",04/03
118,563,6723,ルネサスエレクトロニクス(株),東証PRM,"2,271.5",-15,-0.66,"5,968,500",04/03
119,567,4362,日本精化(株),東証PRM,"2,463",-16,-0.65,"16,500",04/03
120,570,6458,新晃工業(株),東証PRM,"1,220",-8,-0.65,"89,700",04/03
121,573,8130,(株)サンゲツ,東証PRM,"3,075",-20,-0.65,"93,300",04/03
122,574,9697,(株)カプコン,東証PRM,"3,371",-22,-0.65,"921,700",04/03
123,576,6294,オカダアイヨン(株),東証PRM,"2,165",-14,-0.64,"15,000",04/03
124,580,5232,住友大阪セメント(株),東証PRM,"3,764",-24,-0.63,"158,600",04/03
125,587,8713,フィデアホールディングス(株),東証PRM,"1,909",-12,-0.62,"23,300",04/03
126,588,8935,(株)ＦＪネクストホールディングス,東証PRM,"1,591",-10,-0.62,"29,600",04/03
127,592,3132,マクニカホールディングス(株),東証PRM,"2,289.5",-14,-0.61,"980,600",04/03
128,596,8367,(株)南都銀行,東証PRM,"1,466",-9,-0.61,"265,300",04/03
129,599,3941,レンゴー(株),東証PRM,"1,253",-7.5,-0.6,"507,500",04/03
130,611,3864,三菱製紙(株),東証PRM,850,-5,-0.58,"149,800",04/03
131,618,2378,(株)ルネサンス,東証PRM,"1,045",-6,-0.57,"50,600",04/03
132,622,6517,デンヨー(株),東証PRM,"3,475",-20,-0.57,"20,700",04/03
133,623,9991,ジェコス(株),東証PRM,"1,735",-10,-0.57,"29,400",04/03
134,624,1870,矢作建設工業(株),東証PRM,"2,147",-12,-0.56,"81,500",04/03
135,625,1929,日特建設(株),東証PRM,"1,243",-7,-0.56,"90,500",04/03
136,631,6379,レイズネクスト(株),東証PRM,"2,312",-13,-0.56,"61,400",04/03
137,632,7769,リズム(株),東証PRM,"3,560",-20,-0.56,"31,400",04/03
138,637,2875,東洋水産(株),東証PRM,"11,005",-60,-0.54,"248,200",04/03
139,646,6209,リケンＮＰＲ(株),東証PRM,"3,735",-20,-0.53,"36,800",04/03
140,648,7955,クリナップ(株),東証PRM,933,-5,-0.53,"28,100",04/03
141,650,2602,日清オイリオグループ(株),東証PRM,"1,925",-10,-0.52,"147,200",04/03
142,651,4503,アステラス製薬(株),東証PRM,"2,587",-13.5,-0.52,"2,539,400",04/03
143,652,5201,ＡＧＣ(株),東証PRM,"5,598",-29,-0.52,"1,022,700",04/03
144,663,2222,寿スピリッツ(株),東証PRM,"1,895.5",-9.5,-0.5,"258,500",04/03
145,666,4471,三洋化成工業(株),東証PRM,"4,960",-25,-0.5,"98,400",04/03
146,669,6310,井関農機(株),東証PRM,"1,594",-8,-0.5,"124,400",04/03
147,671,7522,ワタミ(株),東証PRM,996,-5,-0.5,"73,600",04/03
148,676,2918,わらべや日洋ホールディングス(株),東証PRM,"3,060",-15,-0.49,"115,800",04/03
149,677,417A,(株)ブルーゾーンホールディングス,東証PRM,"1,912.5",-9.5,-0.49,"194,700",04/03
150,680,8132,シナネンホールディングス(株),東証PRM,"8,160",-40,-0.49,"3,200",04/03
151,692,4968,荒川化学工業(株),東証PRM,"1,281",-6,-0.47,"36,000",04/03
