順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,7375,(株)リファインバースグループ,東証GRT,"1,533",-400,-20.69,"1,325,400",
2,2,2038,NEXT NOTES ドバイ原油先物 ダブル・ブル ETN,東証ETF,"2,161",-466,-17.74,"1,301,962",
3,3,1685,WisdomTree エネルギー上場投信,東証ETF,744,-133.6,-15.22,"44,000",
4,4,1671,WTI原油価格連動型上場投信,東証ETF,"4,680",-809,-14.74,"2,574,654",
5,5,1691,WisdomTree ガソリン上場投信,東証ETF,"11,905","-1,835",-13.36,"3,142",
6,6,4031,片倉コープアグリ(株),東証STD,"1,213",-177,-12.73,"786,800",
7,7,1690,WisdomTree WTI原油上場投信,東証ETF,"2,099.5",-299,-12.47,"54,070",
8,8,1459,楽天 ETF-日経ダブルインバース指数連動型,東証ETF,170,-21,-10.99,"21,079,052",
9,9,4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅ(株),東証GRT,439,-54,-10.95,"2,900,000",
10,10,1366,iFreeETF 日経平均ダブルインバース・インデックス,東証ETF,106,-13,-10.92,"7,358,138",
11,11,8835,太平洋興発(株),東証STD,939,-114,-10.83,"1,119,600",
12,12,1360,日経平均ベア2倍上場投信,東証ETF,103.8,-12.6,-10.82,"264,174,130",
13,13,1357,(NEXT FUNDS) 日経ダブルインバース上場投信,東証ETF,"4,232",-507,-10.7,"15,557,661",
14,14,1699,(NEXT FUNDS)NOMURA原油インデックス上場,東証ETF,548,-61.3,-10.06,"5,921,410",
15,15,4263,サスメド(株),東証GRT,962,-100,-9.42,"420,500",
16,16,318A,VIX短期先物指数ETF,東証ETF,640.5,-64.1,-9.1,"1,927,190",
17,17,2870,iFreeETF NASDAQ100ダブルインバース,東証ETF,"10,895",-990,-8.33,"170,837",
18,18,2195,アミタホールディングス(株),東証GRT,452,-38,-7.76,"680,400",
19,19,1684,WisdomTree ブロード上場投信,東証ETF,"2,469.5",-207.5,-7.75,"3,220",
20,20,6496,(株)中北製作所,東証STD,"6,280",-520,-7.65,"163,400",
21,21,3315,日本コークス工業(株),東証PRM,109,-9,-7.63,"16,648,300",
22,22,2034,NEXT NOTES 韓国KOSPI･ベアETN,東証ETF,"2,638",-207,-7.28,"6,857",
23,23,1377,(株)サカタのタネ,東証PRM,"4,175",-315,-7.02,"800,100",
24,24,1356,TOPIXベア2倍上場投信,東証ETF,128.7,-9.1,-6.6,"10,618,670",
25,25,1368,iFreeETF TOPIXダブルインバース(-2倍)指数,東証ETF,186,-13,-6.53,"280,401",
26,26,1466,iFreeETF JPX日経400ダブルインバース・インデックス,東証ETF,241,-16,-6.23,"4,553",
27,27,1605,(株)ＩＮＰＥＸ,東証PRM,"4,201",-279,-6.23,"21,684,100",
28,28,5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ(株),東証GRT,211,-14,-6.22,"801,300",
29,29,2249,iFreeETF S&P500ダブルインバース,東証ETF,"11,945",-775,-6.09,"10,512",
30,30,4840,(株)トライアイズ,東証STD,"1,014",-64,-5.94,"1,768,000",
31,31,5721,エスクリプトエナジー(株),東証STD,111,-7,-5.93,"24,687,200",
32,32,1472,(NEXT FUNDS)JPX日経400ダブルインバース,東証ETF,96,-6,-5.88,"40,730",
33,33,5019,出光興産(株),東証PRM,"1,561.5",-97.5,-5.88,"9,112,900",
34,34,5341,ＡＳＡＨＩ　ＥＩＴＯホールディングス(株),東証STD,269,-16,-5.61,"1,764,900",
35,35,2047,NEXT NOTES インドNifty・ベア ETN,東証ETF,"3,503",-206,-5.55,348,
36,36,1469,JPX日経400ベア2倍上場投信ダブルインバース,東証ETF,228.9,-13.4,-5.53,"25,830",
37,37,1571,(NEXT FUNDS)日経平均インバース上場投信,東証ETF,359,-21,-5.53,"2,537,430",
38,38,1456,iFreeETF 日経平均インバース・インデックス,東証ETF,"1,529",-88,-5.44,"161,495",
39,39,1580,日経平均ベア上場投信,東証ETF,954,-54,-5.36,"866,400",
40,40,3681,(株)ブイキューブ,東証PRM,71,-4,-5.33,"12,544,800",
41,41,3710,ジョルダン(株),東証STD,707,-38,-5.1,"680,700",
42,42,4629,大伸化学(株),東証STD,"1,940",-103,-5.04,"44,200",
43,43,9107,川崎汽船(株),東証PRM,"2,612.5",-137.5,-5.0,"15,439,200",
44,44,9319,(株)中央倉庫,東証PRM,"2,103",-109,-4.93,"117,800",
45,45,4069,(株)ＢｌｕｅＭｅｍｅ,東証GRT,"1,158",-58,-4.77,"4,000",
46,46,1687,WisdomTree 農産物上場投信,東証ETF,953.6,-46.4,-4.64,"68,550",
47,47,9212,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ(株),東証GRT,394,-18,-4.37,"182,300",
48,48,3796,(株)いい生活,東証STD,294,-13,-4.23,"29,400",
49,49,7875,竹田ｉＰホールディングス(株),東証STD,702,-31,-4.23,"96,800",
50,50,1514,住石ホールディングス(株),東証STD,891,-39,-4.19,"1,838,700",
51,51,1689,WisdomTree 天然ガス上場投信,東証ETF,848,-37,-4.18,"274,362",
52,52,1662,石油資源開発(株),東証PRM,"2,414",-105,-4.17,"4,181,500",
53,53,1695,WisdomTree 小麦上場投信,東証ETF,"3,033",-132,-4.17,"55,177",
54,54,9517,イーレックス(株),東証PRM,920,-40,-4.17,"1,051,800",
55,55,7818,(株)トランザクション,東証PRM,"1,114",-48,-4.13,"428,800",
56,56,9331,(株)キャスター,東証GRT,699,-30,-4.12,"8,300",
57,57,9119,飯野海運(株),東証PRM,"1,831",-78,-4.09,"467,400",
58,58,9101,日本郵船(株),東証PRM,"6,055",-254,-4.03,"8,523,800",
59,59,9104,(株)商船三井,東証PRM,"6,593",-277,-4.03,"10,196,700",
60,60,5342,ジャニス工業(株),名証MN,484,-20,-3.97,500,
61,61,2842,iFreeETF NASDAQ100インバース,東証ETF,"14,415",-590,-3.93,"15,569",
62,62,8798,(株)アドバンスクリエイト,東証PRM,196,-8,-3.92,"198,000",
63,63,3845,(株)アイフリークモバイル,東証STD,298,-11,-3.56,"163,300",
64,64,1569,TOPIXベア上場投信,東証ETF,807.3,-29.7,-3.55,"48,250",
