順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,7709,クボテック(株),東証STD,95,-26,-21.49,"1,053,600",2026/04/23
2,2,7426,(株)山大,東証STD,554,-150,-21.31,"4,000",2026/04/23
3,3,2901,(株)ウェルディッシュ,東証STD,182,-37,-16.89,"2,266,000",2026/04/23
4,4,2342,(株)トランスジェニックグループ,東証STD,283,-44,-13.46,"1,820,700",2026/04/23
5,5,4478,フリー(株),東証GRT,"2,346",-364,-13.43,"1,475,600",2026/04/23
6,6,3994,(株)マネーフォワード,東証PRM,"4,897",-703,-12.55,"1,393,700",2026/04/23
7,7,5343,ニッコー(株),名証MN,207,-28,-11.91,"207,500",2026/04/23
8,8,7871,フクビ化学工業(株),東証STD,"1,068",-144,-11.88,"229,600",2026/04/23
9,9,6775,(株)ＴＢグループ,東証STD,130,-17,-11.56,"1,028,200",2026/04/23
10,10,7731,(株)ニコン,東証PRM,"1,695.5",-196,-10.36,"3,595,100",2026/04/23
11,11,7931,未来工業(株),東証PRM,"2,844",-316,-10.0,"438,700",2026/04/23
12,12,6532,(株)ベイカレント,東証PRM,"5,416",-584,-9.73,"3,369,400",2026/04/23
13,13,3656,ＫＬａｂ(株),東証PRM,302,-32,-9.58,"15,846,600",2026/04/23
14,14,2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ(株),東証STD,421,-44,-9.46,"564,500",2026/04/23
15,15,6347,(株)プラコー,東証STD,309,-31,-9.12,"318,900",2026/04/23
16,16,3652,(株)ディジタルメディアプロフェッショナル,東証GRT,"2,422",-238,-8.95,"72,900",2026/04/23
17,17,6135,(株)牧野フライス製作所,東証PRM,"10,570","-1,020",-8.8,"1,918,400",2026/04/23
18,18,4441,トビラシステムズ(株),東証STD,"1,317",-126,-8.73,"43,300",2026/04/23
19,19,6081,アライドアーキテクツ(株),東証GRT,274,-26,-8.67,"589,400",2026/04/23
20,20,4840,(株)トライアイズ,東証STD,922,-87,-8.62,"203,800",2026/04/23
21,21,4425,Ｋｕｄａｎ(株),東証GRT,"2,587",-243,-8.59,"562,300",2026/04/23
22,22,6522,(株)アスタリスク,東証GRT,"1,235",-116,-8.59,"1,585,600",2026/04/23
23,23,7065,ユーピーアール(株),東証STD,988,-92,-8.52,"106,000",2026/04/23
24,24,5342,ジャニス工業(株),名証MN,453,-42,-8.48,"3,400",2026/04/23
25,25,6997,日本ケミコン(株),東証PRM,"2,243",-207,-8.45,"1,177,100",2026/04/23
26,26,5341,ＡＳＡＨＩ　ＥＩＴＯホールディングス(株),東証STD,394,-36,-8.37,"2,207,700",2026/04/23
27,27,456A,ＨＵＭＡＮ　ＭＡＤＥ(株),東証GRT,"5,080",-460,-8.3,"100,700",2026/04/23
28,28,6779,日本電波工業(株),東証PRM,"1,856",-166,-8.21,"2,208,400",2026/04/23
29,29,7777,(株)スリー・ディー・マトリックス,東証GRT,530,-47,-8.15,"5,936,200",2026/04/23
30,30,6858,(株)小野測器,東証STD,816,-72,-8.11,"1,453,300",2026/04/23
31,31,5699,(株)イボキン,東証STD,"2,250",-195,-7.98,"213,500",2026/04/23
32,32,5597,ブルーイノベーション(株),東証GRT,"1,955",-169,-7.96,"1,134,400",2026/04/23
33,33,5599,Ｓ＆Ｊ(株),東証GRT,"1,364",-117,-7.9,"64,500",2026/04/23
34,34,8139,(株)ナガホリ,東証STD,"2,134",-182,-7.86,"24,100",2026/04/23
35,35,3823,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ　ＣＯＭＰＡＮＹ(株),東証STD,47,-4,-7.84,"6,080,600",2026/04/23
36,36,6573,ＣＲＡＶＩＡ(株),東証GRT,47,-4,-7.84,"1,045,200",2026/04/23
37,37,6666,リバーエレテック(株),東証STD,"1,069",-91,-7.84,"729,100",2026/04/23
38,38,255A,ジーエルテクノホールディングス(株),東証STD,"4,925",-415,-7.77,"219,300",2026/04/23
39,39,6740,(株)ジャパンディスプレイ,東証PRM,95,-8,-7.77,"60,890,200",2026/04/23
40,40,2673,夢みつけ隊(株),東証STD,131,-11,-7.75,"349,100",2026/04/23
41,41,4443,Ｓａｎｓａｎ(株),東証PRM,"1,296",-108,-7.69,"3,242,100",2026/04/23
42,42,7014,(株)名村造船所,東証STD,"4,055",-335,-7.63,"2,179,100",2026/04/23
43,43,332A,ミーク(株),東証GRT,"1,504",-122,-7.5,"373,900",2026/04/23
44,44,5575,(株)Ｇｌｏｂｅｅ,東証GRT,779,-63,-7.48,"46,900",2026/04/23
45,45,5243,ｎｏｔｅ(株),東証GRT,"2,490",-201,-7.47,"1,607,600",2026/04/23
46,46,6769,ザインエレクトロニクス(株),東証STD,"1,038",-83,-7.4,"253,200",2026/04/23
47,47,7318,セレンディップ・ホールディングス(株),東証GRT,"1,836",-146,-7.37,"340,200",2026/04/23
48,48,8729,ソニーフィナンシャルグループ(株),東証PRM,135.5,-10.7,-7.32,"376,314,100",2026/04/23
49,49,4125,三和油化工業(株),東証STD,"3,470",-270,-7.22,"119,000",2026/04/23
50,50,402A,(株)アクセルスペースホールディングス,東証GRT,690,-53,-7.13,"6,306,200",2026/04/23
51,51,4733,(株)オービックビジネスコンサルタント,東証PRM,"6,270",-480,-7.11,"618,900",2026/04/23
52,52,2338,クオンタムソリューションズ(株),東証STD,105,-8,-7.08,"1,323,100",2026/04/23
53,53,485A,(株)パワーエックス,東証GRT,"7,130",-540,-7.04,"1,223,800",2026/04/23
54,54,2678,アスクル(株),東証PRM,"1,137",-86,-7.03,"924,500",2026/04/23
55,55,4051,ＧＭＯフィナンシャルゲート(株),東証PRM,"5,830",-440,-7.02,"101,700",2026/04/23
56,56,6227,ＡＩメカテック(株),東証STD,"6,380",-480,-7.0,"1,696,400",2026/04/23
57,57,3110,日東紡,東証PRM,"25,550","-1,910",-6.96,"2,561,400",2026/04/23
58,58,3186,(株)ネクステージ,東証PRM,"3,420",-255,-6.94,"545,000",2026/04/23
59,59,4684,(株)オービック,東証PRM,"4,264",-318,-6.94,"2,766,300",2026/04/23
60,60,2667,(株)イメージ　ワン,東証STD,222,-16,-6.72,"621,700",2026/04/23
61,61,4902,コニカミノルタ(株),東証PRM,552.6,-39.7,-6.7,"5,186,100",2026/04/23
62,62,6986,双葉電子工業(株),東証PRM,698,-50,-6.68,"401,700",2026/04/23
63,63,535A,NZAM 上場投信 DAX(H無),東証ETF,"2,056",-143,-6.5,1,2026/04/23
64,64,6173,(株)アクアライン,東証GRT,115,-8,-6.5,"193,500",2026/04/23
65,65,9501,東京電力ホールディングス(株),東証PRM,584.8,-40.5,-6.48,"72,424,100",2026/04/23
66,66,4413,(株)ボードルア,東証PRM,"2,086",-144,-6.46,"348,200",2026/04/23
67,67,2326,デジタルアーツ(株),東証PRM,"5,660",-390,-6.45,"146,700",2026/04/23
68,68,7985,ネポン(株),福証,831,-57,-6.42,800,2026/04/23
69,69,3697,(株)ＳＨＩＦＴ,東証PRM,678,-46.3,-6.39,"13,140,300",2026/04/23
70,70,3070,(株)ジェリービーンズグループ,東証GRT,103,-7,-6.36,"7,084,800",2026/04/23
71,71,3840,パス(株),東証STD,59,-4,-6.35,"929,600",2026/04/23
72,72,5204,石塚硝子(株),東証STD,"3,175",-215,-6.34,"219,100",2026/04/23
73,73,7063,(株)Ｂｉｒｄｍａｎ,東証GRT,104,-7,-6.31,"415,600",2026/04/23
74,74,194A,(株)ＷＯＬＶＥＳ　ＨＡＮＤ,東証GRT,"1,762",-118,-6.28,"83,300",2026/04/23
75,75,6521,(株)オキサイド,東証GRT,"4,600",-305,-6.22,"567,900",2026/04/23
76,76,9159,(株)Ｗ　ＴＯＫＹＯ,東証GRT,"2,129",-141,-6.21,"27,400",2026/04/23
77,77,6653,(株)正興電機製作所,東証PRM,"2,554",-164,-6.03,"763,200",2026/04/23
78,78,7886,ヤマト　モビリティ　＆　Ｍｆｇ．(株),東証STD,531,-34,-6.02,"19,200",2026/04/23
79,79,9553,(株)マイクロアド,東証GRT,771,-49,-5.98,"459,800",2026/04/23
80,80,141A,(株)トライアルホールディングス,東証GRT,"4,255",-270,-5.97,"1,583,300",2026/04/23
81,81,198A,ＰｏｓｔＰｒｉｍｅ(株),東証GRT,189,-12,-5.97,"394,700",2026/04/23
82,82,7375,(株)リファインバースグループ,東証GRT,"2,130",-135,-5.96,"1,285,800",2026/04/23
83,83,4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ(株),東証PRM,903,-57,-5.94,"1,702,000",2026/04/23
84,84,4651,(株)サニックスホールディングス,東証STD,238,-15,-5.93,"2,715,900",2026/04/23
85,85,6962,(株)大真空,東証PRM,746,-47,-5.93,"514,300",2026/04/23
86,86,9560,(株)プログリット,東証GRT,814,-51,-5.9,"130,900",2026/04/23
87,87,195A,(株)ＭＵＳＣＡＴ　ＧＲＯＵＰ,東証GRT,837,-52,-5.85,"30,900",2026/04/23
