順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,3133,(株)海帆,東証GRT,71,-50,-41.32,"8,403,000",2026/06/26
2,2,8746,ｕｎｂａｎｋｅｄ(株),東証STD,146,-50,-25.51,"2,110,800",2026/06/26
3,3,6072,地盤ネットホールディングス(株),東証STD,969,-209,-17.74,"6,661,400",2026/06/26
4,4,9417,(株)スマートバリュー,東証STD,333,-59,-15.05,"327,800",2026/06/26
5,5,2354,(株)ＹＥ　ＤＩＧＩＴＡＬ,東証STD,773,-134,-14.77,"1,048,200",2026/06/26
6,6,4889,(株)レナサイエンス,東証GRT,"1,413",-237,-14.36,"1,110,600",2026/06/26
7,7,3041,(株)ビューティカダンホールディングス,東証STD,454,-74,-14.02,"186,500",2026/06/26
8,8,3905,データセクション(株),東証GRT,"4,180",-680,-13.99,"2,849,400",2026/06/26
9,9,6659,(株)メディアリンクス,東証STD,65,-10,-13.33,"6,962,400",2026/06/26
10,10,6613,(株)ＱＤレーザ,東証GRT,"2,840",-415,-12.75,"7,652,200",2026/06/26
11,11,9984,ソフトバンクグループ(株),東証PRM,"6,226",-892,-12.53,"71,837,400",2026/06/26
12,12,5367,(株)ニッカトー,東証STD,"1,678",-238,-12.42,"879,200",2026/06/26
13,13,4980,デクセリアルズ(株),東証PRM,"4,407",-614,-12.23,"4,572,400",2026/06/26
14,14,3652,(株)ディジタルメディアプロフェッショナル,東証GRT,"2,291",-310,-11.92,"96,700",2026/06/26
15,15,6217,津田駒工業(株),東証STD,"1,049",-137,-11.55,"249,200",2026/06/26
16,16,2345,(株)ＨＯＤＬ１,東証STD,102,-13,-11.3,"873,600",2026/06/26
17,17,285A,キオクシアホールディングス(株),東証PRM,"92,180","-11,670",-11.24,"43,906,600",2026/06/26
18,18,3687,(株)フィックスターズ,東証PRM,"2,388",-300,-11.16,"3,340,000",2026/06/26
19,19,3907,シリコンスタジオ(株),東証STD,943,-116,-10.95,"539,300",2026/06/26
20,20,6976,太陽誘電(株),東証PRM,"16,780","-2,040",-10.84,"19,830,400",2026/06/26
21,21,6227,ＡＩメカテック(株),東証STD,"6,590",-800,-10.83,"1,625,500",2026/06/26
22,22,157A,グリーンモンスター(株),東証GRT,802,-96,-10.69,"28,300",2026/06/26
23,23,3350,(株)メタプラネット,東証STD,197,-23,-10.45,"34,900,600",2026/06/26
24,24,2033,NEXT NOTES 韓国KOSPI･ダブル･ブルETN,東証ETF,"131,200","-15,250",-10.41,"9,175",2026/06/26
25,25,280A,(株)ＴＭＨ,東証GRT,"1,843",-212,-10.32,"83,300",2026/06/26
26,26,281A,インフォメティス(株),東証GRT,676,-77,-10.23,"473,700",2026/06/26
27,27,6324,(株)ハーモニック・ドライブ・システムズ,東証PRM,"7,100",-800,-10.13,"1,548,200",2026/06/26
28,28,218A,(株)Ｌｉｂｅｒａｗａｒｅ,東証GRT,898,-99,-9.93,"357,200",2026/06/26
