順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,5103,昭和ホールディングス(株),東証STD,1,-2,-66.67,"5,433,200",2026/08/21
2,2,4392,ＦＩＧ(株),東証PRM,"1,132",-169,-12.99,"9,183,500",2026/08/21
3,3,4425,Ｋｕｄａｎ(株),東証GRT,"1,395",-201,-12.59,"907,100",2026/08/21
4,4,4597,ソレイジア・ファーマ(株),東証GRT,32,-4,-11.11,"48,812,600",2026/08/21
5,5,5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ(株),東証GRT,218,-26,-10.66,"5,244,700",2026/08/21
6,6,6276,シリウスビジョン(株),東証STD,366,-39,-9.63,"409,900",2026/08/21
7,7,8995,(株)誠建設工業,東証STD,"1,543",-158,-9.29,"251,400",2026/08/21
8,8,4588,オンコリスバイオファーマ(株),東証GRT,"3,380",-340,-9.14,"1,674,500",2026/08/21
9,9,7376,ＢＣＣ(株),東証GRT,850,-77,-8.31,"114,200",2026/08/21
10,10,2334,(株)イオレ,東証GRT,508,-41,-7.47,"4,067,500",2026/08/21
11,11,3103,ユニチカ(株),東証STD,"1,410",-110,-7.24,"11,321,600",2026/08/21
12,12,7089,フォースタートアップス(株),東証GRT,"1,506",-117,-7.21,"80,400",2026/08/21
13,13,4563,アンジェス(株),東証GRT,39,-3,-7.14,"10,004,300",2026/08/21
14,14,9085,北海道中央バス(株),札証,"5,200",-390,-6.98,"1,100",2026/08/21
15,15,150A,(株)ＪＳＨ,東証GRT,746,-55,-6.87,"636,800",2026/08/21
16,16,6862,ミナトホールディングス(株),東証STD,"3,370",-245,-6.78,"382,000",2026/08/21
17,17,6327,北川精機(株),東証STD,"3,235",-235,-6.77,"449,000",2026/08/21
18,18,9166,(株)ＧＥＮＤＡ,東証GRT,748,-54,-6.73,"2,754,000",2026/08/21
19,19,3047,(株)ＴＲＵＣＫ－ＯＮＥ,福岡Q,990,-70,-6.6,300,2026/08/21
20,20,3449,(株)テクノフレックス,東証STD,"3,745",-260,-6.49,"180,400",2026/08/21
21,21,3672,(株)オルトプラス,東証STD,29,-2,-6.45,"2,538,100",2026/08/21
22,22,4169,ＥＮＥＣＨＡＮＧＥ(株),東証GRT,306,-21,-6.42,"1,555,400",2026/08/21
23,23,4593,(株)ヘリオス,東証GRT,270,-18,-6.25,"2,954,400",2026/08/21
24,24,6659,(株)メディアリンクス,東証STD,48,-3,-5.88,"2,411,700",2026/08/21
25,25,5574,(株)ＡＢＥＪＡ,東証GRT,"2,746",-164,-5.64,"108,300",2026/08/21
26,26,2160,(株)ジーエヌアイグループ,東証GRT,"2,786",-163,-5.53,"1,783,700",2026/08/21
27,27,3856,Ａｂａｌａｎｃｅ(株),東証STD,429,-25,-5.51,"485,100",2026/08/21
28,28,2656,(株)ベクターホールディングス,東証STD,189,-11,-5.5,"565,400",2026/08/21
29,29,275A,ハンワホームズ(株),名証NXT,365,-21,-5.44,500,2026/08/21
30,30,6492,岡野バルブ製造(株),東証STD,"13,830",-790,-5.4,"15,800",2026/08/21
31,31,6217,津田駒工業(株),東証STD,797,-44,-5.23,"157,000",2026/08/21
32,32,7018,内海造船(株),東証STD,"11,420",-590,-4.91,"32,100",2026/08/21
33,33,8746,ｕｎｂａｎｋｅｄ(株),東証STD,97,-5,-4.9,"204,900",2026/08/21
34,34,8050,セイコーグループ(株),東証PRM,"10,530",-540,-4.88,"581,300",2026/08/21
35,35,6016,(株)ジャパンエンジンコーポレーション,東証STD,"9,640",-490,-4.84,"217,400",2026/08/21
36,36,6235,(株)オプトラン,東証PRM,"2,674",-136,-4.84,"2,306,800",2026/08/21
37,37,4889,(株)レナサイエンス,東証GRT,"1,302",-66,-4.82,"420,600",2026/08/21
38,38,4499,(株)Ｓｐｅｅｅ,東証STD,"2,631",-133,-4.81,"163,100",2026/08/21
39,39,4368,扶桑化学工業(株),東証PRM,"3,075",-155,-4.8,"1,557,300",2026/08/21
40,40,4424,(株)Ａｍａｚｉａ,東証GRT,337,-17,-4.8,"161,600",2026/08/21
41,41,8798,(株)アドバンスクリエイト,東証PRM,140,-7,-4.76,"53,900",2026/08/21
42,42,9425,ＲｅＹｕｕ　Ｊａｐａｎ(株),東証STD,222,-11,-4.72,"842,100",2026/08/21
43,43,5631,(株)日本製鋼所,東証PRM,"7,410",-361,-4.65,"892,700",2026/08/21
44,44,584A,ＬｉＮＫＸ(株),東証GRT,"2,651",-129,-4.64,"90,900",2026/08/21
45,45,7936,(株)アシックス,東証PRM,"4,689",-228,-4.64,"6,469,500",2026/08/21
46,46,7409,ＡｅｒｏＥｄｇｅ(株),東証GRT,"1,366",-66,-4.61,"166,200",2026/08/21
47,47,264A,(株)Ｓｃｈｏｏ,東証GRT,333,-16,-4.58,"286,400",2026/08/21
48,48,6840,(株)ＡＫＩＢＡホールディングス,東証STD,732,-35,-4.56,"511,400",2026/08/21
49,49,7803,(株)ブシロード,東証GRT,401,-19,-4.52,"1,398,200",2026/08/21
50,50,5951,ダイニチ工業(株),東証STD,"1,252",-59,-4.5,"53,700",2026/08/21
51,51,4976,東洋ドライルーブ(株),東証STD,"1,471",-69,-4.48,"5,800",2026/08/21
52,52,4968,荒川化学工業(株),東証PRM,"2,214",-103,-4.45,"312,400",2026/08/21
53,53,6599,エブレン(株),東証STD,"3,185",-145,-4.35,100,2026/08/21
54,54,7685,(株)ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,東証GRT,"3,195",-145,-4.34,"419,400",2026/08/21
55,55,4052,フィーチャ(株),東証GRT,531,-24,-4.32,"164,400",2026/08/21
56,56,6269,三井海洋開発(株),東証PRM,"9,600",-430,-4.29,"900,300",2026/08/21
57,57,7564,(株)ワークマン,東証STD,"6,030",-270,-4.29,"555,900",2026/08/21
58,58,3933,チエル(株),東証STD,541,-24,-4.25,"12,600",2026/08/21
59,59,7859,(株)アルメディオ,東証STD,248,-11,-4.25,"124,000",2026/08/21
60,60,7035,ａｎｄ　ｆａｃｔｏｒｙ(株),東証STD,272,-12,-4.23,"177,400",2026/08/21
61,61,4966,上村工業(株),東証STD,"19,320",-850,-4.21,"93,300",2026/08/21
62,62,3260,(株)エスポア,名証NXT,640,-28,-4.19,"8,300",2026/08/21
63,63,7966,リンテック(株),東証PRM,"5,490",-240,-4.19,"1,507,000",2026/08/21
64,64,7034,(株)プロレド・パートナーズ,東証PRM,367,-16,-4.18,"58,600",2026/08/21
65,65,3907,シリコンスタジオ(株),東証STD,"1,746",-76,-4.17,"656,100",2026/08/21
66,66,6779,日本電波工業(株),東証PRM,"2,732",-119,-4.17,"778,300",2026/08/21
67,67,3909,(株)ショーケース,東証STD,185,-8,-4.15,"52,900",2026/08/21
68,68,4704,トレンドマイクロ(株),東証PRM,"5,472",-236,-4.13,"1,294,600",2026/08/21
69,69,6668,(株)アドテック　プラズマ　テクノロジー,東証STD,"3,445",-145,-4.04,"125,800",2026/08/21
70,70,3774,(株)インターネットイニシアティブ,東証PRM,"3,381",-140,-3.98,"941,000",2026/08/21
71,71,4971,メック(株),東証PRM,"6,760",-280,-3.98,"381,300",2026/08/21
72,72,5471,大同特殊鋼(株),東証PRM,"2,227",-92,-3.97,"1,011,300",2026/08/21
73,73,523A,(株)セイワホールディングス,東証GRT,"1,688",-69,-3.93,"272,000",2026/08/21
74,74,268A,リガク・ホールディングス(株),東証PRM,"1,701",-68,-3.84,"2,778,700",2026/08/21
75,75,3317,(株)フライングガーデン,東証STD,"1,433",-57,-3.83,"22,900",2026/08/21
76,76,3944,古林紙工(株),東証STD,"3,135",-125,-3.83,400,2026/08/21
77,77,4022,ラサ工業(株),東証PRM,"2,112",-84,-3.83,"920,300",2026/08/21
78,78,9930,北沢産業(株),東証STD,402,-16,-3.83,"6,800",2026/08/21
79,79,5967,ＴＯＮＥ(株),東証STD,454,-18,-3.81,"44,400",2026/08/21
80,80,6946,日本アビオニクス(株),東証STD,"5,350",-210,-3.78,"157,600",2026/08/21
81,81,9467,(株)アルファポリス,東証GRT,"1,225",-48,-3.77,"159,100",2026/08/21
82,82,3900,(株)クラウドワークス,東証GRT,677,-26,-3.7,"162,900",2026/08/21
83,83,9557,(株)エアークローゼット,東証GRT,210,-8,-3.67,"8,700",2026/08/21
84,84,4506,住友ファーマ(株),東証PRM,"1,411.5",-53.5,-3.65,"3,653,100",2026/08/21
85,85,4594,ブライトパス・バイオ(株),東証GRT,53,-2,-3.64,"1,258,700",2026/08/21
86,86,5074,テスホールディングス(株),東証PRM,611,-23,-3.63,"1,260,900",2026/08/21
87,87,9983,(株)ファーストリテイリング,東証PRM,"73,510","-2,770",-3.63,"1,037,600",2026/08/21
88,88,4073,(株)ジィ・シィ企画,東証GRT,482,-18,-3.6,"41,400",2026/08/21
89,89,4418,(株)ＪＤＳＣ,東証GRT,"1,043",-39,-3.6,"286,000",2026/08/21
90,90,7014,(株)名村造船所,東証STD,"4,420",-165,-3.6,"2,322,900",2026/08/21
91,91,4536,参天製薬(株),東証PRM,"1,879.5",-70,-3.59,"1,262,100",2026/08/21
92,92,4579,ラクオリア創薬(株),東証GRT,565,-21,-3.58,"202,100",2026/08/21
93,93,9310,日本トランスシティ(株),東証PRM,"1,403",-52,-3.57,"165,900",2026/08/21
94,94,1968,太平電業(株),東証PRM,"2,357",-87,-3.56,"167,000",2026/08/21
95,95,3853,アステリア(株),東証PRM,"1,138",-42,-3.56,"220,100",2026/08/21
96,96,3929,ソーシャルワイヤー(株),東証GRT,244,-9,-3.56,"72,200",2026/08/21
97,97,2962,(株)テクニスコ,東証STD,"1,549",-56,-3.49,"740,800",2026/08/21
98,98,6838,(株)多摩川ホールディングス,東証STD,"1,409",-51,-3.49,"230,100",2026/08/21
99,99,4490,(株)ビザスク,東証GRT,665,-24,-3.48,"24,800",2026/08/21
100,100,3444,(株)菊池製作所,東証STD,"1,001",-36,-3.47,"64,700",2026/08/21
101,101,7013,(株)ＩＨＩ,東証PRM,"2,673",-95.5,-3.45,"14,850,200",2026/08/21
102,102,3753,(株)フライトソリューションズ,東証STD,254,-9,-3.42,"435,800",2026/08/21
103,103,6701,ＮＥＣ,東証PRM,"4,656",-164,-3.4,"6,766,300",2026/08/21
104,104,4344,ソースネクスト(株),東証PRM,114,-4,-3.39,"1,601,300",2026/08/21
105,105,4884,クリングルファーマ(株),東証GRT,430,-15,-3.37,"158,400",2026/08/21
106,106,610A,GX 宇宙テック・トップ10(除く日本),東証ETF,"1,090",-38,-3.37,"120,185",2026/08/21
107,107,7220,武蔵精密工業(株),東証PRM,"3,300",-115,-3.37,"680,300",2026/08/21
108,108,6143,(株)ソディック,東証PRM,"1,667",-58,-3.36,"463,300",2026/08/21
109,109,6976,太陽誘電(株),東証PRM,"9,300",-323,-3.36,"22,663,500",2026/08/21
110,110,2395,(株)新日本科学,東証PRM,"1,418",-49,-3.34,"263,200",2026/08/21
111,111,3788,ＧＭＯグローバルサイン・ホールディングス(株),東証PRM,"2,120",-73,-3.33,"29,400",2026/08/21
112,112,6330,東洋エンジニアリング(株),東証PRM,"2,328",-80,-3.32,"1,850,100",2026/08/21
113,113,6866,ＨＩＯＫＩ(株),東証PRM,"10,770",-370,-3.32,"52,000",2026/08/21
114,114,2874,ヨコレイ,東証PRM,"2,102",-72,-3.31,"188,800",2026/08/21
115,115,3110,日東紡,東証PRM,"3,065",-105,-3.31,"5,617,300",2026/08/21
116,116,6928,(株)エノモト,東証STD,"2,993",-102,-3.3,"147,100",2026/08/21
117,117,2354,(株)ＹＥ　ＤＩＧＩＴＡＬ,東証STD,"1,325",-45,-3.28,"553,000",2026/08/21
118,118,3323,レカム(株),東証STD,89,-3,-3.26,"661,400",2026/08/21
119,119,4480,(株)メドレー,東証PRM,"2,863",-96,-3.24,"270,300",2026/08/21
120,120,7453,(株)良品計画,東証PRM,"4,237",-142,-3.24,"2,678,000",2026/08/21
121,121,6376,日機装(株),東証PRM,"3,450",-115,-3.23,"429,100",2026/08/21
122,122,6572,オープングループ(株),東証PRM,270,-9,-3.23,"273,800",2026/08/21
123,123,7777,(株)スリー・ディー・マトリックス,東証GRT,359,-12,-3.23,"1,287,300",2026/08/21
124,124,6101,(株)ツガミ,東証PRM,"5,410",-180,-3.22,"412,600",2026/08/21
125,125,4413,(株)ボードルア,東証PRM,"3,020",-100,-3.21,"686,400",2026/08/21
126,126,4578,大塚ホールディングス(株),東証PRM,"12,195",-405,-3.21,"828,900",2026/08/21
127,127,2780,(株)コメ兵ホールディングス,東証STD,"5,140",-170,-3.2,"210,000",2026/08/21
128,128,9331,(株)キャスター,東証GRT,726,-24,-3.2,"1,600",2026/08/21
129,129,505A,(株)ギークリー,東証STD,"1,334",-44,-3.19,"52,300",2026/08/21
130,130,6656,インスペック(株),東証STD,798,-26,-3.16,"50,700",2026/08/21
131,131,558A,(株)ＳＱＵＥＥＺＥ,東証GRT,"5,570",-180,-3.13,"88,700",2026/08/21
132,132,4552,ＪＣＲファーマ(株),東証PRM,529,-17,-3.11,"454,400",2026/08/21
133,133,2855,GX グリーン・J-REIT,東証ETF,944,-30,-3.08,"4,359",2026/08/21
134,134,4047,関東電化工業(株),東証PRM,"2,326",-74,-3.08,"658,300",2026/08/21
135,135,4592,サンバイオ(株),東証GRT,"1,010",-32,-3.07,"469,400",2026/08/21
136,136,6439,中日本鋳工(株),名証MN,383,-12,-3.04,700,2026/08/21
137,137,1624,(NEXT FUNDS)機械上場投信,東証ETF,"84,240","-2,630",-3.03,343,2026/08/21
138,138,290A,(株)Ｓｙｎｓｐｅｃｔｉｖｅ,東証GRT,"1,342",-42,-3.03,"1,042,500",2026/08/21
139,139,6278,ユニオンツール(株),東証PRM,"14,450",-450,-3.02,"331,700",2026/08/21
140,140,7011,三菱重工業(株),東証PRM,"3,932",-122,-3.01,"16,411,300",2026/08/21
141,141,4441,トビラシステムズ(株),東証STD,"1,456",-45,-3.0,"17,000",2026/08/21
142,142,6613,(株)ＱＤレーザ,東証GRT,"2,100",-65,-3.0,"1,904,300",2026/08/21
143,143,6532,(株)ベイカレント,東証PRM,"7,485",-230,-2.98,"1,025,900",2026/08/21
144,144,2179,(株)成学社,東証STD,862,-26,-2.93,"3,600",2026/08/21
145,145,464A,(株)ＱＰＳホールディングス,東証GRT,"1,786",-54,-2.93,"1,296,000",2026/08/21
146,146,6768,(株)タムラ製作所,東証PRM,765,-23,-2.92,"583,500",2026/08/21
147,147,2193,クックパッド(株),東証STD,134,-4,-2.9,"262,100",2026/08/21
148,148,281A,インフォメティス(株),東証GRT,436,-13,-2.9,"70,000",2026/08/21
149,149,3994,(株)マネーフォワード,東証PRM,"6,100",-182,-2.9,"521,500",2026/08/21
150,150,4434,(株)サーバーワークス,東証STD,"2,446",-73,-2.9,"32,400",2026/08/21
