順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,7162,アストマックス(株),東証STD,298,+80,36.7,"2,036,000",2026/05/01
2,2,4772,(株)ＳＭ　ＥＮＴＥＲＴＡＩＮＭＥＮＴ　ＪＡＰＡＮ,東証GRT,120,+30,33.33,"9,258,100",2026/05/01
3,3,7236,(株)ティラド,東証PRM,"14,600","+3,490",31.41,"626,300",2026/05/01
4,4,5250,ＧＭＯプライム・ストラテジー(株),東証STD,"1,355",+300,28.44,"20,200",2026/05/01
5,5,6870,日本フェンオール(株),東証STD,"2,596",+500,23.85,"182,200",2026/05/01
6,6,3634,(株)ソケッツ,東証STD,951,+150,18.73,"911,400",2026/05/01
7,7,5332,ＴＯＴＯ(株),東証PRM,"6,425","+1,000",18.43,"3,169,300",2026/05/01
8,8,5342,ジャニス工業(株),名証MN,531,+78,17.22,"7,700",2026/05/01
9,9,8053,住友商事(株),東証PRM,"6,840","+1,000",17.12,"17,136,600",2026/05/01
10,10,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ(株),東証GRT,"10,770","+1,500",16.18,"1,631,300",2026/05/01
11,11,4691,ワシントンホテル(株),東証STD,"2,351",+321,15.81,"856,900",2026/05/01
12,12,3696,(株)セレス,東証PRM,"2,062",+267,14.87,"2,154,100",2026/05/01
13,13,2134,北浜キャピタルパートナーズ(株),東証STD,33,+4,13.79,"10,992,500",2026/05/01
14,14,2267,(株)ヤクルト本社,東証PRM,"3,087",+354.5,12.97,"9,656,600",2026/05/01
15,15,3137,(株)ファンデリー,東証STD,257,+29,12.72,"7,029,300",2026/05/01
16,16,8015,豊田通商(株),東証PRM,"6,868",+767,12.57,"7,293,200",2026/05/01
17,17,5903,ＳＨＩＮＰＯ(株),東証STD,"1,696",+182,12.02,"281,400",2026/05/01
18,18,7625,(株)グローバルダイニング,東証STD,492,+52,11.82,"45,300",2026/05/01
19,19,4499,(株)Ｓｐｅｅｅ,東証STD,"2,741",+279,11.33,"654,200",2026/05/01
20,20,7063,(株)Ｂｉｒｄｍａｎ,東証GRT,118,+12,11.32,"6,706,700",2026/05/01
21,21,9941,太洋物産(株),東証STD,"1,127",+102,9.95,"700,400",2026/05/01
22,22,6898,トミタ電機(株),東証STD,"4,155",+370,9.78,"16,900",2026/05/01
23,23,4437,ｇｏｏｄｄａｙｓホールディングス(株),東証GRT,"1,180",+100,9.26,"17,300",2026/05/01
24,24,7911,ＴＯＰＰＡＮホールディングス(株),東証PRM,"5,080",+430,9.25,"3,254,100",2026/05/01
25,25,9020,東日本旅客鉄道(株),東証PRM,"3,700",+312,9.21,"8,824,700",2026/05/01
26,26,7976,三菱鉛筆(株),東証PRM,"2,547",+213,9.13,"383,500",2026/05/01
27,27,6769,ザインエレクトロニクス(株),東証STD,"1,292",+104,8.75,"935,000",2026/05/01
28,28,2164,(株)地域新聞社,東証STD,352,+28,8.64,"189,500",2026/05/01
29,29,6138,ダイジェット工業(株),東証STD,"1,163",+89,8.29,"26,500",2026/05/01
30,30,6840,(株)ＡＫＩＢＡホールディングス,東証STD,589,+45,8.27,"663,800",2026/05/01
31,31,8704,トレイダーズホールディングス(株),東証STD,"1,128",+85,8.15,"801,800",2026/05/01
32,32,4840,(株)トライアイズ,東証STD,765,+57,8.05,"266,400",2026/05/01
33,33,7609,ダイトロン(株),東証PRM,"3,140",+231,7.94,"263,200",2026/05/01
34,34,5597,ブルーイノベーション(株),東証GRT,"1,912",+140,7.9,"676,200",2026/05/01
35,35,6823,リオン(株),東証PRM,"3,650",+265,7.83,"197,500",2026/05/01
36,36,4169,ＥＮＥＣＨＡＮＧＥ(株),東証GRT,331,+24,7.82,"1,583,900",2026/05/01
37,37,6862,ミナトホールディングス(株),東証STD,"3,060",+219,7.71,"825,100",2026/05/01
38,38,2216,カンロ(株),東証STD,"1,180",+84,7.66,"293,100",2026/05/01
39,39,3787,(株)テクノマセマティカル,東証STD,409,+29,7.63,"34,100",2026/05/01
40,40,6890,(株)フェローテック,東証STD,"8,090",+560,7.44,"1,432,200",2026/05/01
41,41,4417,グローバルセキュリティエキスパート(株),東証GRT,"2,682",+185,7.41,"450,100",2026/05/01
42,42,4594,ブライトパス・バイオ(株),東証GRT,59,+4,7.27,"8,884,400",2026/05/01
43,43,6861,(株)キーエンス,東証PRM,"76,460","+5,160",7.24,"1,667,000",2026/05/01
44,44,7345,(株)アイ・パートナーズフィナンシャル,東証GRT,"1,079",+72,7.15,"12,000",2026/05/01
45,45,1867,(株)植木組,東証STD,"2,688",+178,7.09,"39,300",2026/05/01
46,46,456A,ＨＵＭＡＮ　ＭＡＤＥ(株),東証GRT,"1,452",+96,7.08,"612,300",2026/05/01
47,47,9240,(株)デリバリーコンサルティング,東証GRT,503,+33,7.02,"35,800",2026/05/01
48,48,7946,(株)光陽社,名証MN,367,+24,7.0,200,2026/05/01
49,49,6235,(株)オプトラン,東証PRM,"4,360",+285,6.99,"1,177,900",2026/05/01
50,50,7942,(株)ＪＳＰ,東証PRM,"2,461",+159,6.91,"142,700",2026/05/01
51,51,3691,(株)デジタルプラス,東証GRT,"2,215",+143,6.9,"72,300",2026/05/01
52,52,8035,東京エレクトロン(株),東証PRM,"47,450","+3,060",6.89,"5,915,900",2026/05/01
53,53,6264,(株)マルマエ,東証PRM,"2,041",+131,6.86,"1,168,800",2026/05/01
54,54,5698,(株)エンビプロ・ホールディングス,東証STD,"1,164",+74,6.79,"548,500",2026/05/01
55,55,7358,(株)ポピンズ,東証STD,"1,510",+96,6.79,"70,800",2026/05/01
56,56,281A,インフォメティス(株),東証GRT,740,+47,6.78,"570,100",2026/05/01
57,57,9237,(株)笑美面,東証GRT,726,+46,6.76,"45,500",2026/05/01
58,58,218A,(株)Ｌｉｂｅｒａｗａｒｅ,東証GRT,"1,432",+90,6.71,"1,426,100",2026/05/01
59,59,1783,(株)ｆａｎｔａｓｉｓｔａ,東証STD,65,+4,6.56,"1,486,700",2026/05/01
60,60,6135,(株)牧野フライス製作所,東証PRM,"12,660",+760,6.39,"671,600",2026/05/01
61,61,3934,(株)ベネフィットジャパン,東証STD,"2,002",+120,6.38,"12,000",2026/05/01
62,62,4406,新日本理化(株),東証STD,202,+12,6.32,"638,400",2026/05/01
63,63,2997,(株)ストレージ王,東証GRT,"1,015",+60,6.28,"14,600",2026/05/01
64,64,6986,双葉電子工業(株),東証PRM,734,+43,6.22,"419,100",2026/05/01
65,65,5901,東洋製罐グループホールディングス(株),東証PRM,"3,438",+199,6.14,"966,600",2026/05/01
66,66,2768,双日(株),東証PRM,"6,218",+358,6.11,"9,120,400",2026/05/01
67,67,6454,マックス(株),東証PRM,"1,796",+103,6.08,"835,100",2026/05/01
68,68,6232,(株)ＡＣＳＬ,東証GRT,"2,502",+143,6.06,"11,766,500",2026/05/01
69,69,9517,イーレックス(株),東証PRM,"1,071",+61,6.04,"491,700",2026/05/01
70,70,2323,(株)ｆｏｎｆｕｎ,東証STD,369,+21,6.03,"61,900",2026/05/01
71,71,255A,ジーエルテクノホールディングス(株),東証STD,"5,500",+310,5.97,"148,700",2026/05/01
72,72,438A,(株)インフキュリオン,東証GRT,853,+48,5.96,"165,400",2026/05/01
73,73,6918,(株)アバールデータ,東証STD,"3,105",+172,5.86,"38,900",2026/05/01
74,74,7839,(株)ＳＨＯＥＩ,東証PRM,"1,850",+102,5.84,"646,400",2026/05/01
75,75,4800,オリコン(株),東証STD,"1,222",+67,5.8,"264,700",2026/05/01
76,76,7806,(株)ＭＴＧ,東証GRT,"6,100",+330,5.72,"124,500",2026/05/01
77,77,4593,(株)ヘリオス,東証GRT,333,+18,5.71,"1,475,500",2026/05/01
78,78,6562,(株)ジーニー,東証GRT,"1,022",+55,5.69,"82,300",2026/05/01
79,79,2489,(株)アドウェイズ,東証STD,286,+15,5.54,"93,900",2026/05/01
80,80,1381,(株)アクシーズ,東証STD,"4,030",+210,5.5,"58,000",2026/05/01
81,81,8841,(株)テーオーシー,東証STD,"1,106",+57,5.43,"425,000",2026/05/01
82,82,145A,(株)Ｌ　ｉｓ　Ｂ,東証GRT,877,+45,5.41,"10,800",2026/05/01
83,83,6380,オリエンタルチエン工業(株),東証STD,"4,290",+220,5.41,"21,700",2026/05/01
84,84,4960,ケミプロ化成(株),東証STD,724,+37,5.39,"92,900",2026/05/01
85,85,6096,(株)レアジョブ,東証STD,361,+18,5.25,"449,800",2026/05/01
86,86,6580,(株)ライトアップ,東証GRT,"1,213",+60,5.2,"85,700",2026/05/01
87,87,4486,ユナイトアンドグロウ(株),東証GRT,674,+33,5.15,"17,600",2026/05/01
88,88,4592,サンバイオ(株),東証GRT,"1,970",+95,5.07,"1,002,300",2026/05/01
