順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,9625,(株)セレスポ,東証STD,845,-235,-21.76,"285,500",2026/08/04
2,2,3856,Ａｂａｌａｎｃｅ(株),東証STD,330,-80,-19.51,"887,000",2026/08/04
3,3,4052,フィーチャ(株),東証GRT,342,-80,-18.96,"872,200",2026/08/04
4,4,6632,(株)ＪＶＣケンウッド,東証PRM,930.1,-209.9,-18.41,"6,370,700",2026/08/04
5,5,7460,(株)ヤギ,東証STD,"1,583",-221,-12.25,"193,300",2026/08/04
6,6,9845,(株)パーカーコーポレーション,東証STD,"1,432",-192,-11.82,"59,900",2026/08/04
7,7,3371,(株)ソフトクリエイトホールディングス,東証PRM,"1,827",-186,-9.24,"294,800",2026/08/04
8,8,3914,ＪＩＧ－ＳＡＷ(株),東証GRT,"2,296",-233,-9.21,"124,600",2026/08/04
9,9,604A,(株)ビーエイブル,東証STD,908,-85,-8.56,"1,205,400",2026/08/04
10,10,2282,日本ハム(株),東証PRM,"5,796",-532,-8.41,"2,166,800",2026/08/04
11,11,9236,ジャパンＭ＆Ａソリューション(株),東証GRT,"1,158",-104,-8.24,"8,000",2026/08/04
12,12,7003,(株)三井Ｅ＆Ｓ,東証PRM,"4,070",-355,-8.02,"10,628,500",2026/08/04
13,13,3191,(株)ジョイフル本田,東証PRM,"2,216",-193,-8.01,"399,300",2026/08/04
14,14,5201,ＡＧＣ(株),東証PRM,"5,585",-478,-7.88,"5,294,100",2026/08/04
15,15,9158,(株)シーユーシー,東証GRT,700,-52,-6.91,"240,700",2026/08/04
16,16,2281,プリマハム(株),東証PRM,"2,346",-174,-6.9,"514,200",2026/08/04
17,17,4736,日本ラッド(株),東証STD,594,-44,-6.9,"28,200",2026/08/04
18,18,3350,(株)メタプラネット,東証STD,217,-15,-6.47,"20,741,700",2026/08/04
19,19,9064,ヤマトホールディングス(株),東証PRM,"1,915.5",-125.5,-6.15,"2,884,900",2026/08/04
20,20,4005,住友化学(株),東証PRM,482.2,-30.4,-5.93,"54,875,400",2026/08/04
21,21,8995,(株)誠建設工業,東証STD,"1,074",-66,-5.79,"241,900",2026/08/04
22,22,3306,日本製麻(株),東証STD,745,-45,-5.7,"21,500",2026/08/04
23,23,2810,ハウス食品グループ本社(株),東証PRM,"3,601",-217,-5.68,"748,900",2026/08/04
24,24,1999,サイタホールディングス(株),福証,"4,000",-240,-5.66,100,2026/08/04
25,25,6030,(株)アドベンチャー,東証GRT,"1,436",-86,-5.65,"9,800",2026/08/04
26,26,2121,(株)ＭＩＸＩ,東証PRM,"3,210",-190,-5.59,"730,100",2026/08/04
27,27,2782,(株)セリア,東証STD,"3,970",-225,-5.36,"598,700",2026/08/04
28,28,7806,(株)ＭＴＧ,東証GRT,"7,400",-400,-5.13,"194,600",2026/08/04
29,29,2065,NEXT NOTES 日本株配当貴族（ドルH、NR）ETN,東証ETF,"56,490","-3,020",-5.07,6,2026/08/04
30,30,6018,阪神内燃機工業(株),東証STD,"6,370",-340,-5.07,"4,500",2026/08/04
31,31,7255,(株)桜井製作所,東証STD,516,-27,-4.97,"1,000",2026/08/04
32,32,6326,(株)クボタ,東証PRM,"2,583.5",-133.5,-4.91,"17,966,500",2026/08/04
33,33,3678,(株)メディアドゥ,東証PRM,"1,231",-63,-4.87,"67,700",2026/08/04
34,34,5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ(株),東証GRT,196,-10,-4.85,"220,300",2026/08/04
35,35,4413,(株)ボードルア,東証PRM,"2,633",-133,-4.81,"259,500",2026/08/04
36,36,7236,(株)ティラド,東証PRM,"1,452",-73,-4.79,"1,246,400",2026/08/04
37,37,7851,カワセコンピュータサプライ(株),福証,186,-9,-4.62,100,2026/08/04
38,38,4661,(株)オリエンタルランド,東証PRM,"2,945",-142,-4.6,"7,951,800",2026/08/04
39,39,4718,(株)早稲田アカデミー,東証PRM,"2,363",-113,-4.56,"50,500",2026/08/04
40,40,2643,(NEXTFUNDS) MSCIジャパンカントリー指数(セレクト),東証ETF,"4,160",-198,-4.54,4,2026/08/04
