順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,3185,夢展望(株),東証GRT,115,-31,-21.23,"586,300",2026/09/14
2,2,8995,(株)誠建設工業,東証STD,"2,048",-500,-19.62,"866,200",2026/09/14
3,3,4440,(株)ヴィッツ,東証STD,"2,135",-489,-18.64,"1,453,700",2026/09/14
4,4,6203,豊和工業(株),東証STD,"2,344",-500,-17.58,"18,337,800",2026/09/14
5,5,3653,(株)モルフォ,東証GRT,"1,079",-210,-16.29,"866,500",2026/09/14
6,6,7878,(株)光・彩,東証STD,"1,266",-244,-16.16,"75,800",2026/09/14
7,7,4052,フィーチャ(株),東証GRT,938,-180,-16.1,"4,446,100",2026/09/14
8,8,3195,(株)ジェネレーションパス,東証STD,597,-100,-14.35,"83,000",2026/09/14
9,9,6081,アライドアーキテクツ(株),東証GRT,145,-18,-11.04,"2,274,700",2026/09/14
10,10,9984,ソフトバンクグループ(株),東証PRM,"5,839",-701,-10.72,"66,654,500",2026/09/14
11,11,3070,(株)ジェリービーンズグループ,東証GRT,54,-6,-10.0,"4,154,400",2026/09/14
12,12,4378,(株)ＣＩＮＣ,東証GRT,462,-50,-9.77,"92,200",2026/09/14
13,13,6085,アーキテクツ・スタジオ・ジャパン(株),東証GRT,141,-15,-9.62,"4,764,400",2026/09/14
14,14,6336,(株)石井表記,東証STD,"1,412",-148,-9.49,"399,600",2026/09/14
15,15,3121,マーチャント・バンカーズ(株),東証STD,250,-24,-8.76,"77,100",2026/09/14
16,16,4014,(株)カラダノート,東証GRT,470,-45,-8.74,"260,600",2026/09/14
17,17,5889,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ(株),東証PRM,"2,280",-218,-8.73,"779,500",2026/09/14
18,18,5031,モイ(株),東証GRT,398,-37,-8.51,"3,754,800",2026/09/14
19,19,4883,(株)モダリス,東証GRT,33,-3,-8.33,"2,880,500",2026/09/14
20,20,3907,シリコンスタジオ(株),東証STD,"1,955",-161,-7.61,"304,500",2026/09/14
21,21,6668,(株)アドテック　プラズマ　テクノロジー,東証STD,"3,665",-300,-7.57,"118,500",2026/09/14
22,22,4667,アイサンテクノロジー(株),東証STD,"3,365",-270,-7.43,"695,200",2026/09/14
23,23,9236,ジャパンＭ＆Ａソリューション(株),東証GRT,"1,325",-96,-6.76,"6,500",2026/09/14
24,24,6208,(株)石川製作所,東証STD,"1,730",-125,-6.74,"569,200",2026/09/14
25,25,4316,(株)ビーマップ,東証GRT,98,-7,-6.67,"518,500",2026/09/14
26,26,1773,ＹＴＬ,東証PRM外国,85,-6,-6.59,"12,000",2026/09/14
27,27,3903,(株)ｇｕｍｉ,東証PRM,202,-14,-6.48,"2,775,100",2026/09/14
28,28,285A,キオクシアホールディングス(株),東証PRM,"50,590","-3,440",-6.37,"28,534,900",2026/09/14
29,29,2033,NEXT NOTES 韓国KOSPI･ダブル･ブルETN,東証ETF,"73,000","-4,940",-6.34,"3,614",2026/09/14
30,30,2321,(株)ソフトフロントホールディングス,東証GRT,151,-10,-6.21,"1,195,400",2026/09/14
31,31,5805,ＳＷＣＣ(株),東証PRM,"12,760",-840,-6.18,"347,200",2026/09/14
32,32,3103,ユニチカ(株),東証STD,"1,380",-90,-6.12,"4,112,700",2026/09/14
33,33,6659,(株)メディアリンクス,東証STD,46,-3,-6.12,"5,003,900",2026/09/14
34,34,6227,ＡＩメカテック(株),東証STD,"5,450",-350,-6.03,"1,437,500",2026/09/14
35,35,4004,(株)レゾナック・ホールディングス,東証PRM,"13,440",-855,-5.98,"3,737,600",2026/09/14
36,36,7603,ジーイエット(株),東証STD,34,-2,-5.56,"814,100",2026/09/14
37,37,4381,ビープラッツ(株),東証GRT,243,-14,-5.45,"360,800",2026/09/14
38,38,6976,太陽誘電(株),東証PRM,"8,714",-495,-5.38,"25,803,500",2026/09/14
39,39,6696,(株)トラース・オン・プロダクト,東証GRT,312,-17,-5.17,"40,700",2026/09/14
40,40,6656,インスペック(株),東証STD,758,-41,-5.13,"80,000",2026/09/14
41,41,3370,(株)フジタコーポレーション,東証STD,465,-25,-5.1,"73,800",2026/09/14
42,42,4461,第一工業製薬(株),東証PRM,"11,850",-630,-5.05,"215,500",2026/09/14
43,43,2134,北浜キャピタルパートナーズ(株),東証STD,19,-1,-5.0,"1,640,400",2026/09/14
44,44,5985,サンコール(株),東証STD,"2,014",-106,-5.0,"973,700",2026/09/14
45,45,3159,丸善ＣＨＩホールディングス(株),東証STD,381,-19,-4.75,"302,300",2026/09/14
46,46,4274,細谷火工(株),東証STD,"1,117",-55,-4.69,"633,100",2026/09/14
47,47,2315,(株)ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,東証STD,63,-3,-4.55,"6,341,900",2026/09/14
48,48,7694,(株)いつも,東証GRT,567,-27,-4.55,"36,200",2026/09/14
49,49,9610,ウィルソン・ラーニング　ワールドワイド(株),東証STD,107,-5,-4.46,"243,400",2026/09/14
50,50,5820,(株)三ッ星,東証STD,841,-39,-4.43,"73,700",2026/09/14
51,51,3193,(株)エターナルホスピタリティグループ,東証PRM,"1,299",-60,-4.42,"572,300",2026/09/14
52,52,6225,(株)エコム,名証MN,"2,055",-95,-4.42,"1,100",2026/09/14
53,53,6862,ミナトホールディングス(株),東証STD,"4,120",-190,-4.41,"270,900",2026/09/14
54,54,6190,(株)フェニックスバイオ,東証GRT,306,-14,-4.38,"18,200",2026/09/14
55,55,3421,(株)稲葉製作所,東証STD,"1,619",-74,-4.37,"73,800",2026/09/14
56,56,4564,オンコセラピー・サイエンス(株),東証GRT,22,-1,-4.35,"168,259,100",2026/09/14
