順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,9256,(株)サクシード,東証GRT,"1,640",-500,-23.36,"254,900",2026/06/17
2,2,485A,(株)パワーエックス,東証GRT,"2,291",-500,-17.91,"4,976,500",2026/06/17
3,3,523A,(株)セイワホールディングス,東証GRT,"1,640",-245,-13.0,"473,800",2026/06/17
4,4,2345,(株)ＨＯＤＬ１,東証STD,176,-26,-12.87,"1,039,000",2026/06/17
5,5,3997,(株)トレードワークス,東証STD,340,-49,-12.6,"839,500",2026/06/17
6,6,6634,(株)ＪＮグループ,東証STD,60,-7,-10.45,"1,351,700",2026/06/17
7,7,556A,犬猫生活(株),東証GRT,"2,401",-279,-10.41,"205,400",2026/06/17
8,8,4446,Ｌｉｎｋ－Ｕグループ(株),東証PRM,707,-78,-9.94,"253,200",2026/06/17
9,9,3559,(株)ピーバンドットコム,東証STD,415,-44,-9.59,"1,073,000",2026/06/17
10,10,6613,(株)ＱＤレーザ,東証GRT,"2,377",-243,-9.27,"4,464,000",2026/06/17
11,11,462A,(株)ＦＵＮＤＩＮＮＯ,東証GRT,260,-26,-9.09,"503,600",2026/06/17
12,12,8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ(株),東証STD,191,-19,-9.05,"6,942,300",2026/06/17
13,13,3825,(株)リミックスポイント,東証STD,225,-21,-8.54,"4,434,500",2026/06/17
14,14,6656,インスペック(株),東証STD,"1,000",-92,-8.42,"341,900",2026/06/17
15,15,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ(株),東証GRT,"8,020",-730,-8.34,"2,099,300",2026/06/17
16,16,5572,(株)Ｒｉｄｇｅ－ｉ,東証GRT,"2,823",-252,-8.2,"125,500",2026/06/17
17,17,7746,岡本硝子(株),東証STD,828,-69,-7.69,"1,408,400",2026/06/17
18,18,9399,ビート・ホールディングス・リミテッド,東証STD外国,12,-1,-7.69,"1,542,538",2026/06/17
19,19,6619,ダブル・スコープ(株),東証PRM,192,-15,-7.25,"2,692,000",2026/06/17
20,20,2038,NEXT NOTES ドバイ原油先物 ダブル・ブル ETN,東証ETF,"2,045",-155,-7.05,"181,053",2026/06/17
21,21,5449,大阪製鐵(株),東証STD,"2,238",-168,-6.98,"91,100",2026/06/17
22,22,6228,(株)ジェイ・イー・ティ,東証STD,730,-52,-6.65,"82,900",2026/06/17
23,23,3803,イメージ情報開発(株),東証GRT,453,-32,-6.6,"219,600",2026/06/17
24,24,9366,(株)サンリツ,東証STD,"1,011",-68,-6.3,"33,100",2026/06/17
25,25,5729,日本精鉱(株),東証STD,"1,549",-101,-6.12,"95,700",2026/06/17
26,26,9331,(株)キャスター,東証GRT,980,-61,-5.86,"11,300",2026/06/17
27,27,7063,(株)Ｂｉｒｄｍａｎ,東証GRT,81,-5,-5.81,"642,000",2026/06/17
28,28,4179,(株)ジーネクスト,東証GRT,660,-40,-5.71,"6,959,700",2026/06/17
29,29,4242,(株)タカギセイコー,東証STD,"1,778",-107,-5.68,"4,700",2026/06/17
30,30,7036,(株)イーエムネットジャパン,東証GRT,605,-36,-5.62,"20,000",2026/06/17
31,31,7412,(株)アトム,東証STD,454,-27,-5.61,"5,518,100",2026/06/17
32,32,6838,(株)多摩川ホールディングス,東証STD,"2,153",-127,-5.57,"1,705,200",2026/06/17
33,33,3905,データセクション(株),東証GRT,"4,915",-285,-5.48,"1,545,200",2026/06/17
34,34,6875,(株)メガチップス,東証PRM,"10,510",-590,-5.32,"180,700",2026/06/17
35,35,2607,不二製油(株),東証PRM,"3,493",-195,-5.29,"500,900",2026/06/17
36,36,3681,(株)ブイキューブ,東証PRM,18,-1,-5.26,"653,100",2026/06/17
37,37,3192,(株)白鳩,東証STD,292,-16,-5.19,"100,500",2026/06/17
38,38,3964,(株)オークネット,東証PRM,"1,353",-74,-5.19,"275,400",2026/06/17
39,39,442A,クラシコ(株),東証GRT,"1,096",-59,-5.11,"24,200",2026/06/17
40,40,1999,サイタホールディングス(株),福証,"4,100",-215,-4.98,400,2026/06/17
41,41,6425,(株)ユニバーサルエンターテインメント,東証STD,634,-33,-4.95,"519,600",2026/06/17
42,42,3134,Ｈａｍｅｅ(株),東証STD,317,-16,-4.8,"236,000",2026/06/17
43,43,1690,WisdomTree WTI原油上場投信,東証ETF,"2,131.5",-107,-4.78,"7,290",2026/06/17
44,44,1684,WisdomTree ブロード上場投信,東証ETF,"2,369.5",-118.5,-4.76,330,2026/06/17
45,45,2384,ＳＢＳホールディングス(株),東証PRM,"4,300",-215,-4.76,"139,800",2026/06/17
46,46,1671,WTI原油価格連動型上場投信,東証ETF,"4,605",-228,-4.72,"497,206",2026/06/17
47,47,6548,(株)旅工房,東証GRT,102,-5,-4.67,"367,000",2026/06/17
48,48,3804,(株)システム　ディ,東証STD,433,-21,-4.63,"10,400",2026/06/17
49,49,3370,(株)フジタコーポレーション,東証STD,458,-22,-4.58,"13,800",2026/06/17
50,50,7501,(株)ティムコ,東証STD,"1,656",-79,-4.55,"1,700",2026/06/17
51,51,3563,(株)ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,東証PRM,"9,696",-454,-4.47,"1,649,700",2026/06/17
52,52,8338,(株)筑波銀行,東証PRM,663,-31,-4.47,"1,878,100",2026/06/17
53,53,290A,(株)Ｓｙｎｓｐｅｃｔｉｖｅ,東証GRT,"1,276",-58,-4.35,"3,357,000",2026/06/17
54,54,219A,Ｈｅａｒｔｓｅｅｄ(株),東証GRT,"1,632",-73,-4.28,"293,000",2026/06/17
55,55,504A,イノバセル(株),東証GRT,471,-21,-4.27,"116,700",2026/06/17
56,56,4592,サンバイオ(株),東証GRT,"1,125",-50,-4.26,"1,321,400",2026/06/17
57,57,9444,(株)トーシンホールディングス,東証STD,203,-9,-4.25,"29,000",2026/06/17
58,58,190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ(株),東証GRT,68,-3,-4.23,"1,785,500",2026/06/17
59,59,3664,(株)ＷＩＺＥ,東証GRT,24,-1,-4.0,"834,700",2026/06/17
60,60,5199,不二ラテックス(株),東証STD,"1,873",-77,-3.95,"2,300",2026/06/17
61,61,9632,スバル興業(株),東証STD,"3,525",-145,-3.95,"25,700",2026/06/17
62,62,8345,(株)岩手銀行,東証PRM,"1,968",-79,-3.86,"225,500",2026/06/17
63,63,6232,(株)ＡＣＳＬ,東証GRT,"1,764",-70,-3.82,"921,600",2026/06/17
64,64,2867,GX 自動運転&EV,東証ETF,"2,020",-80,-3.81,"8,186",2026/06/17
65,65,8139,(株)ナガホリ,東証STD,"2,053",-81,-3.8,"3,300",2026/06/17
66,66,477A,(株)スタートライン,東証GRT,642,-25,-3.75,"35,300",2026/06/17
67,67,8362,(株)福井銀行,東証PRM,"5,160",-200,-3.73,"60,100",2026/06/17
68,68,4052,フィーチャ(株),東証GRT,233,-9,-3.72,"13,100",2026/06/17
69,69,4586,(株)メドレックス,東証GRT,54,-2,-3.57,"450,800",2026/06/17
70,70,2586,(株)フルッタフルッタ,東証GRT,109,-4,-3.54,"2,577,000",2026/06/17
71,71,276A,ククレブ・アドバイザーズ(株),東証GRT,"2,976",-109,-3.53,"46,000",2026/06/17
72,72,7322,(株)三十三フィナンシャルグループ,東証PRM,"1,683",-61,-3.5,"445,800",2026/06/17
73,73,456A,ＨＵＭＡＮ　ＭＡＤＥ(株),東証GRT,"1,632",-59,-3.49,"687,900",2026/06/17
