順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,2586,(株)フルッタフルッタ,東証GRT,110,+30,37.5,"20,403,300",2026/05/27
2,2,9890,(株)マキヤ,東証STD,"1,500",+300,25.0,"151,900",2026/05/27
3,3,6327,北川精機(株),東証STD,"4,300",+700,19.44,"1,310,400",2026/05/27
4,4,3011,(株)バナーズ,東証STD,180,+29,19.21,"122,000",2026/05/27
5,5,4366,ダイトーケミックス(株),東証STD,530,+80,17.78,"870,800",2026/05/27
6,6,3777,(株)環境フレンドリーホールディングス,東証GRT,60,+9,17.65,"18,938,200",2026/05/27
7,7,6635,(株)大日光・エンジニアリング,東証STD,"1,012",+150,17.4,"656,800",2026/05/27
8,8,6597,ＨＰＣシステムズ(株),東証GRT,"4,900",+700,16.67,"854,100",2026/05/27
9,9,1948,(株)弘電社,東証STD,"10,650","+1,500",16.39,"24,600",2026/05/27
10,10,4885,室町ケミカル(株),東証STD,"1,112",+150,15.59,"189,000",2026/05/27
11,11,6245,(株)ヒラノテクシード,東証STD,"1,863",+248,15.36,"391,000",2026/05/27
12,12,9256,(株)サクシード,東証GRT,"2,632",+282,12.0,"72,000",2026/05/27
13,13,9399,ビート・ホールディングス・リミテッド,東証STD外国,19,+2,11.76,"5,346,824",2026/05/27
14,14,3936,(株)グローバルウェイ,東証GRT,177,+18,11.32,"11,958,200",2026/05/27
15,15,8798,(株)アドバンスクリエイト,東証PRM,142,+13,10.08,"1,605,600",2026/05/27
16,16,3624,アクセルマーク(株),東証GRT,55,+5,10.0,"7,331,100",2026/05/27
17,17,7220,武蔵精密工業(株),東証PRM,"7,500",+680,9.97,"4,072,200",2026/05/27
18,18,6337,(株)テセック,東証STD,"2,661",+227,9.33,"156,000",2026/05/27
19,19,4228,積水化成品工業(株),東証PRM,575,+48,9.11,"840,700",2026/05/27
20,20,5998,(株)アドバネクス,東証STD,"2,812",+227,8.78,"39,700",2026/05/27
21,21,6525,(株)ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,東証PRM,"7,770",+609,8.5,"13,910,400",2026/05/27
22,22,353A,エレベーターコミュニケーションズ(株),福証,"3,665",+285,8.43,"3,800",2026/05/27
23,23,9227,マイクロ波化学(株),東証GRT,"1,209",+94,8.43,"9,484,400",2026/05/27
24,24,3907,シリコンスタジオ(株),東証STD,"2,098",+163,8.42,"1,492,200",2026/05/27
25,25,2590,ダイドーグループホールディングス(株),東証PRM,"2,719",+210,8.37,"463,100",2026/05/27
26,26,9166,(株)ＧＥＮＤＡ,東証GRT,523,+40,8.28,"4,413,900",2026/05/27
27,27,9204,スカイマーク(株),東証GRT,406,+31,8.27,"1,194,400",2026/05/27
28,28,6072,地盤ネットホールディングス(株),東証STD,"1,433",+109,8.23,"2,116,500",2026/05/27
29,29,3686,(株)ディー・エル・イー,東証STD,94,+7,8.05,"808,000",2026/05/27
30,30,4499,(株)Ｓｐｅｅｅ,東証STD,"3,360",+250,8.04,"182,000",2026/05/27
31,31,4419,(株)Ｆｉｎａｔｅｘｔホールディングス,東証GRT,"1,248",+86,7.4,"794,800",2026/05/27
32,32,2938,(株)オカムラ食品工業,東証STD,"1,500",+99,7.07,"195,900",2026/05/27
33,33,4439,(株)東名,東証STD,822,+54,7.03,"60,300",2026/05/27
34,34,442A,クラシコ(株),東証GRT,"1,070",+70,7.0,"2,500",2026/05/27
35,35,6036,ＫｅｅＰｅｒ技研(株),東証PRM,"2,808",+181,6.89,"242,400",2026/05/27
36,36,5018,(株)ＭＯＲＥＳＣＯ,東証STD,"1,898",+119,6.69,"73,800",2026/05/27
37,37,7868,(株)広済堂ホールディングス,東証PRM,698,+43,6.56,"5,935,600",2026/05/27
38,38,7637,白銅(株),東証PRM,"3,680",+220,6.36,"107,100",2026/05/27
39,39,4165,(株)プレイド,東証GRT,558,+33,6.29,"493,600",2026/05/27
40,40,7131,のむら産業(株),東証STD,"3,760",+220,6.21,"4,500",2026/05/27
41,41,6034,ＭＲＴ(株),東証GRT,655,+38,6.16,"32,100",2026/05/27
42,42,5449,大阪製鐵(株),東証STD,"2,680",+155,6.14,"54,200",2026/05/27
43,43,6955,ＦＤＫ(株),東証STD,432,+25,6.14,"95,000",2026/05/27
44,44,7925,前澤化成工業(株),東証PRM,"1,926",+111,6.12,"91,500",2026/05/27
45,45,3697,(株)ＳＨＩＦＴ,東証PRM,697.6,+40.1,6.1,"10,582,400",2026/05/27
46,46,6039,(株)日本動物高度医療センター,東証GRT,"1,013",+58,6.07,"220,600",2026/05/27
47,47,7031,(株)インバウンドテック,東証GRT,680,+38,5.92,"15,800",2026/05/27
48,48,4449,(株)ギフティ,東証PRM,"1,173",+65,5.87,"444,000",2026/05/27
49,49,4889,(株)レナサイエンス,東証GRT,"1,465",+78,5.62,"470,600",2026/05/27
50,50,7681,(株)レオクラン,東証STD,847,+45,5.61,"3,600",2026/05/27
51,51,4263,サスメド(株),東証GRT,707,+37,5.52,"140,200",2026/05/27
52,52,3628,(株)データホライゾン,東証GRT,674,+35,5.48,"45,500",2026/05/27
53,53,7555,(株)大田花き,東証STD,808,+42,5.48,"6,500",2026/05/27
54,54,4063,信越化学工業(株),東証PRM,"7,406",+384,5.47,"11,120,800",2026/05/27
55,55,7867,(株)タカラトミー,東証PRM,"3,095",+158,5.38,"1,086,000",2026/05/27
56,56,6844,新電元工業(株),東証PRM,"3,365",+170,5.32,"228,700",2026/05/27
57,57,4886,あすか製薬ホールディングス(株),東証PRM,"2,977",+147,5.19,"167,100",2026/05/27
58,58,9331,(株)キャスター,東証GRT,689,+34,5.19,"6,200",2026/05/27
59,59,4376,(株)くふうカンパニーホールディングス,東証GRT,163,+8,5.16,"114,200",2026/05/27
60,60,9766,コナミグループ(株),東証PRM,"19,790",+970,5.15,"853,800",2026/05/27
61,61,1773,ＹＴＬ,東証PRM外国,83,+4,5.06,"3,000",2026/05/27
62,62,9740,ＣＳＰ,東証PRM,"2,637",+127,5.06,"75,300",2026/05/27
63,63,5218,(株)オハラ,東証STD,"1,565",+75,5.03,"303,200",2026/05/27
64,64,4258,(株)網屋,東証GRT,"3,350",+160,5.02,"142,500",2026/05/27
65,65,6707,サンケン電気(株),東証PRM,"9,350",+447,5.02,"285,200",2026/05/27
66,66,6360,(株)東京自働機械製作所,東証STD,"4,240",+200,4.95,"10,900",2026/05/27
67,67,9212,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ(株),東証GRT,339,+16,4.95,"560,700",2026/05/27
68,68,3687,(株)フィックスターズ,東証PRM,"2,140",+100,4.9,"6,033,300",2026/05/27
69,69,7043,アルー(株),東証GRT,923,+43,4.89,"2,900",2026/05/27
70,70,3070,(株)ジェリービーンズグループ,東証GRT,86,+4,4.88,"2,767,100",2026/05/27
71,71,6062,(株)チャーム・ケア・コーポレーション,東証PRM,"1,385",+64,4.84,"225,400",2026/05/27
72,72,5537,(株)ＡｌｂａＬｉｎｋ,東証GRT,"2,523",+116,4.82,"104,900",2026/05/27
73,73,4293,(株)セプテーニ・ホールディングス,東証STD,572,+26,4.76,"2,164,000",2026/05/27
74,74,1407,(株)ウエストホールディングス,東証STD,"3,115",+141,4.74,"661,300",2026/05/27
75,75,7741,ＨＯＹＡ(株),東証PRM,"27,195","+1,225",4.72,"1,399,000",2026/05/27
76,76,7735,(株)ＳＣＲＥＥＮホールディングス,東証PRM,"11,220",+505,4.71,"3,065,000",2026/05/27
77,77,7284,盟和産業(株),東証STD,"1,282",+57,4.65,"3,600",2026/05/27
78,78,7318,セレンディップ・ホールディングス(株),東証GRT,"2,350",+102,4.54,"245,900",2026/05/27
79,79,5918,瀧上工業(株),東証STD,"7,440",+320,4.49,300,2026/05/27
80,80,4593,(株)ヘリオス,東証GRT,328,+14,4.46,"1,633,200",2026/05/27
81,81,9235,売れるネット広告社グループ(株),東証GRT,588,+25,4.44,"467,700",2026/05/27
82,82,6463,ＴＰＲ(株),東証PRM,"1,368",+58,4.43,"388,700",2026/05/27
83,83,5139,オープンワーク(株),東証GRT,906,+38,4.38,"43,700",2026/05/27
84,84,264A,(株)Ｓｃｈｏｏ,東証GRT,317,+13,4.28,"80,900",2026/05/27
85,85,7947,(株)エフピコ,東証PRM,"2,393",+98,4.27,"416,900",2026/05/27
86,86,6702,富士通(株),東証PRM,"3,512",+142,4.21,"13,326,600",2026/05/27
87,87,3773,(株)アドバンスト・メディア,東証GRT,"1,066",+43,4.2,"100,600",2026/05/27
88,88,7803,(株)ブシロード,東証GRT,248,+10,4.2,"613,300",2026/05/27
89,89,8074,(株)ＹＵＡＳＡ,東証PRM,"5,760",+230,4.16,"60,400",2026/05/27
90,90,5332,ＴＯＴＯ(株),東証PRM,"7,290",+290,4.14,"1,821,000",2026/05/27
91,91,3512,日本フエルト(株),東証STD,882,+35,4.13,"64,200",2026/05/27
92,92,4371,(株)コアコンセプト・テクノロジー,東証GRT,"1,346",+53,4.1,"105,600",2026/05/27
93,93,4592,サンバイオ(株),東証GRT,"1,473",+58,4.1,"1,118,200",2026/05/27
94,94,5342,ジャニス工業(株),名証MN,484,+19,4.09,300,2026/05/27
95,95,4833,(株)Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,東証GRT,51,+2,4.08,"1,582,400",2026/05/27
96,96,2243,GX 半導体,東証ETF,"4,907",+191,4.05,"505,531",2026/05/27
97,97,6857,(株)アドバンテスト,東証PRM,"27,130","+1,055",4.05,"9,423,800",2026/05/27
98,98,9229,(株)サンウェルズ,東証PRM,181,+7,4.02,"93,400",2026/05/27
99,99,4307,(株)野村総合研究所,東証PRM,"4,747",+183,4.01,"3,351,800",2026/05/27
100,100,3664,(株)ＷＩＺＥ,東証GRT,26,+1,4.0,"6,310,200",2026/05/27
101,101,4894,クオリプス(株),東証GRT,"5,210",+200,3.99,"115,000",2026/05/27
102,102,4576,(株)デ・ウエスタン・セラピテクス研究所,東証GRT,79,+3,3.95,"281,500",2026/05/27
103,103,8844,(株)コスモスイニシア,東証STD,"1,200",+45,3.9,"79,700",2026/05/27
104,104,7733,オリンパス(株),東証PRM,"1,845",+69,3.89,"6,031,400",2026/05/27
105,105,4519,中外製薬(株),東証PRM,"7,878",+292,3.85,"3,277,400",2026/05/27
106,106,7685,(株)ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,東証GRT,"3,930",+145,3.83,"403,300",2026/05/27
107,107,4072,(株)電算システムホールディングス,東証PRM,"3,020",+111,3.82,"90,000",2026/05/27
108,108,421A,(株)ムービン・ストラテジック・キャリア,東証GRT,"2,734",+100,3.8,"79,600",2026/05/27
109,109,4192,スパイダープラス(株),東証GRT,274,+10,3.79,"122,900",2026/05/27
110,110,6473,(株)ジェイテクト,東証PRM,"2,100",+76,3.75,"2,188,700",2026/05/27
111,111,6533,(株)Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,東証PRM,"1,024",+37,3.75,"20,300",2026/05/27
112,112,9388,(株)パパネッツ,福岡Q,"1,382",+50,3.75,"1,400",2026/05/27
