順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,6228,(株)ジェイ・イー・ティ,東証STD,562,-149,-20.96,"366,400",2026/06/19
2,2,3681,(株)ブイキューブ,東証PRM,13,-3,-18.75,"1,054,800",2026/06/19
3,3,4840,(株)トライアイズ,東証STD,631,-139,-18.05,"1,076,700",2026/06/19
4,4,5856,(株)エルアイイーエイチ,東証STD,5,-1,-16.67,"3,016,800",2026/06/19
5,5,6327,北川精機(株),東証STD,"5,190",-960,-15.61,"1,942,000",2026/06/19
6,6,2345,(株)ＨＯＤＬ１,東証STD,122,-21,-14.69,"1,760,900",2026/06/19
7,7,4888,ステラファーマ(株),東証GRT,352,-60,-14.56,"1,217,900",2026/06/19
8,8,1401,(株)エムビーエス,東証GRT,"1,321",-220,-14.28,"169,300",2026/06/19
9,9,5367,(株)ニッカトー,東証STD,"1,609",-241,-13.03,"3,403,800",2026/06/19
10,10,4378,(株)ＣＩＮＣ,東証GRT,564,-77,-12.01,"236,400",2026/06/19
11,11,446A,(株)ノースサンド,東証GRT,"1,178",-148,-11.16,"1,107,600",2026/06/19
12,12,4392,ＦＩＧ(株),東証PRM,"1,143",-137,-10.7,"3,014,900",2026/06/19
13,13,485A,(株)パワーエックス,東証GRT,"1,800",-215,-10.67,"11,664,300",2026/06/19
14,14,186A,(株)アストロスケールホールディングス,東証GRT,"1,198",-133,-9.99,"12,934,700",2026/06/19
15,15,4179,(株)ジーネクスト,東証GRT,505,-55,-9.82,"2,546,700",2026/06/19
16,16,456A,ＨＵＭＡＮ　ＭＡＤＥ(株),東証GRT,"1,510",-162,-9.69,"1,354,000",2026/06/19
17,17,5721,エスクリプトエナジー(株),東証STD,56,-6,-9.68,"3,637,800",2026/06/19
18,18,5253,カバー(株),東証GRT,"1,301",-139,-9.65,"2,579,100",2026/06/19
19,19,6177,ＡｐｐＢａｎｋ(株),東証GRT,76,-8,-9.52,"544,900",2026/06/19
20,20,277A,グロービング(株),東証PRM,"1,926",-194,-9.15,"402,000",2026/06/19
21,21,3498,霞ヶ関キャピタル(株),東証PRM,"6,250",-610,-8.89,"810,600",2026/06/19
22,22,135A,(株)ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,東証GRT,"4,005",-390,-8.87,"156,800",2026/06/19
23,23,4833,(株)Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,東証GRT,42,-4,-8.7,"611,700",2026/06/19
24,24,3691,(株)デジタルプラス,東証GRT,"1,464",-139,-8.67,"177,900",2026/06/19
25,25,9166,(株)ＧＥＮＤＡ,東証GRT,528,-50,-8.65,"2,516,400",2026/06/19
26,26,338A,(株)ＺｅｎｍｕＴｅｃｈ,東証GRT,"1,952",-168,-7.92,"65,400",2026/06/19
27,27,2334,(株)イオレ,東証GRT,619,-53,-7.89,"6,431,300",2026/06/19
28,28,4891,(株)ティムス,東証GRT,105,-9,-7.89,"1,081,200",2026/06/19
29,29,281A,インフォメティス(株),東証GRT,574,-49,-7.87,"352,000",2026/06/19
30,30,7689,(株)コパ・コーポレーション,東証GRT,306,-26,-7.83,"6,100",2026/06/19
31,31,5032,ＡＮＹＣＯＬＯＲ(株),東証PRM,"2,102",-176,-7.73,"2,193,500",2026/06/19
32,32,8894,(株)ＲＥＶＯＬＵＴＩＯＮ,東証STD,24,-2,-7.69,"1,186,700",2026/06/19
33,33,4425,Ｋｕｄａｎ(株),東証GRT,"1,863",-153,-7.59,"412,100",2026/06/19
34,34,3040,(株)ソリトンシステムズ,東証PRM,"2,024",-165,-7.54,"142,800",2026/06/19
35,35,7063,(株)Ｂｉｒｄｍａｎ,東証GRT,74,-6,-7.5,"259,000",2026/06/19
36,36,7138,(株)ＴＯＲＩＣＯ,東証GRT,124,-10,-7.46,"178,700",2026/06/19
37,37,4592,サンバイオ(株),東証GRT,"1,022",-81,-7.34,"1,279,200",2026/06/19
38,38,3810,サイバーステップホールディングス(株),東証STD,190,-15,-7.32,"761,400",2026/06/19
39,39,6659,(株)メディアリンクス,東証STD,51,-4,-7.27,"2,930,900",2026/06/19
40,40,9348,(株)ｉｓｐａｃｅ,東証GRT,434,-34,-7.26,"6,756,700",2026/06/19
41,41,3687,(株)フィックスターズ,東証PRM,"2,520",-197,-7.25,"6,573,200",2026/06/19
42,42,3625,テックファームホールディングス(株),東証GRT,529,-41,-7.19,"23,100",2026/06/19
43,43,5713,住友金属鉱山(株),東証PRM,"8,607",-666,-7.18,"3,982,200",2026/06/19
44,44,554A,(株)バトンズ,東証GRT,"1,538",-117,-7.07,"55,400",2026/06/19
45,45,581A,ＧＯ(株),東証GRT,"2,298",-173,-7.0,"4,945,000",2026/06/19
46,46,7501,(株)ティムコ,東証STD,"1,595",-120,-7.0,200,2026/06/19
47,47,7777,(株)スリー・ディー・マトリックス,東証GRT,320,-24,-6.98,"4,049,500",2026/06/19
48,48,4446,Ｌｉｎｋ－Ｕグループ(株),東証PRM,736,-55,-6.95,"189,800",2026/06/19
49,49,190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ(株),東証GRT,67,-5,-6.94,"1,426,900",2026/06/19
50,50,4588,オンコリスバイオファーマ(株),東証GRT,"2,591",-193,-6.93,"839,200",2026/06/19
51,51,5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ(株),東証GRT,443,-33,-6.93,"545,100",2026/06/19
52,52,275A,ハンワホームズ(株),名証NXT,325,-24,-6.88,300,2026/06/19
53,53,559A,梅乃宿酒造(株),東証STD,"1,112",-82,-6.87,"81,800",2026/06/19
54,54,4393,(株)バンク・オブ・イノベーション,東証GRT,"4,460",-325,-6.79,"67,800",2026/06/19
55,55,6574,(株)コンヴァノ,東証GRT,83,-6,-6.74,"922,400",2026/06/19
56,56,6905,コーセル(株),東証PRM,"1,440",-104,-6.74,"942,600",2026/06/19
57,57,2323,(株)ｆｏｎｆｕｎ,東証STD,278,-20,-6.71,"72,800",2026/06/19
58,58,7412,(株)アトム,東証STD,362,-26,-6.7,"2,909,300",2026/06/19
59,59,556A,犬猫生活(株),東証GRT,"2,120",-152,-6.69,"119,500",2026/06/19
60,60,568A,iシェアーズ シルバー,東証ETF,169.5,-12.1,-6.66,"153,360",2026/06/19
61,61,218A,(株)Ｌｉｂｅｒａｗａｒｅ,東証GRT,840,-59,-6.56,"428,600",2026/06/19
62,62,5597,ブルーイノベーション(株),東証GRT,"1,382",-97,-6.56,"56,100",2026/06/19
63,63,4599,(株)ステムリム,東証GRT,300,-21,-6.54,"326,900",2026/06/19
64,64,578A,GX シルバー (H有),東証ETF,250.2,-17.5,-6.54,"5,100",2026/06/19
65,65,9610,ウィルソン・ラーニング　ワールドワイド(株),東証STD,100,-7,-6.54,"152,500",2026/06/19
