順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,6072,地盤ネットホールディングス(株),東証STD,"1,050",-155,-12.86,"3,387,600",2026/04/17
2,2,8918,(株)ランド,東証STD,9,-1,-10.0,"207,135,400",2026/04/17
3,3,3436,(株)ＳＵＭＣＯ,東証PRM,"2,095",-232.5,-9.99,"16,407,700",2026/04/17
4,4,285A,キオクシアホールディングス(株),東証PRM,"30,530","-3,340",-9.86,"43,942,400",2026/04/17
5,5,6521,(株)オキサイド,東証GRT,"4,050",-385,-8.68,"585,700",2026/04/17
6,6,485A,(株)パワーエックス,東証GRT,"6,700",-620,-8.47,"1,457,800",2026/04/17
7,7,5713,住友金属鉱山(株),東証PRM,"10,150",-870,-7.89,"3,352,800",2026/04/17
8,8,3179,シュッピン(株),東証PRM,"1,124",-94,-7.72,"501,800",2026/04/17
9,9,6590,芝浦メカトロニクス(株),東証PRM,"5,030",-390,-7.2,"1,643,400",2026/04/17
10,10,6525,(株)ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,東証PRM,"6,717",-520,-7.19,"5,927,000",2026/04/17
11,11,6613,(株)ＱＤレーザ,東証GRT,"1,285",-96,-6.95,"5,674,400",2026/04/17
12,12,4564,オンコセラピー・サイエンス(株),東証GRT,27,-2,-6.9,"147,309,300",2026/04/17
13,13,7735,(株)ＳＣＲＥＥＮホールディングス,東証PRM,"10,510",-770,-6.83,"2,542,600",2026/04/17
14,14,5817,ＪＭＡＣＳ(株),東証STD,"1,483",-106,-6.67,"682,600",2026/04/17
15,15,550A,(株)ソフトテックス,東証STD,"3,580",-255,-6.65,"259,600",2026/04/17
16,16,3104,富士紡ホールディングス(株),東証PRM,"3,810",-270,-6.62,"212,900",2026/04/17
17,17,6278,ユニオンツール(株),東証PRM,"16,160","-1,140",-6.59,"379,300",2026/04/17
18,18,4351,(株)山田再生系債権回収総合事務所,東証STD,"1,115",-78,-6.54,"26,600",2026/04/17
19,19,6347,(株)プラコー,東証STD,284,-19,-6.27,"202,600",2026/04/17
20,20,9399,ビート・ホールディングス・リミテッド,東証STD外国,30,-2,-6.25,"1,643,584",2026/04/17
21,21,7719,(株)東京衡機,東証STD,676,-44,-6.11,"3,725,800",2026/04/17
22,22,2134,北浜キャピタルパートナーズ(株),東証STD,32,-2,-5.88,"7,868,000",2026/04/17
23,23,4022,ラサ工業(株),東証PRM,"1,780",-111,-5.87,"874,200",2026/04/17
24,24,5243,ｎｏｔｅ(株),東証GRT,"2,608",-161,-5.81,"1,295,500",2026/04/17
25,25,6232,(株)ＡＣＳＬ,東証GRT,"1,704",-105,-5.8,"1,169,800",2026/04/17
26,26,7717,(株)ブイ・テクノロジー,東証PRM,"4,900",-300,-5.77,"336,900",2026/04/17
27,27,6324,(株)ハーモニック・ドライブ・システムズ,東証PRM,"4,430",-265,-5.64,"1,368,200",2026/04/17
28,28,4004,(株)レゾナック・ホールディングス,東証PRM,"12,460",-740,-5.61,"2,094,100",2026/04/17
29,29,9072,ニッコンホールディングス(株),東証PRM,"4,919",-284,-5.46,"429,100",2026/04/17
30,30,5541,大平洋金属(株),東証PRM,"2,582",-144,-5.28,"538,200",2026/04/17
31,31,5129,(株)ＦＩＸＥＲ,東証GRT,434,-24,-5.24,"627,000",2026/04/17
32,32,4412,(株)サイエンスアーツ,東証GRT,"1,703",-94,-5.23,"115,600",2026/04/17
33,33,6315,ＴＯＷＡ(株),東証PRM,"2,635",-145,-5.22,"2,843,800",2026/04/17
34,34,6666,リバーエレテック(株),東証STD,907,-50,-5.22,"279,300",2026/04/17
35,35,4971,メック(株),東証PRM,"8,220",-450,-5.19,"245,300",2026/04/17
36,36,6925,ウシオ電機(株),東証PRM,"3,153",-170,-5.12,"518,400",2026/04/17
37,37,6323,ローツェ(株),東証PRM,"3,626",-193,-5.05,"1,901,100",2026/04/17
38,38,7318,セレンディップ・ホールディングス(株),東証GRT,"2,020",-107,-5.03,"207,200",2026/04/17
39,39,6627,(株)テラプローブ,東証STD,"9,760",-510,-4.97,"80,300",2026/04/17
40,40,4888,ステラファーマ(株),東証GRT,713,-37,-4.93,"2,219,600",2026/04/17
41,41,6920,レーザーテック(株),東証PRM,"39,950","-2,070",-4.93,"3,765,300",2026/04/17
42,42,3441,(株)山王,東証STD,"2,177",-112,-4.89,"66,900",2026/04/17
43,43,3891,ニッポン高度紙工業(株),東証STD,"4,275",-220,-4.89,"54,600",2026/04/17
44,44,3415,(株)ＴＯＫＹＯ　ＢＡＳＥ,東証PRM,449,-23,-4.87,"446,600",2026/04/17
45,45,1803,清水建設(株),東証PRM,"2,758",-141,-4.86,"3,436,100",2026/04/17
46,46,2195,アミタホールディングス(株),東証GRT,490,-25,-4.85,"500,700",2026/04/17
47,47,6617,(株)東光高岳,東証PRM,"5,720",-290,-4.83,"74,500",2026/04/17
