順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,3777,(株)環境フレンドリーホールディングス,東証GRT,54,-13,-19.4,"16,436,900",2026/06/01
2,2,4166,かっこ(株),東証GRT,747,-150,-16.72,"316,700",2026/06/01
3,3,4427,(株)ＥｄｕＬａｂ,東証GRT,201,-39,-16.25,"437,200",2026/06/01
4,4,280A,(株)ＴＭＨ,東証GRT,"2,375",-445,-15.78,"335,800",2026/06/01
5,5,6327,北川精機(株),東証STD,"4,980",-930,-15.74,"1,457,600",2026/06/01
6,6,4588,オンコリスバイオファーマ(株),東証GRT,"2,347",-418,-15.12,"2,499,100",2026/06/01
7,7,9236,ジャパンＭ＆Ａソリューション(株),東証GRT,"1,012",-173,-14.6,"37,400",2026/06/01
8,8,6147,(株)ヤマザキ,福証,173,-29,-14.36,"12,200",2026/06/01
9,9,186A,(株)アストロスケールホールディングス,東証GRT,"2,349",-390,-14.24,"21,885,900",2026/06/01
10,10,464A,(株)ＱＰＳホールディングス,東証GRT,"3,495",-565,-13.92,"3,531,300",2026/06/01
11,11,3905,データセクション(株),東証GRT,"5,310",-830,-13.52,"6,753,600",2026/06/01
12,12,3260,(株)エスポア,名証NXT,517,-80,-13.4,"23,000",2026/06/01
13,13,3853,アステリア(株),東証PRM,"2,086",-318,-13.23,"2,777,800",2026/06/01
14,14,4840,(株)トライアイズ,東証STD,849,-129,-13.19,"128,100",2026/06/01
15,15,7435,(株)ナ・デックス,東証STD,"1,013",-147,-12.67,"215,700",2026/06/01
16,16,5856,(株)エルアイイーエイチ,東証STD,7,-1,-12.5,"7,765,500",2026/06/01
17,17,4098,チタン工業(株),東証STD,"1,161",-164,-12.38,"231,300",2026/06/01
18,18,9348,(株)ｉｓｐａｃｅ,東証GRT,588,-83,-12.37,"4,707,600",2026/06/01
19,19,9610,ウィルソン・ラーニング　ワールドワイド(株),東証STD,113,-15,-11.72,"818,400",2026/06/01
20,20,7719,(株)東京衡機,東証STD,439,-58,-11.67,"457,400",2026/06/01
21,21,9412,スカパーＪＳＡＴ(株),東証PRM,"3,950",-520,-11.63,"4,509,300",2026/06/01
22,22,6659,(株)メディアリンクス,東証STD,69,-9,-11.54,"11,554,000",2026/06/01
23,23,290A,(株)Ｓｙｎｓｐｅｃｔｉｖｅ,東証GRT,"1,681",-215,-11.34,"4,508,900",2026/06/01
24,24,3681,(株)ブイキューブ,東証PRM,24,-3,-11.11,"1,467,600",2026/06/01
25,25,3628,(株)データホライゾン,東証GRT,609,-76,-11.09,"70,500",2026/06/01
26,26,6824,新コスモス電機(株),東証STD,"4,305",-525,-10.87,"19,200",2026/06/01
27,27,6840,(株)ＡＫＩＢＡホールディングス,東証STD,"1,015",-123,-10.81,"713,300",2026/06/01
