順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ(株),東証STD,276,+68,32.69,"51,947,400",2026/06/02
2,2,550A,(株)ソフトテックス,東証STD,"2,821",+500,21.54,"165,800",2026/06/02
3,3,5572,(株)Ｒｉｄｇｅ－ｉ,東証GRT,"2,951",+500,20.4,"56,200",2026/06/02
4,4,6659,(株)メディアリンクス,東証STD,83,+14,20.29,"28,366,700",2026/06/02
5,5,7426,(株)山大,東証STD,600,+100,20.0,"3,000",2026/06/02
6,6,6597,ＨＰＣシステムズ(株),東証GRT,"6,100","+1,000",19.61,"790,300",2026/06/02
7,7,6031,ＺＥＴＡ(株),東証GRT,277,+42,17.87,"524,300",2026/06/02
8,8,9331,(株)キャスター,東証GRT,999,+146,17.12,"47,500",2026/06/02
9,9,3687,(株)フィックスターズ,東証PRM,"3,000",+430,16.73,"11,664,600",2026/06/02
10,10,8237,(株)松屋,東証PRM,"1,629",+224,15.94,"911,100",2026/06/02
11,11,3624,アクセルマーク(株),東証GRT,102,+14,15.91,"20,899,800",2026/06/02
12,12,6298,ワイエイシイホールディングス(株),東証PRM,"1,407",+182,14.86,"1,785,700",2026/06/02
13,13,2162,ｎｍｓホールディングス(株),東証STD,538,+67,14.23,"1,644,500",2026/06/02
14,14,265A,Ｈｍｃｏｍｍ(株),東証GRT,750,+93,14.16,"278,400",2026/06/02
15,15,268A,リガク・ホールディングス(株),東証PRM,"3,240",+387,13.56,"12,370,700",2026/06/02
16,16,4078,堺化学工業(株),東証PRM,"6,380",+740,13.12,"2,758,100",2026/06/02
17,17,6613,(株)ＱＤレーザ,東証GRT,"2,740",+317,13.08,"9,333,700",2026/06/02
18,18,6203,豊和工業(株),東証STD,"1,927",+211,12.3,"6,712,800",2026/06/02
19,19,4410,ハリマ化成グループ(株),東証PRM,"1,184",+124,11.7,"495,500",2026/06/02
20,20,228A,(株)オプロ,東証GRT,"1,888",+170,9.9,"23,600",2026/06/02
21,21,456A,ＨＵＭＡＮ　ＭＡＤＥ(株),東証GRT,"1,698",+143,9.2,"1,447,800",2026/06/02
22,22,5201,ＡＧＣ(株),東証PRM,"7,643",+637,9.09,"6,108,200",2026/06/02
23,23,9552,(株)クオンツ総研ホールディングス,東証PRM,"1,046",+87,9.07,"1,170,600",2026/06/02
24,24,6387,サムコ(株),東証PRM,"12,050","+1,000",9.05,"222,000",2026/06/02
25,25,4427,(株)ＥｄｕＬａｂ,東証GRT,219,+18,8.96,"625,500",2026/06/02
26,26,3993,(株)ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,東証PRM,"3,210",+263,8.92,"681,200",2026/06/02
27,27,504A,イノバセル(株),東証GRT,563,+46,8.9,"105,700",2026/06/02
28,28,3697,(株)ＳＨＩＦＴ,東証PRM,791.3,+64.1,8.81,"16,980,700",2026/06/02
29,29,9256,(株)サクシード,東証GRT,"2,997",+239,8.67,"78,800",2026/06/02
30,30,6616,トレックス・セミコンダクター(株),東証PRM,"2,853",+227,8.64,"258,300",2026/06/02
31,31,7318,セレンディップ・ホールディングス(株),東証GRT,"2,470",+195,8.57,"200,700",2026/06/02
32,32,219A,Ｈｅａｒｔｓｅｅｄ(株),東証GRT,"1,521",+116,8.26,"2,124,000",2026/06/02
33,33,4716,日本オラクル(株),東証STD,"9,861",+729,7.98,"1,138,800",2026/06/02
34,34,6840,(株)ＡＫＩＢＡホールディングス,東証STD,"1,096",+81,7.98,"1,068,800",2026/06/02
35,35,8558,(株)東和銀行,東証PRM,"1,354",+97,7.72,"410,800",2026/06/02
36,36,4022,ラサ工業(株),東証PRM,"2,153",+153,7.65,"4,027,300",2026/06/02
37,37,6864,(株)エヌエフホールディングス,東証STD,"2,054",+142,7.43,"254,800",2026/06/02
38,38,7779,ＣＹＢＥＲＤＹＮＥ(株),東証GRT,290,+20,7.41,"4,650,800",2026/06/02
39,39,4356,応用技術(株),東証STD,"1,641",+110,7.18,"7,500",2026/06/02
40,40,5134,(株)ＰＯＰＥＲ,東証GRT,523,+35,7.17,"11,900",2026/06/02
41,41,4588,オンコリスバイオファーマ(株),東証GRT,"2,513",+166,7.07,"2,085,300",2026/06/02
42,42,6674,(株)ジーエス・ユアサ　コーポレーション,東証PRM,"6,861",+452,7.05,"1,817,000",2026/06/02
43,43,3099,(株)三越伊勢丹ホールディングス,東証PRM,"3,583",+233,6.96,"4,109,300",2026/06/02
44,44,4019,(株)スタメン,東証GRT,615,+40,6.96,"78,200",2026/06/02
45,45,285A,キオクシアホールディングス(株),東証PRM,"77,540","+5,040",6.95,"43,759,900",2026/06/02
46,46,4165,(株)プレイド,東証GRT,645,+41,6.79,"1,116,400",2026/06/02
47,47,3976,(株)シャノン,東証GRT,495,+31,6.68,"38,500",2026/06/02
48,48,9271,(株)和心,東証GRT,"1,055",+66,6.67,"79,300",2026/06/02
49,49,5998,(株)アドバネクス,東証STD,"3,100",+191,6.57,"32,900",2026/06/02
50,50,2980,ＳＲＥホールディングス(株),東証PRM,"2,620",+157,6.37,"929,400",2026/06/02
51,51,4406,新日本理化(株),東証STD,219,+13,6.31,"2,209,900",2026/06/02
52,52,5582,(株)グリッド,東証GRT,"2,151",+127,6.27,"59,100",2026/06/02
53,53,3260,(株)エスポア,名証NXT,549,+32,6.19,"10,100",2026/06/02
54,54,8746,ｕｎｂａｎｋｅｄ(株),東証STD,210,+12,6.06,"1,540,600",2026/06/02
55,55,5950,日本パワーファスニング(株),東証STD,158,+9,6.04,"1,856,300",2026/06/02
56,56,7446,東北化学薬品(株),東証STD,"5,090",+290,6.04,"1,700",2026/06/02
57,57,4478,フリー(株),東証GRT,"2,355",+132,5.94,"797,400",2026/06/02
58,58,4042,東ソー(株),東証PRM,"2,794.5",+149.5,5.65,"2,610,300",2026/06/02
59,59,4751,(株)サイバーエージェント,東証PRM,"1,430",+76,5.61,"6,745,500",2026/06/02
60,60,5599,Ｓ＆Ｊ(株),東証GRT,903,+48,5.61,"118,300",2026/06/02
61,61,262A,(株)インターメスティック,東証PRM,"1,990",+103,5.46,"319,000",2026/06/02
62,62,6507,シンフォニアテクノロジー(株),東証PRM,"14,110",+730,5.46,"370,200",2026/06/02
63,63,404A,GX チャイナテック・トップ10,東証ETF,"1,491",+76,5.37,"11,339",2026/06/02
64,64,2413,エムスリー(株),東証PRM,"1,553",+78.5,5.32,"9,118,600",2026/06/02
65,65,3135,(株)マーケットエンタープライズ,東証STD,"1,293",+65,5.29,"44,900",2026/06/02
66,66,4175,(株)ｃｏｌｙ,東証GRT,"2,230",+112,5.29,"26,600",2026/06/02
67,67,1572,中国H株ブル2倍上場投信,東証ETF,"7,472",+372,5.24,"9,280",2026/06/02
68,68,6326,(株)クボタ,東証PRM,"2,931.5",+142,5.09,"12,513,500",2026/06/02
69,69,8132,シナネンホールディングス(株),東証PRM,"7,910",+380,5.05,"11,800",2026/06/02
70,70,244A,グロースエクスパートナーズ(株),東証GRT,"1,166",+55,4.95,"7,800",2026/06/02
71,71,9602,東宝(株),東証PRM,"1,270.5",+59.5,4.91,"6,431,400",2026/06/02
72,72,5698,(株)エンビプロ・ホールディングス,東証STD,880,+41,4.89,"269,400",2026/06/02
73,73,8154,加賀電子(株),東証PRM,"4,850",+225,4.86,"412,800",2026/06/02
74,74,4620,藤倉化成(株),東証STD,"1,042",+48,4.83,"247,900",2026/06/02
75,75,6727,(株)ワコム,東証PRM,913,+42,4.82,"1,284,700",2026/06/02
76,76,276A,ククレブ・アドバイザーズ(株),東証GRT,"2,822",+127,4.71,"36,400",2026/06/02
77,77,6266,タツモ(株),東証PRM,"4,010",+180,4.7,"257,300",2026/06/02
78,78,554A,(株)バトンズ,東証GRT,"1,117",+50,4.69,"26,900",2026/06/02
79,79,9476,(株)中央経済社ホールディングス,東証STD,"1,000",+44,4.6,"4,300",2026/06/02
80,80,8242,エイチ・ツー・オー　リテイリング(株),東証PRM,"2,593.5",+113.5,4.58,"506,000",2026/06/02
81,81,5952,アマテイ(株),東証STD,183,+8,4.57,"164,400",2026/06/02
82,82,8233,(株)高島屋,東証PRM,"2,066.5",+90,4.55,"2,652,800",2026/06/02
83,83,8362,(株)福井銀行,東証PRM,"5,200",+225,4.52,"217,800",2026/06/02
84,84,5482,愛知製鋼(株),東証PRM,"2,992",+128,4.47,"330,500",2026/06/02
85,85,1605,(株)ＩＮＰＥＸ,東証PRM,"3,567",+151,4.42,"7,383,900",2026/06/02
86,86,4498,サイバートラスト(株),東証GRT,"1,181",+50,4.42,"99,200",2026/06/02
87,87,4377,(株)ワンキャリア,東証GRT,"1,988",+84,4.41,"114,800",2026/06/02
88,88,241A,(株)ＲＯＸＸ,東証GRT,571,+24,4.39,"37,300",2026/06/02
89,89,6656,インスペック(株),東証STD,"1,038",+43,4.32,"1,287,700",2026/06/02
90,90,6552,(株)ＧａｍｅＷｉｔｈ,東証STD,195,+8,4.28,"16,500",2026/06/02
91,91,9678,(株)カナモト,東証PRM,"5,140",+210,4.26,"286,100",2026/06/02
92,92,299A,クラシル(株),東証GRT,"1,016",+41,4.21,"407,200",2026/06/02
93,93,3680,(株)ホットリンク,東証GRT,248,+10,4.2,"60,400",2026/06/02
94,94,4811,(株)ドリーム・アーツ,東証GRT,795,+32,4.19,"33,000",2026/06/02
95,95,5342,ジャニス工業(株),名証MN,480,+19,4.12,300,2026/06/02
96,96,4475,ＨＥＮＮＧＥ(株),東証GRT,"1,219",+48,4.1,"809,300",2026/06/02
97,97,2652,(株)まんだらけ,東証STD,358,+14,4.07,"204,100",2026/06/02
98,98,7735,(株)ＳＣＲＥＥＮホールディングス,東証PRM,"11,315",+440,4.05,"2,562,700",2026/06/02
99,99,4013,勤次郎(株),東証GRT,592,+23,4.04,"88,900",2026/06/02
100,100,8145,中部水産(株),名証MN,"3,230",+125,4.03,400,2026/06/02
101,101,3040,(株)ソリトンシステムズ,東証PRM,"2,287",+88,4.0,"155,300",2026/06/02
102,102,428A,サイプレス・ホールディングス(株),東証STD,"1,278",+49,3.99,"74,100",2026/06/02
103,103,7299,フジオーゼックス(株),東証STD,"1,795",+68,3.94,"6,600",2026/06/02
104,104,4170,(株)Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,東証GRT,133,+5,3.91,"48,700",2026/06/02
105,105,9616,(株)共立メンテナンス,東証PRM,"2,483",+93.5,3.91,"1,346,700",2026/06/02
106,106,4448,(株)ｋｕｂｅｌｌ,東証GRT,321,+12,3.88,"263,500",2026/06/02
107,107,5981,東京製綱(株),東証PRM,"1,848",+69,3.88,"282,400",2026/06/02
108,108,380A,GX チャイナテック,東証ETF,"1,091",+40,3.81,"55,777",2026/06/02
109,109,6036,ＫｅｅＰｅｒ技研(株),東証PRM,"2,744",+99,3.74,"170,100",2026/06/02
110,110,4492,(株)ゼネテック,東証STD,362,+13,3.72,"34,500",2026/06/02
111,111,6740,(株)ジャパンディスプレイ,東証PRM,56,+2,3.7,"30,508,500",2026/06/02
112,112,5132,(株)ｐｌｕｓｚｅｒｏ,東証GRT,"1,581",+56,3.67,"102,600",2026/06/02
113,113,7974,任天堂(株),東証PRM,"7,426",+263,3.67,"9,818,500",2026/06/02
114,114,4107,伊勢化学工業(株),東証STD,"4,250",+150,3.66,"362,900",2026/06/02
115,115,4391,ロジザード(株),東証GRT,"1,120",+39,3.61,"6,900",2026/06/02
116,116,6758,ソニーグループ(株),東証PRM,"3,669",+127,3.59,"24,443,600",2026/06/02
117,117,6042,(株)ニッキ,東証STD,"4,260",+145,3.52,"1,500",2026/06/02
118,118,6753,シャープ(株),東証PRM,651.9,+22.1,3.51,"5,366,700",2026/06/02
119,119,9166,(株)ＧＥＮＤＡ,東証GRT,622,+21,3.49,"4,298,200",2026/06/02
120,120,2031,NEXT NOTES 香港ハンセン･ダブル･ブルETN,東証ETF,"8,358",+280,3.47,"3,415",2026/06/02
121,121,2801,キッコーマン(株),東証PRM,"1,444.5",+48.5,3.47,"7,032,000",2026/06/02
122,122,6572,オープングループ(株),東証PRM,209,+7,3.47,"291,500",2026/06/02
123,123,4881,(株)ファンペップ,東証GRT,60,+2,3.45,"2,138,100",2026/06/02
124,124,6615,ユー・エム・シー・エレクトロニクス(株),東証PRM,240,+8,3.45,"111,500",2026/06/02
125,125,460A,ＢＲＡＮＵ(株),東証GRT,661,+22,3.44,"11,000",2026/06/02
126,126,6619,ダブル・スコープ(株),東証PRM,301,+10,3.44,"3,763,100",2026/06/02
127,127,4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ(株),東証PRM,965,+32,3.43,"1,327,000",2026/06/02
128,128,3370,(株)フジタコーポレーション,東証STD,519,+17,3.39,"10,700",2026/06/02
129,129,6955,ＦＤＫ(株),東証STD,437,+14,3.31,"625,300",2026/06/02
130,130,8995,(株)誠建設工業,東証STD,"1,065",+34,3.3,"8,100",2026/06/02
131,131,469A,(株)フィットクルー,東証GRT,"1,481",+47,3.28,"3,200",2026/06/02
132,132,4419,(株)Ｆｉｎａｔｅｘｔホールディングス,東証GRT,"1,361",+43,3.26,"897,100",2026/06/02
133,133,7354,(株)ダイレクトマーケティングミックス,東証STD,285,+9,3.26,"279,900",2026/06/02
134,134,1692,WisdomTree アルミニウム上場投信,東証ETF,809.4,+25.4,3.24,"31,500",2026/06/02
