順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,4222,児玉化学工業(株),東証STD,894,-300,-25.13,"1,565,300",2026/05/15
2,2,177A,コージンバイオ(株),東証GRT,"1,278",-400,-23.84,"320,900",2026/05/15
3,3,5137,(株)スマートドライブ,東証GRT,225,-70,-23.73,"1,987,200",2026/05/15
4,4,5074,テスホールディングス(株),東証PRM,797,-231,-22.47,"4,174,500",2026/05/15
5,5,3103,ユニチカ(株),東証STD,"1,415",-400,-22.04,"635,700",2026/05/15
6,6,6994,(株)指月電機製作所,東証STD,"1,008",-275,-21.43,"1,716,200",2026/05/15
7,7,5381,マイポックス(株),東証STD,"1,030",-280,-21.37,"866,700",2026/05/15
8,8,4288,(株)アズジェント,東証STD,555,-150,-21.28,"356,300",2026/05/15
9,9,3936,(株)グローバルウェイ,東証GRT,161,-39,-19.5,"4,595,200",2026/05/15
10,10,8891,ＡＭＧホールディングス(株),東証STD,"1,743",-420,-19.42,"257,800",2026/05/15
11,11,5994,(株)ファインシンター,東証STD,"1,045",-242,-18.8,"136,600",2026/05/15
12,12,5244,(株)ｊｉｇ．ｊｐ,東証GRT,193,-44,-18.57,"2,770,900",2026/05/15
13,13,4395,(株)アクリート,東証GRT,972,-218,-18.32,"405,700",2026/05/15
14,14,291A,(株)リスキル,東証GRT,"2,290",-500,-17.92,"1,600",2026/05/15
15,15,5698,(株)エンビプロ・ホールディングス,東証STD,962,-206,-17.64,"859,900",2026/05/15
16,16,3624,アクセルマーク(株),東証GRT,61,-13,-17.57,"1,049,000",2026/05/15
17,17,6834,(株)精工技研,東証STD,"28,190","-5,960",-17.45,"819,400",2026/05/15
18,18,4425,Ｋｕｄａｎ(株),東証GRT,"2,404",-500,-17.22,"623,100",2026/05/15
19,19,4169,ＥＮＥＣＨＡＮＧＥ(株),東証GRT,294,-61,-17.18,"2,853,200",2026/05/15
20,20,6258,平田機工(株),東証PRM,"3,050",-620,-16.89,"1,390,000",2026/05/15
21,21,4229,群栄化学工業(株),東証PRM,"4,945",-995,-16.75,"131,200",2026/05/15
22,22,7911,ＴＯＰＰＡＮホールディングス(株),東証PRM,"4,480",-892,-16.6,"6,030,400",2026/05/15
23,23,141A,(株)トライアルホールディングス,東証GRT,"3,570",-700,-16.39,"2,195,000",2026/05/15
24,24,5125,(株)ファインズ,東証GRT,514,-100,-16.29,"36,800",2026/05/15
25,25,4022,ラサ工業(株),東証PRM,"2,048",-395,-16.17,"4,589,200",2026/05/15
26,26,2980,ＳＲＥホールディングス(株),東証PRM,"2,706",-519,-16.09,"2,429,800",2026/05/15
27,27,3299,(株)ムゲンエステート,東証STD,"1,835",-351,-16.06,"667,000",2026/05/15
28,28,247A,Ａｉロボティクス(株),東証GRT,900,-172,-16.04,"12,015,800",2026/05/15
29,29,7819,粧美堂(株),東証STD,873,-166,-15.98,"104,700",2026/05/15
30,30,330A,(株)ＴａｌｅｎｔＸ,東証GRT,529,-100,-15.9,"204,100",2026/05/15
31,31,4819,(株)デジタルガレージ,東証PRM,"2,332",-440,-15.87,"1,209,000",2026/05/15
32,32,6173,(株)アクアライン,東証GRT,22,-4,-15.38,"1,325,900",2026/05/15
33,33,6855,日本電子材料(株),東証STD,"7,220","-1,290",-15.16,"2,372,900",2026/05/15
34,34,4113,田岡化学工業(株),東証STD,843,-149,-15.02,"267,500",2026/05/15
35,35,6166,(株)中村超硬,東証GRT,571,-100,-14.9,"35,200",2026/05/15
36,36,4820,(株)ＥＭシステムズ,東証PRM,544,-95,-14.87,"694,500",2026/05/15
37,37,2469,ヒビノ(株),東証STD,"2,887",-503,-14.84,"114,500",2026/05/15
38,38,7694,(株)いつも,東証GRT,584,-100,-14.62,"56,800",2026/05/15
39,39,6273,ＳＭＣ(株),東証PRM,"67,880","-11,590",-14.58,"1,165,400",2026/05/15
40,40,4013,勤次郎(株),東証GRT,616,-103,-14.33,"386,800",2026/05/15
41,41,4192,スパイダープラス(株),東証GRT,273,-45,-14.15,"585,200",2026/05/15
42,42,6844,新電元工業(株),東証PRM,"3,125",-515,-14.15,"398,000",2026/05/15
43,43,7868,(株)広済堂ホールディングス,東証PRM,633,-104,-14.11,"6,307,200",2026/05/15
44,44,7800,(株)アミファ,東証STD,991,-162,-14.05,"240,600",2026/05/15
45,45,6363,(株)酉島製作所,東証PRM,"2,841",-464,-14.04,"1,057,500",2026/05/15
46,46,5985,サンコール(株),東証STD,"1,619",-256,-13.65,"2,152,000",2026/05/15
47,47,6771,池上通信機(株),東証STD,679,-107,-13.61,"252,500",2026/05/15
48,48,4082,第一稀元素化学工業(株),東証PRM,"2,188",-342,-13.52,"1,182,400",2026/05/15
49,49,6177,ＡｐｐＢａｎｋ(株),東証GRT,92,-14,-13.21,"876,400",2026/05/15
50,50,6647,森尾電機(株),東証STD,"2,530",-377,-12.97,"10,400",2026/05/15
51,51,5138,(株)Ｒｅｂａｓｅ,東証GRT,495,-73,-12.85,"10,800",2026/05/15
52,52,6180,ＧＭＯメディア(株),東証GRT,"3,785",-550,-12.69,"24,500",2026/05/15
53,53,6969,松尾電機(株),東証STD,"1,618",-233,-12.59,"107,600",2026/05/15
54,54,6138,ダイジェット工業(株),東証STD,"1,001",-143,-12.5,"24,500",2026/05/15
55,55,5384,(株)フジミインコーポレーテッド,東証PRM,"3,290",-465,-12.38,"1,096,600",2026/05/15
56,56,2780,(株)コメ兵ホールディングス,東証STD,"4,825",-675,-12.27,"291,400",2026/05/15
57,57,6997,日本ケミコン(株),東証PRM,"2,996",-419,-12.27,"1,608,000",2026/05/15
58,58,8247,(株)大和,東証STD,259,-36,-12.2,"91,300",2026/05/15
59,59,3993,(株)ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,東証PRM,"2,902",-398,-12.06,"871,300",2026/05/15
60,60,7356,Ｒｅｔｔｙ(株),東証GRT,124,-17,-12.06,"202,900",2026/05/15
61,61,3727,(株)アプリックス,東証GRT,147,-20,-11.98,"332,700",2026/05/15
62,62,6584,三桜工業(株),東証PRM,773,-105,-11.96,"1,444,300",2026/05/15
63,63,146A,コロンビア・ワークス(株),東証STD,"3,225",-425,-11.64,"324,500",2026/05/15
64,64,5033,(株)ヌーラボ,東証GRT,676,-89,-11.63,"40,500",2026/05/15
65,65,4970,東洋合成工業(株),東証STD,"16,600","-2,180",-11.61,"173,000",2026/05/15
66,66,3900,(株)クラウドワークス,東証GRT,565,-73,-11.44,"645,000",2026/05/15
67,67,7256,河西工業(株),東証STD,443,-57,-11.4,"3,324,600",2026/05/15
68,68,5923,高田機工(株),東証STD,"1,060",-135,-11.3,"52,900",2026/05/15
69,69,6699,ダイヤモンドエレクトリックホールディングス(株),東証STD,477,-59,-11.01,"719,900",2026/05/15
70,70,5721,エスクリプトエナジー(株),東証STD,81,-10,-10.99,"4,825,600",2026/05/15
71,71,3659,(株)ネクソン,東証PRM,"2,243",-276.5,-10.97,"5,242,900",2026/05/15
72,72,196A,(株)ＭＦＳ,東証GRT,248,-30,-10.79,"142,000",2026/05/15
73,73,3927,(株)フーバーブレイン,東証STD,"1,000",-121,-10.79,"121,700",2026/05/15
74,74,6568,神戸天然物化学(株),東証GRT,"1,160",-140,-10.77,"48,500",2026/05/15
75,75,6069,トレンダーズ(株),東証GRT,624,-74,-10.6,"353,500",2026/05/15
76,76,7212,(株)エフテック,東証STD,666,-79,-10.6,"395,500",2026/05/15
77,77,2330,(株)フォーサイド,東証STD,77,-9,-10.47,"1,118,100",2026/05/15
78,78,2901,(株)ウェルディッシュ,東証STD,190,-22,-10.38,"1,073,400",2026/05/15
79,79,241A,(株)ＲＯＸＸ,東証GRT,427,-49,-10.29,"48,100",2026/05/15
80,80,4576,(株)デ・ウエスタン・セラピテクス研究所,東証GRT,79,-9,-10.23,"1,370,300",2026/05/15
81,81,3556,リネットジャパングループ(株),東証GRT,791,-90,-10.22,"447,900",2026/05/15
82,82,6635,(株)大日光・エンジニアリング,東証STD,602,-68,-10.15,"52,900",2026/05/15
83,83,6472,ＮＴＮ(株),東証PRM,410.8,-45.3,-9.93,"13,443,900",2026/05/15
84,84,4360,(株)マナック・ケミカル・パートナーズ,東証STD,835,-92,-9.92,"109,200",2026/05/15
85,85,2173,(株)博展,東証GRT,800,-88,-9.91,"63,800",2026/05/15
86,86,6634,(株)ＪＮグループ,東証STD,73,-8,-9.88,"456,900",2026/05/15
87,87,6278,ユニオンツール(株),東証PRM,"20,160","-2,200",-9.84,"909,800",2026/05/15
88,88,3436,(株)ＳＵＭＣＯ,東証PRM,"3,090",-337,-9.83,"17,626,900",2026/05/15
89,89,6977,(株)日本抵抗器製作所,東証STD,974,-106,-9.81,"10,400",2026/05/15
90,90,4371,(株)コアコンセプト・テクノロジー,東証GRT,"1,271",-138,-9.79,"139,300",2026/05/15
91,91,2341,(株)アルバイトタイムス,東証STD,167,-18,-9.73,"234,200",2026/05/15
92,92,6590,芝浦メカトロニクス(株),東証PRM,"5,160",-550,-9.63,"2,474,000",2026/05/15
93,93,6961,(株)エンプラス,東証PRM,"13,880","-1,470",-9.58,"238,000",2026/05/15
94,94,4584,キッズウェル・バイオ(株),東証GRT,201,-21,-9.46,"1,735,100",2026/05/15
95,95,5618,ナイル(株),東証GRT,287,-30,-9.46,"31,200",2026/05/15
96,96,4401,(株)ＡＤＥＫＡ,東証PRM,"4,125",-430,-9.44,"1,369,500",2026/05/15
97,97,4462,石原ケミカル(株),東証PRM,"2,551",-266,-9.44,"83,000",2026/05/15
98,98,6238,フリュー(株),東証PRM,"1,178",-122,-9.38,"570,500",2026/05/15
99,99,1673,WisdomTree 銀上場投信,東証ETF,"11,315","-1,170",-9.37,"23,120",2026/05/15
100,100,1835,東鉄工業(株),東証PRM,"4,750",-490,-9.35,"257,100",2026/05/15
101,101,5802,住友電気工業(株),東証PRM,"10,980","-1,125",-9.29,"10,409,100",2026/05/15
102,102,4971,メック(株),東証PRM,"10,470","-1,070",-9.27,"532,200",2026/05/15
103,103,4414,(株)フレクト,東証GRT,994,-101,-9.22,"114,900",2026/05/15
104,104,3512,日本フエルト(株),東証STD,777,-78,-9.12,"35,200",2026/05/15
105,105,6668,(株)アドテック　プラズマ　テクノロジー,東証STD,"3,200",-320,-9.09,"230,500",2026/05/15
106,106,3628,(株)データホライゾン,東証GRT,581,-57,-8.93,"154,200",2026/05/15
107,107,4061,デンカ(株),東証PRM,"3,876",-380,-8.93,"1,901,300",2026/05/15
108,108,6675,サクサ(株),東証STD,"1,971",-193,-8.92,"94,900",2026/05/15
109,109,6574,(株)コンヴァノ,東証GRT,92,-9,-8.91,"3,305,100",2026/05/15
110,110,253A,(株)ＥＴＳグループ,東証STD,"1,222",-119,-8.87,"214,200",2026/05/15
111,111,6387,サムコ(株),東証PRM,"12,030","-1,170",-8.86,"130,200",2026/05/15
112,112,6074,(株)ジェイエスエス,東証STD,517,-50,-8.82,"33,100",2026/05/15
113,113,6579,ログリー(株),東証GRT,271,-26,-8.75,"12,900",2026/05/15
114,114,3110,日東紡,東証PRM,"23,900","-2,290",-8.74,"2,240,100",2026/05/15
115,115,7218,田中精密工業(株),東証STD,"1,035",-99,-8.73,"16,000",2026/05/15
116,116,2351,(株)ＡＳＪ,東証STD,367,-35,-8.71,"93,100",2026/05/15
117,117,3948,光ビジネスフォーム(株),東証STD,"1,151",-108,-8.58,"13,200",2026/05/15
118,118,2033,NEXT NOTES 韓国KOSPI･ダブル･ブルETN,東証ETF,"103,050","-9,650",-8.56,"5,051",2026/05/15
119,119,7131,のむら産業(株),東証STD,"3,650",-340,-8.52,"9,800",2026/05/15
120,120,4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ(株),東証PRM,967,-90,-8.51,"2,643,700",2026/05/15
121,121,4629,大伸化学(株),東証STD,"1,830",-170,-8.5,"17,200",2026/05/15
122,122,4811,(株)ドリーム・アーツ,東証GRT,713,-66,-8.47,"49,300",2026/05/15
123,123,1542,純銀上場信託(現物国内保管型),東証ETF,"37,000","-3,420",-8.46,"243,132",2026/05/15
124,124,8798,(株)アドバンスクリエイト,東証PRM,141,-13,-8.44,"252,400",2026/05/15
125,125,5803,(株)フジクラ,東証PRM,"5,819",-536,-8.43,"128,904,500",2026/05/15
126,126,4918,(株)アイビー化粧品,東証STD,272,-25,-8.42,"127,700",2026/05/15
127,127,1801,大成建設(株),東証PRM,"14,695","-1,350",-8.41,"2,034,700",2026/05/15
128,128,3840,パス(株),東証STD,55,-5,-8.33,"932,400",2026/05/15
129,129,4337,ぴあ(株),東証PRM,"2,828",-257,-8.33,"145,200",2026/05/15
130,130,4691,ワシントンホテル(株),東証STD,"2,081",-188,-8.29,"217,400",2026/05/15
131,131,7318,セレンディップ・ホールディングス(株),東証GRT,"1,884",-170,-8.28,"582,000",2026/05/15
132,132,285A,キオクシアホールディングス(株),東証PRM,"44,450","-4,010",-8.27,"37,961,800",2026/05/15
133,133,6862,ミナトホールディングス(株),東証STD,"2,729",-246,-8.27,"952,900",2026/05/15
134,134,9060,日本ロジテム(株),東証STD,"4,395",-395,-8.25,"3,000",2026/05/15
135,135,5805,ＳＷＣＣ(株),東証PRM,"15,590","-1,400",-8.24,"884,400",2026/05/15
136,136,9914,(株)植松商会,名証MN,716,-64,-8.21,"1,200",2026/05/15
137,137,4664,ＲＳＣ,東証STD,745,-66,-8.14,"65,400",2026/05/15
138,138,5965,(株)フジマック,東証STD,"1,173",-104,-8.14,"63,700",2026/05/15
139,139,9888,(株)ＵＥＸ,東証STD,850,-75,-8.11,"527,100",2026/05/15
140,140,6247,(株)日阪製作所,東証PRM,"1,461",-128,-8.06,"243,400",2026/05/15
141,141,6864,(株)エヌエフホールディングス,東証STD,"1,463",-128,-8.05,"116,100",2026/05/15
142,142,3422,(株)Ｊ－ＭＡＸ,東証STD,460,-40,-8.0,"179,800",2026/05/15
143,143,6235,(株)オプトラン,東証PRM,"3,980",-345,-7.98,"1,328,600",2026/05/15
144,144,4004,(株)レゾナック・ホールディングス,東証PRM,"17,200","-1,490",-7.97,"4,930,400",2026/05/15
145,145,5254,(株)Ａｒｅｎｔ,東証GRT,"3,590",-310,-7.95,"75,800",2026/05/15
146,146,5706,三井金属(株),東証PRM,"46,640","-4,020",-7.94,"2,997,400",2026/05/15
147,147,8070,東京産業(株),東証PRM,825,-71,-7.92,"438,500",2026/05/15
148,148,4588,オンコリスバイオファーマ(株),東証GRT,"2,680",-230,-7.9,"2,468,400",2026/05/15
149,149,9704,(株)アゴーラホスピタリティーグループ,東証STD,35,-3,-7.89,"1,868,300",2026/05/15
150,150,6857,(株)アドバンテスト,東証PRM,"26,360","-2,255",-7.88,"9,938,400",2026/05/15
151,151,4596,窪田製薬ホールディングス(株),東証GRT,71,-6,-7.79,"2,736,700",2026/05/15
152,152,7039,ブリッジインターナショナルグループ(株),東証GRT,"1,650",-139,-7.77,"72,600",2026/05/15
153,153,4060,ｒａｋｕｍｏ(株),東証GRT,"1,059",-89,-7.75,"64,300",2026/05/15
154,154,3807,(株)フィスコ,東証GRT,96,-8,-7.69,"360,700",2026/05/15
155,155,4062,イビデン(株),東証PRM,"15,660","-1,300",-7.67,"8,307,900",2026/05/15
156,156,6871,(株)日本マイクロニクス,東証PRM,"15,300","-1,270",-7.66,"1,632,600",2026/05/15
157,157,1968,太平電業(株),東証PRM,"2,717",-223,-7.59,"280,400",2026/05/15
158,158,7021,(株)ニッチツ,東証STD,"1,998",-163,-7.54,"11,400",2026/05/15
159,159,5582,(株)グリッド,東証GRT,"2,211",-179,-7.49,"85,500",2026/05/15
160,160,9562,ビジネスコーチ(株),東証GRT,585,-47,-7.44,"7,100",2026/05/15
161,161,5344,(株)ＭＡＲＵＷＡ,東証PRM,"73,330","-5,880",-7.42,"175,200",2026/05/15
162,162,6390,(株)加藤製作所,東証PRM,"1,287",-103,-7.41,"288,700",2026/05/15
163,163,6264,(株)マルマエ,東証PRM,"2,404",-190,-7.32,"942,400",2026/05/15
164,164,5028,セカンドサイトアナリティカ(株),東証GRT,368,-29,-7.3,"62,900",2026/05/15
165,165,6146,(株)ディスコ,東証PRM,"64,900","-5,100",-7.29,"2,544,600",2026/05/15
166,166,4182,三菱ガス化学(株),東証PRM,"4,641",-361,-7.22,"2,780,200",2026/05/15
167,167,334A,(株)ビジュアル・プロセッシング・ジャパン,東証GRT,878,-68,-7.19,"23,300",2026/05/15
168,168,8150,三信電気(株),東証PRM,"2,597",-200,-7.15,"314,000",2026/05/15
169,169,148A,(株)ハッチ・ワーク,東証GRT,"1,807",-139,-7.14,"9,300",2026/05/15
170,170,190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ(株),東証GRT,117,-9,-7.14,"2,690,400",2026/05/15
