順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,6173,(株)アクアライン,東証GRT,9,-4,-30.77,"2,738,200",2026/05/28
2,2,6147,(株)ヤマザキ,東証STD,182,-58,-24.17,"258,800",2026/05/28
3,3,3558,ジェイドグループ(株),東証GRT,"1,686",-499,-22.84,"1,198,900",2026/05/28
4,4,9399,ビート・ホールディングス・リミテッド,東証STD外国,15,-4,-21.05,"7,437,202",2026/05/28
5,5,4883,(株)モダリス,東証GRT,43,-11,-20.37,"7,146,300",2026/05/28
6,6,5031,モイ(株),東証GRT,630,-150,-19.23,"1,371,300",2026/05/28
7,7,6085,アーキテクツ・スタジオ・ジャパン(株),東証GRT,343,-80,-18.91,"6,103,400",2026/05/28
8,8,3681,(株)ブイキューブ,東証PRM,28,-5,-15.15,"2,053,300",2026/05/28
9,9,4487,(株)スペースマーケット,東証GRT,217,-38,-14.9,"113,000",2026/05/28
10,10,3260,(株)エスポア,名証NXT,648,-111,-14.62,"31,600",2026/05/28
11,11,3907,シリコンスタジオ(株),東証STD,"1,797",-301,-14.35,"402,400",2026/05/28
12,12,9216,ビーウィズ(株),東証PRM,"1,652",-263,-13.73,"375,400",2026/05/28
13,13,353A,エレベーターコミュニケーションズ(株),福証,"1,592",-240.5,-13.12,"10,200",2026/05/28
14,14,9444,(株)トーシンホールディングス,東証STD,179,-25,-12.25,"41,900",2026/05/28
15,15,8894,(株)ＲＥＶＯＬＵＴＩＯＮ,東証STD,25,-3,-10.71,"2,622,300",2026/05/28
16,16,6150,タケダ機械(株),東証STD,"2,801",-324,-10.37,"36,000",2026/05/28
17,17,7487,小津産業(株),東証STD,"1,755",-192,-9.86,"149,000",2026/05/28
18,18,205A,(株)ロゴスホールディングス,東証GRT,"1,771",-191,-9.73,"46,000",2026/05/28
19,19,2168,(株)パソナグループ,東証PRM,"1,625",-175,-9.72,"898,000",2026/05/28
20,20,7694,(株)いつも,東証GRT,484,-50,-9.36,"54,200",2026/05/28
21,21,4392,ＦＩＧ(株),東証PRM,"2,039",-207,-9.22,"15,066,400",2026/05/28
22,22,4978,(株)リプロセル,東証GRT,128,-13,-9.22,"1,529,100",2026/05/28
23,23,1419,タマホーム(株),東証PRM,"3,315",-335,-9.18,"490,900",2026/05/28
24,24,3297,(株)東武住販,東証STD,"1,170",-116,-9.02,"38,400",2026/05/28
25,25,9552,(株)クオンツ総研ホールディングス,東証PRM,805,-78,-8.83,"731,600",2026/05/28
26,26,2462,ライク(株),東証PRM,"1,486",-143,-8.78,"417,200",2026/05/28
27,27,504A,イノバセル(株),東証GRT,555,-52,-8.57,"242,500",2026/05/28
28,28,7388,(株)ＦＰパートナー,東証PRM,"2,148",-187,-8.01,"222,000",2026/05/28
29,29,2493,イーサポートリンク(株),東証STD,916,-79,-7.94,"82,700",2026/05/28
30,30,3501,ＳＵＭＩＮＯＥ(株),東証PRM,"1,176",-100,-7.84,"168,600",2026/05/28
31,31,554A,(株)バトンズ,東証GRT,"1,135",-95,-7.72,"89,100",2026/05/28
32,32,247A,Ａｉロボティクス(株),東証GRT,671,-56,-7.7,"4,080,300",2026/05/28
33,33,1436,(株)グリーンエナジー＆カンパニー,東証GRT,"1,820",-149,-7.57,"167,900",2026/05/28
34,34,4439,(株)東名,東証STD,760,-62,-7.54,"40,200",2026/05/28
35,35,2693,ＹＫＴ(株),東証STD,451,-36,-7.39,"804,600",2026/05/28
36,36,350A,デジタルグリッド(株),東証GRT,905,-72,-7.37,"1,228,000",2026/05/28
37,37,7063,(株)Ｂｉｒｄｍａｎ,東証GRT,88,-7,-7.37,"735,000",2026/05/28
38,38,9227,マイクロ波化学(株),東証GRT,"1,120",-89,-7.36,"1,982,000",2026/05/28
39,39,5801,古河電気工業(株),東証PRM,"52,000","-4,110",-7.32,"5,229,200",2026/05/28
40,40,5713,住友金属鉱山(株),東証PRM,"8,910",-698,-7.26,"4,084,200",2026/05/28
41,41,7031,(株)インバウンドテック,東証GRT,631,-49,-7.21,"6,500",2026/05/28
42,42,4011,(株)ヘッドウォータース,東証GRT,"2,216",-172,-7.2,"76,500",2026/05/28
43,43,1515,日鉄鉱業(株),東証PRM,"2,301",-178,-7.18,"1,002,300",2026/05/28
44,44,3753,(株)フライトソリューションズ,東証STD,183,-14,-7.11,"618,700",2026/05/28
45,45,6504,富士電機(株),東証PRM,"15,155","-1,160",-7.11,"2,324,800",2026/05/28
46,46,7072,(株)インティメート・マージャー,東証GRT,"1,033",-78,-7.02,"92,300",2026/05/28
47,47,3133,(株)海帆,東証GRT,161,-12,-6.94,"993,300",2026/05/28
48,48,4198,(株)テンダ,東証STD,515,-38,-6.87,"26,600",2026/05/28
49,49,7014,(株)名村造船所,東証STD,"3,800",-275,-6.75,"1,352,400",2026/05/28
50,50,534A,NZAM 上場投信 NASDAQ100(H無),東証ETF,"2,425",-169,-6.52,546,2026/05/28
51,51,5010,日本精蝋(株),東証STD,260,-18,-6.47,"124,600",2026/05/28
52,52,7673,ダイコー通産(株),東証STD,"1,695",-116,-6.41,"20,000",2026/05/28
53,53,3686,(株)ディー・エル・イー,東証STD,88,-6,-6.38,"1,061,700",2026/05/28
54,54,3645,(株)メディカルネット,東証GRT,265,-18,-6.36,"407,800",2026/05/28
55,55,7902,(株)ソノコム,東証STD,993,-67,-6.32,"11,100",2026/05/28
56,56,6532,(株)ベイカレント,東証PRM,"5,445",-365,-6.28,"1,398,200",2026/05/28
57,57,3634,(株)ソケッツ,東証STD,542,-36,-6.23,"44,600",2026/05/28
58,58,4579,ラクオリア創薬(株),東証GRT,506,-33,-6.12,"507,200",2026/05/28
59,59,5074,テスホールディングス(株),東証PRM,"1,136",-74,-6.12,"4,662,500",2026/05/28
60,60,6034,ＭＲＴ(株),東証GRT,616,-39,-5.95,"10,000",2026/05/28
61,61,5706,三井金属(株),東証PRM,"48,750","-3,050",-5.89,"2,149,400",2026/05/28
62,62,6633,(株)ＣＧＳホールディングス,東証STD,339,-21,-5.83,"20,500",2026/05/28
63,63,6721,ウインテスト(株),東証STD,81,-5,-5.81,"568,600",2026/05/28
64,64,1407,(株)ウエストホールディングス,東証STD,"2,936",-179,-5.75,"644,200",2026/05/28
65,65,4716,日本オラクル(株),東証STD,"8,517",-518,-5.73,"819,300",2026/05/28
66,66,4422,ＶＡＬＵＥＮＥＸ(株),東証GRT,717,-43,-5.66,"112,700",2026/05/28
67,67,6772,東京コスモス電機(株),東証STD,"1,161",-69,-5.61,"1,600",2026/05/28
