順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,5856,(株)エルアイイーエイチ,東証STD,6,-6,-50.0,"25,326,900",2026/05/26
2,2,3810,サイバーステップホールディングス(株),東証STD,228,-72,-24.0,"9,735,300",2026/05/26
3,3,6173,(株)アクアライン,東証GRT,15,-4,-21.05,"2,966,300",2026/05/26
4,4,7501,(株)ティムコ,東証STD,"1,410",-370,-20.79,"26,400",2026/05/26
5,5,6659,(株)メディアリンクス,東証STD,80,-16,-16.67,"64,814,900",2026/05/26
6,6,3656,ＫＬａｂ(株),東証PRM,259,-51,-16.45,"31,939,200",2026/05/26
7,7,8894,(株)ＲＥＶＯＬＵＴＩＯＮ,東証STD,28,-5,-15.15,"2,989,700",2026/05/26
8,8,6104,芝浦機械(株),東証PRM,"4,215",-695,-14.15,"512,300",2026/05/26
9,9,3624,アクセルマーク(株),東証GRT,50,-8,-13.79,"1,354,500",2026/05/26
10,10,8260,(株)井筒屋,東証STD,386,-61,-13.65,"270,300",2026/05/26
11,11,7681,(株)レオクラン,東証STD,802,-125,-13.48,"15,800",2026/05/26
12,12,6993,大黒屋ホールディングス(株),東証STD,89,-11,-11.0,"12,369,100",2026/05/26
13,13,6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ(株),東証STD,"25,360","-3,080",-10.83,"290,500",2026/05/26
14,14,3667,(株)ｅｎｉｓｈ,東証STD,33,-4,-10.81,"1,804,200",2026/05/26
15,15,7375,(株)リファインバースグループ,東証GRT,"1,687",-203,-10.74,"310,400",2026/05/26
16,16,5341,ＡＳＡＨＩ　ＥＩＴＯホールディングス(株),東証STD,237,-28,-10.57,"315,700",2026/05/26
17,17,3133,(株)海帆,東証GRT,180,-21,-10.45,"1,480,100",2026/05/26
18,18,4889,(株)レナサイエンス,東証GRT,"1,387",-158,-10.23,"1,043,000",2026/05/26
19,19,6696,(株)トラース・オン・プロダクト,東証GRT,341,-36,-9.55,"172,600",2026/05/26
20,20,7072,(株)インティメート・マージャー,東証GRT,"1,300",-137,-9.53,"556,200",2026/05/26
21,21,5537,(株)ＡｌｂａＬｉｎｋ,東証GRT,"2,407",-251,-9.44,"158,700",2026/05/26
22,22,8746,ｕｎｂａｎｋｅｄ(株),東証STD,205,-21,-9.29,"287,600",2026/05/26
23,23,5721,エスクリプトエナジー(株),東証STD,70,-7,-9.09,"2,826,400",2026/05/26
24,24,8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ(株),東証STD,102,-10,-8.93,"1,156,900",2026/05/26
25,25,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ(株),東証GRT,"9,900",-970,-8.92,"797,300",2026/05/26
26,26,6217,津田駒工業(株),東証STD,"1,650",-158,-8.74,"203,100",2026/05/26
27,27,4564,オンコセラピー・サイエンス(株),東証GRT,21,-2,-8.7,"152,147,500",2026/05/26
28,28,543A,ＡＲＣＨＩＯＮ(株),東証PRM,368,-35,-8.68,"7,517,400",2026/05/26
29,29,4499,(株)Ｓｐｅｅｅ,東証STD,"3,110",-295,-8.66,"219,300",2026/05/26
30,30,4828,ビジネスエンジニアリング(株),東証PRM,"1,108",-103,-8.51,"220,700",2026/05/26
31,31,6961,(株)エンプラス,東証PRM,"12,640","-1,160",-8.41,"264,000",2026/05/26
32,32,6232,(株)ＡＣＳＬ,東証GRT,"2,499",-229,-8.39,"2,340,500",2026/05/26
33,33,485A,(株)パワーエックス,東証GRT,"13,510","-1,210",-8.22,"914,800",2026/05/26
34,34,6619,ダブル・スコープ(株),東証PRM,310,-27,-8.01,"3,654,500",2026/05/26
35,35,2195,アミタホールディングス(株),東証GRT,381,-32,-7.75,"144,500",2026/05/26
36,36,6740,(株)ジャパンディスプレイ,東証PRM,60,-5,-7.69,"64,047,700",2026/05/26
37,37,9425,ＲｅＹｕｕ　Ｊａｐａｎ(株),東証STD,216,-18,-7.69,"166,300",2026/05/26
38,38,4255,ＴＨＥＣＯＯ(株),東証GRT,"2,540",-210,-7.64,"16,800",2026/05/26
39,39,4597,ソレイジア・ファーマ(株),東証GRT,25,-2,-7.41,"73,033,400",2026/05/26
40,40,6574,(株)コンヴァノ,東証GRT,102,-8,-7.27,"2,748,700",2026/05/26
41,41,6482,ＹＵＳＨＩＮ(株),東証STD,659,-51,-7.18,"162,700",2026/05/26
42,42,6840,(株)ＡＫＩＢＡホールディングス,東証STD,"1,305",-100,-7.12,"2,132,400",2026/05/26
43,43,2323,(株)ｆｏｎｆｕｎ,東証STD,401,-30,-6.96,"610,000",2026/05/26
44,44,2998,クリアル(株),東証GRT,469,-35,-6.94,"328,700",2026/05/26
45,45,4584,キッズウェル・バイオ(株),東証GRT,166,-12,-6.74,"1,041,500",2026/05/26
46,46,6787,(株)メイコー,東証PRM,"39,900","-2,850",-6.67,"816,000",2026/05/26
47,47,9704,(株)アゴーラホスピタリティーグループ,東証STD,28,-2,-6.67,"1,124,600",2026/05/26
48,48,6425,(株)ユニバーサルエンターテインメント,東証STD,755,-53,-6.56,"479,400",2026/05/26
49,49,4519,中外製薬(株),東証PRM,"7,586",-531,-6.54,"3,196,500",2026/05/26
50,50,5255,(株)モンスターラボ,東証GRT,100,-7,-6.54,"632,200",2026/05/26
51,51,2330,(株)フォーサイド,東証STD,72,-5,-6.49,"395,100",2026/05/26
52,52,6590,芝浦メカトロニクス(株),東証PRM,"5,070",-350,-6.46,"1,765,200",2026/05/26
53,53,4169,ＥＮＥＣＨＡＮＧＥ(株),東証GRT,220,-15,-6.38,"1,245,000",2026/05/26
54,54,6525,(株)ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,東証PRM,"7,161",-486,-6.36,"5,599,300",2026/05/26
55,55,2467,(株)ＶＬＣセキュリティ,名証NXT,225,-15,-6.25,"72,400",2026/05/26
56,56,6573,ＣＲＡＶＩＡ(株),東証GRT,30,-2,-6.25,"526,700",2026/05/26
57,57,9903,(株)カンセキ,東証STD,"1,078",-70,-6.1,"6,500",2026/05/26
58,58,3110,日東紡,東証PRM,"25,890","-1,670",-6.06,"2,760,400",2026/05/26
59,59,4192,スパイダープラス(株),東証GRT,264,-17,-6.05,"199,100",2026/05/26
60,60,6857,(株)アドバンテスト,東証PRM,"26,075","-1,680",-6.05,"9,168,700",2026/05/26
61,61,9256,(株)サクシード,東証GRT,"2,350",-149,-5.96,"25,600",2026/05/26
62,62,3776,(株)ブロードバンドタワー,東証STD,253,-16,-5.95,"734,400",2026/05/26
63,63,4422,ＶＡＬＵＥＮＥＸ(株),東証GRT,785,-49,-5.88,"159,000",2026/05/26
64,64,7384,(株)プロクレアホールディングス,東証PRM,"3,440",-215,-5.88,"360,600",2026/05/26
65,65,5253,カバー(株),東証GRT,"1,594",-99,-5.85,"1,600,300",2026/05/26
66,66,523A,(株)セイワホールディングス,東証GRT,"2,370",-147,-5.84,"226,700",2026/05/26
