順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,4527,ロート製薬(株),東証PRM,"2,862.5",+500,21.16,"8,137,500",2026/08/07
2,2,5142,アキレス(株),東証PRM,"1,689",+295,21.16,"361,300",2026/08/07
3,3,6523,ＰＨＣホールディングス(株),東証PRM,"1,311",+223,20.5,"3,850,100",2026/08/07
4,4,3676,(株)デジタルハーツホールディングス,東証PRM,903,+150,19.92,"75,200",2026/08/07
5,5,3422,(株)Ｊ－ＭＡＸ,東証STD,603,+100,19.88,"284,100",2026/08/07
6,6,6998,日本タングステン(株),東証STD,"3,120",+502,19.17,"815,800",2026/08/07
7,7,3907,シリコンスタジオ(株),東証STD,"1,673",+269,19.16,"1,614,100",2026/08/07
8,8,4234,(株)サンエー化研,東証STD,942,+150,18.94,"61,100",2026/08/07
9,9,1847,(株)イチケン,東証STD,"3,260",+501,18.16,"32,400",2026/08/07
10,10,4052,フィーチャ(株),東証GRT,533,+73,15.87,"2,307,900",2026/08/07
11,11,5711,三菱マテリアル(株),東証PRM,"5,157",+700,15.71,"1,233,500",2026/08/07
12,12,7780,(株)メニコン,東証PRM,"2,086",+271,14.93,"856,500",2026/08/07
13,13,1827,(株)ナカノフドー建設,東証STD,"1,511",+196,14.9,"55,500",2026/08/07
14,14,7826,(株)フルヤ金属,東証PRM,"7,920","+1,000",14.45,"1,244,800",2026/08/07
15,15,1897,金下建設(株),東証STD,"3,575",+445,14.22,"2,100",2026/08/07
16,16,4401,(株)ＡＤＥＫＡ,東証PRM,"4,705",+585,14.2,"2,682,500",2026/08/07
17,17,6522,(株)アスタリスク,東証GRT,"1,830",+216,13.38,"2,626,200",2026/08/07
18,18,9722,藤田観光(株),東証PRM,"2,235",+263,13.34,"1,216,500",2026/08/07
19,19,4025,多木化学(株),東証PRM,"6,140",+720,13.28,"124,200",2026/08/07
20,20,2681,(株)ゲオホールディングス,東証PRM,"2,319",+267,13.01,"1,050,600",2026/08/07
21,21,5803,(株)フジクラ,東証PRM,"5,185",+589,12.82,"128,679,300",2026/08/07
22,22,6138,ダイジェット工業(株),東証STD,"1,272",+132,11.58,"35,900",2026/08/07
23,23,6943,ＮＫＫスイッチズ(株),東証STD,"5,540",+540,10.8,"7,900",2026/08/07
24,24,6875,(株)メガチップス,東証PRM,"11,100","+1,080",10.78,"302,100",2026/08/07
25,25,4114,(株)日本触媒,東証PRM,"2,446",+233.5,10.55,"4,324,500",2026/08/07
26,26,7846,(株)パイロットコーポレーション,東証PRM,"2,004.5",+191,10.53,"627,100",2026/08/07
27,27,7832,(株)バンダイナムコホールディングス,東証PRM,"5,398",+513,10.5,"8,355,700",2026/08/07
28,28,3901,マークラインズ(株),東証PRM,"1,488",+141,10.47,"423,100",2026/08/07
