順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,6085,アーキテクツ・スタジオ・ジャパン(株),東証GRT,128,-41,-24.26,"6,703,400",2026/07/22
2,2,598A,チャットプラス(株),東証GRT,"2,284",-500,-17.96,"306,000",2026/07/22
3,3,9256,(株)サクシード,東証GRT,"3,320",-700,-17.41,"207,000",2026/07/22
4,4,4381,ビープラッツ(株),東証GRT,354,-60,-14.49,"399,300",2026/07/22
5,5,9304,澁澤倉庫(株),東証PRM,"1,838",-298,-13.95,"1,148,200",2026/07/22
6,6,2345,(株)ＨＯＤＬ１,東証STD,95,-12,-11.21,"1,377,000",2026/07/22
7,7,2354,(株)ＹＥ　ＤＩＧＩＴＡＬ,東証STD,"1,220",-139,-10.23,"8,300,000",2026/07/22
8,8,2962,(株)テクニスコ,東証STD,"1,357",-153,-10.13,"284,000",2026/07/22
9,9,4894,クオリプス(株),東証GRT,"4,185",-470,-10.1,"608,100",2026/07/22
10,10,4667,アイサンテクノロジー(株),東証STD,"1,838",-192,-9.46,"134,700",2026/07/22
11,11,7501,(株)ティムコ,東証STD,"1,453",-134,-8.44,500,2026/07/22
12,12,584A,ＬｉＮＫＸ(株),東証GRT,"2,566",-234,-8.36,"281,800",2026/07/22
13,13,3133,(株)海帆,東証GRT,91,-8,-8.08,"1,787,900",2026/07/22
14,14,8237,(株)松屋,東証PRM,"1,741",-145,-7.69,"361,900",2026/07/22
15,15,7138,(株)ＴＯＲＩＣＯ,東証GRT,148,-12,-7.5,"1,326,500",2026/07/22
16,16,336A,ダイナミックマッププラットフォーム(株),東証GRT,807,-65,-7.45,"565,600",2026/07/22
17,17,6659,(株)メディアリンクス,東証STD,50,-4,-7.41,"9,625,800",2026/07/22
18,18,4572,カルナバイオサイエンス(株),東証GRT,311,-24,-7.16,"470,300",2026/07/22
19,19,6380,オリエンタルチエン工業(株),東証STD,"3,670",-275,-6.97,"32,700",2026/07/22
20,20,3672,(株)オルトプラス,東証STD,28,-2,-6.67,"128,500",2026/07/22
21,21,5103,昭和ホールディングス(株),東証STD,14,-1,-6.67,"545,900",2026/07/22
22,22,7031,(株)インバウンドテック,東証GRT,689,-49,-6.64,"1,700",2026/07/22
23,23,6433,ヒーハイスト(株),東証STD,"1,011",-71,-6.56,"269,000",2026/07/22
24,24,446A,(株)ノースサンド,東証GRT,"1,478",-103,-6.51,"742,600",2026/07/22
25,25,5075,アップコン(株),名証NXT,"1,000",-69,-6.45,"28,400",2026/07/22
26,26,7602,(株)レダックス,東証STD,161,-11,-6.4,"1,284,500",2026/07/22
27,27,9439,(株)エム・エイチ・グループ,東証STD,234,-16,-6.4,"365,300",2026/07/22
28,28,7867,(株)タカラトミー,東証PRM,"3,455",-235,-6.37,"1,207,600",2026/07/22
29,29,5817,ＪＭＡＣＳ(株),東証STD,937,-63,-6.3,"228,300",2026/07/22
30,30,4762,(株)エックスネット,東証STD,"1,867",-123,-6.18,"39,900",2026/07/22
31,31,3086,Ｊ．フロント　リテイリング(株),東証PRM,"3,116",-190,-5.75,"1,083,700",2026/07/22
32,32,2393,(株)日本ケアサプライ,東証STD,"4,110",-250,-5.73,"94,300",2026/07/22
33,33,7378,(株)アシロ,東証GRT,"1,515",-92,-5.72,"37,800",2026/07/22
34,34,5243,ｎｏｔｅ(株),東証GRT,"1,930",-112,-5.48,"574,800",2026/07/22
35,35,7719,(株)東京衡機,東証STD,434,-25,-5.45,"225,500",2026/07/22
36,36,3673,(株)ブロードリーフ,東証PRM,422,-24,-5.38,"1,003,700",2026/07/22
37,37,4911,(株)資生堂,東証PRM,"3,040",-173,-5.38,"6,320,000",2026/07/22
38,38,6047,(株)Ｇｕｎｏｓｙ,東証STD,352,-20,-5.38,"418,800",2026/07/22
39,39,6224,(株)ＪＲＣ,東証GRT,"1,150",-65,-5.35,"114,800",2026/07/22
40,40,7803,(株)ブシロード,東証GRT,376,-21,-5.29,"2,840,000",2026/07/22
41,41,4680,(株)ラウンドワン,東証PRM,"1,204",-66,-5.2,"4,323,500",2026/07/22
42,42,4165,(株)プレイド,東証GRT,567,-30,-5.03,"289,700",2026/07/22
43,43,2388,(株)ウェッジホールディングス,東証GRT,38,-2,-5.0,"99,400",2026/07/22
44,44,4564,オンコセラピー・サイエンス(株),東証GRT,19,-1,-5.0,"183,363,700",2026/07/22
45,45,4439,(株)東名,東証STD,783,-41,-4.98,"13,300",2026/07/22
46,46,3237,(株)イントランス,東証GRT,96,-5,-4.95,"746,300",2026/07/22
47,47,8233,(株)高島屋,東証PRM,"2,402.5",-124,-4.91,"2,017,600",2026/07/22
48,48,4490,(株)ビザスク,東証GRT,635,-32,-4.8,"27,000",2026/07/22
49,49,421A,(株)ムービン・ストラテジック・キャリア,東証GRT,"3,905",-195,-4.76,"66,700",2026/07/22
50,50,6098,(株)リクルートホールディングス,東証PRM,"12,305",-615,-4.76,"4,886,100",2026/07/22
51,51,325A,(株)ＴＥＮＴＩＡＬ,東証GRT,"1,714",-85,-4.72,"585,700",2026/07/22
52,52,2321,(株)ソフトフロントホールディングス,東証GRT,123,-6,-4.65,"339,300",2026/07/22
53,53,8254,(株)さいか屋,東証STD,249,-12,-4.6,"107,000",2026/07/22
54,54,4596,窪田製薬ホールディングス(株),東証GRT,63,-3,-4.55,"1,806,100",2026/07/22
55,55,9565,ＧＬＯＥ(株),東証GRT,650,-31,-4.55,"1,100",2026/07/22
56,56,2652,(株)まんだらけ,東証STD,444,-21,-4.52,"216,500",2026/07/22
57,57,9087,タカセ(株),東証STD,"1,934",-90,-4.45,200,2026/07/22
58,58,608A,上場インデックスファンド東証REIT高利回り30,東証ETF,"1,529",-71,-4.44,"27,020",2026/07/22
