順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,3260,(株)エスポア,名証NXT,70,-241,-77.49,"2,190,500",2026/09/18
2,2,4196,(株)ネオマーケティング,東証STD,"1,336",-236,-15.01,"299,800",2026/09/18
3,3,7709,クボテック(株),東証STD,60,-10,-14.29,"1,449,000",2026/09/18
4,4,621A,(株)オーディオストック,東証GRT,"1,360",-194,-12.48,"2,538,500",2026/09/18
5,5,8894,(株)ＲＥＶＯＬＵＴＩＯＮ,東証STD,17,-2,-10.53,"3,460,500",2026/09/18
6,6,3624,アクセルマーク(株),東証GRT,85,-8,-8.6,"1,589,300",2026/09/18
7,7,7063,(株)Ｂｉｒｄｍａｎ,東証GRT,62,-5,-7.46,"1,726,000",2026/09/18
8,8,7119,(株)ハルメクホールディングス,東証GRT,"2,114",-170,-7.44,"61,700",2026/09/18
9,9,4438,(株)Ｗｅｌｂｙ,東証GRT,302,-24,-7.36,"403,800",2026/09/18
10,10,6147,(株)ヤマザキ,福証,177,-14,-7.33,"4,900",2026/09/18
11,11,5255,(株)モンスターラボ,東証GRT,78,-6,-7.14,"542,000",2026/09/18
12,12,9399,ビート・ホールディングス・リミテッド,東証STD外国,13,-1,-7.14,"864,265",2026/09/18
13,13,4316,(株)ビーマップ,東証GRT,68,-5,-6.85,"564,900",2026/09/18
14,14,7565,萬世電機(株),東証STD,"7,750",-550,-6.63,"1,100",2026/09/18
15,15,5032,ＡＮＹＣＯＬＯＲ(株),東証PRM,"3,110",-205,-6.18,"976,200",2026/09/18
16,16,6085,アーキテクツ・スタジオ・ジャパン(株),東証GRT,124,-8,-6.06,"3,662,600",2026/09/18
17,17,4427,(株)ＥｄｕＬａｂ,東証GRT,218,-14,-6.03,"20,000",2026/09/18
18,18,5342,ジャニス工業(株),名証MN,377,-23,-5.75,400,2026/09/18
19,19,9130,共栄タンカー(株),東証STD,"1,799",-109,-5.71,"373,600",2026/09/18
20,20,2134,北浜キャピタルパートナーズ(株),東証STD,17,-1,-5.56,"5,087,300",2026/09/18
21,21,604A,(株)ビーエイブル,東証STD,"1,410",-83,-5.56,"1,286,200",2026/09/18
22,22,7112,(株)キューブ,東証GRT,596,-34,-5.4,"70,000",2026/09/18
23,23,9506,東北電力(株),東証PRM,"1,377",-78,-5.36,"9,546,200",2026/09/18
