順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,9610,ウィルソン・ラーニング　ワールドワイド(株),東証STD,196,+50,34.25,"6,784,400",2026/04/21
2,2,6522,(株)アスタリスク,東証GRT,"1,336",+300,28.96,"6,645,200",2026/04/21
3,3,6347,(株)プラコー,東証STD,361,+80,28.47,"249,400",2026/04/21
4,4,6276,シリウスビジョン(株),東証STD,310,+68,28.1,"1,700,800",2026/04/21
5,5,6217,津田駒工業(株),東証STD,"1,375",+300,27.91,"62,200",2026/04/21
6,6,6775,(株)ＴＢグループ,東証STD,165,+36,27.91,"6,897,400",2026/04/21
7,7,5341,ＡＳＡＨＩ　ＥＩＴＯホールディングス(株),東証STD,378,+80,26.85,"4,565,600",2026/04/21
8,8,5699,(株)イボキン,東証STD,"2,132",+400,23.09,"115,400",2026/04/21
9,9,268A,リガク・ホールディングス(株),東証PRM,"2,766",+500,22.07,"6,899,900",2026/04/21
10,10,7375,(株)リファインバースグループ,東証GRT,"2,262",+400,21.48,"713,500",2026/04/21
11,11,5575,(株)Ｇｌｏｂｅｅ,東証GRT,943,+150,18.92,"118,900",2026/04/21
12,12,9170,成友興業(株),名証MN,"4,400",+700,18.92,"1,100",2026/04/21
13,13,7376,ＢＣＣ(株),東証GRT,958,+150,18.56,"203,100",2026/04/21
14,14,4651,(株)サニックスホールディングス,東証STD,280,+42,17.65,"26,623,800",2026/04/21
15,15,6157,日進工具(株),東証STD,966,+144,17.52,"722,600",2026/04/21
16,16,2195,アミタホールディングス(株),東証GRT,546,+80,17.17,"64,900",2026/04/21
17,17,7065,ユーピーアール(株),東証STD,"1,045",+150,16.76,"193,100",2026/04/21
18,18,7871,フクビ化学工業(株),東証STD,"1,053",+150,16.61,"337,500",2026/04/21
19,19,6521,(株)オキサイド,東証GRT,"5,090",+705,16.08,"1,835,800",2026/04/21
20,20,5337,ダントーホールディングス(株),東証STD,864,+118,15.82,"217,500",2026/04/21
21,21,7036,(株)イーエムネットジャパン,東証GRT,968,+128,15.24,"26,300",2026/04/21
22,22,7419,(株)ノジマ,東証PRM,"1,280",+159,14.18,"7,722,700",2026/04/21
23,23,2164,(株)地域新聞社,東証STD,354,+42,13.46,"491,300",2026/04/21
24,24,7220,武蔵精密工業(株),東証PRM,"3,805",+445,13.24,"2,791,300",2026/04/21
25,25,5381,マイポックス(株),東証STD,"1,272",+147,13.07,"1,385,000",2026/04/21
26,26,6951,日本電子(株),東証PRM,"6,845",+684,11.1,"1,346,900",2026/04/21
27,27,3994,(株)マネーフォワード,東証PRM,"5,751",+571,11.02,"1,682,700",2026/04/21
28,28,276A,ククレブ・アドバイザーズ(株),東証GRT,"3,475",+330,10.49,"232,300",2026/04/21
29,29,5698,(株)エンビプロ・ホールディングス,東証STD,"1,056",+100,10.46,"2,978,400",2026/04/21
30,30,3168,(株)ＭＥＲＦ,東証STD,"1,458",+137,10.37,"663,300",2026/04/21
31,31,4062,イビデン(株),東証PRM,"10,560",+985,10.29,"8,109,100",2026/04/21
32,32,8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ(株),東証STD,175,+16,10.06,"10,212,300",2026/04/21
33,33,5074,テスホールディングス(株),東証PRM,714,+65,10.02,"4,125,800",2026/04/21
34,34,8918,(株)ランド,東証STD,11,+1,10.0,"197,977,300",2026/04/21
35,35,6327,北川精機(株),東証STD,"2,194",+198,9.92,"452,300",2026/04/21
36,36,7183,あんしん保証(株),東証STD,190,+17,9.83,"1,057,400",2026/04/21
37,37,6666,リバーエレテック(株),東証STD,"1,049",+90,9.38,"679,200",2026/04/21
38,38,2673,夢みつけ隊(株),東証STD,152,+13,9.35,"693,400",2026/04/21
39,39,7456,松田産業(株),東証PRM,"6,950",+580,9.11,"288,400",2026/04/21
40,40,5244,(株)ｊｉｇ．ｊｐ,東証GRT,266,+22,9.02,"2,500,500",2026/04/21
41,41,4125,三和油化工業(株),東証STD,"3,545",+280,8.58,"122,900",2026/04/21
42,42,9984,ソフトバンクグループ(株),東証PRM,"5,181",+407,8.53,"96,285,800",2026/04/21
