順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,6173,(株)アクアライン,東証GRT,13,+4,44.44,"18,332,400",2026/05/29
2,2,8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ(株),東証STD,201,+50,33.11,"469,900",2026/05/29
3,3,6993,大黒屋ホールディングス(株),東証STD,109,+24,28.24,"54,144,700",2026/05/29
4,4,9444,(株)トーシンホールディングス,東証STD,229,+50,27.93,"117,900",2026/05/29
5,5,6926,岡谷電機産業(株),東証STD,238,+50,26.6,"1,582,300",2026/05/29
6,6,5367,(株)ニッカトー,東証STD,"1,449",+300,26.11,"484,900",2026/05/29
7,7,3687,(株)フィックスターズ,東証PRM,"2,704",+487,21.97,"8,120,300",2026/05/29
8,8,4166,かっこ(株),東証GRT,897,+150,20.08,"20,900",2026/05/29
9,9,6994,(株)指月電機製作所,東証STD,"1,315",+219,19.98,"2,036,700",2026/05/29
10,10,3905,データセクション(株),東証GRT,"6,140","+1,000",19.46,"3,273,500",2026/05/29
11,11,3436,(株)ＳＵＭＣＯ,東証PRM,"3,994",+646,19.3,"21,624,300",2026/05/29
12,12,7220,武蔵精密工業(株),東証PRM,"9,460","+1,500",18.84,"4,521,200",2026/05/29
13,13,3063,(株)ジェイグループホールディングス,東証GRT,969,+150,18.32,"47,400",2026/05/29
14,14,6327,北川精機(株),東証STD,"5,910",+910,18.2,"2,346,700",2026/05/29
15,15,4840,(株)トライアイズ,東証STD,978,+150,18.12,"170,000",2026/05/29
16,16,5337,ダントーホールディングス(株),東証STD,840,+124,17.32,"47,300",2026/05/29
17,17,4069,(株)ＢｌｕｅＭｅｍｅ,東証GRT,"1,033",+150,16.99,"33,100",2026/05/29
18,18,4062,イビデン(株),東証PRM,"23,000","+3,260",16.51,"10,164,100",2026/05/29
19,19,4078,堺化学工業(株),東証PRM,"4,940",+700,16.51,"1,140,200",2026/05/29
20,20,6997,日本ケミコン(株),東証PRM,"5,080",+700,15.98,"2,453,900",2026/05/29
21,21,6966,(株)三井ハイテック,東証PRM,"1,022",+140,15.87,"9,429,100",2026/05/29
22,22,9331,(株)キャスター,東証GRT,772,+100,14.88,"4,200",2026/05/29
23,23,4800,オリコン(株),東証STD,"1,332",+171,14.73,"2,147,900",2026/05/29
24,24,6976,太陽誘電(株),東証PRM,"14,815","+1,805",13.87,"27,968,600",2026/05/29
25,25,431A,ユーソナー(株),東証GRT,"2,137",+252,13.37,"80,100",2026/05/29
26,26,6182,(株)メタリアル,東証GRT,576,+67,13.16,"322,000",2026/05/29
27,27,319A,(株)技術承継機構,東証GRT,"18,110","+2,080",12.98,"51,200",2026/05/29
28,28,280A,(株)ＴＭＨ,東証GRT,"2,820",+319,12.75,"496,300",2026/05/29
29,29,6981,(株)村田製作所,東証PRM,"9,625","+1,087",12.73,"75,663,400",2026/05/29
30,30,6864,(株)エヌエフホールディングス,東証STD,"2,043",+228,12.56,"418,300",2026/05/29
31,31,9166,(株)ＧＥＮＤＡ,東証GRT,614,+68,12.45,"8,689,800",2026/05/29
32,32,6656,インスペック(株),東証STD,845,+93,12.37,"372,100",2026/05/29
33,33,3777,(株)環境フレンドリーホールディングス,東証GRT,67,+7,11.67,"14,709,500",2026/05/29
34,34,7501,(株)ティムコ,東証STD,"1,830",+190,11.59,"23,400",2026/05/29
35,35,3858,(株)ユビキタスＡＩ,東証STD,380,+39,11.44,"638,400",2026/05/29
36,36,4061,デンカ(株),東証PRM,"4,477",+447,11.09,"2,406,700",2026/05/29
37,37,3680,(株)ホットリンク,東証GRT,258,+25,10.73,"331,200",2026/05/29
38,38,4487,(株)スペースマーケット,東証GRT,239,+22,10.14,"222,300",2026/05/29
39,39,558A,(株)ＳＱＵＥＥＺＥ,東証GRT,"5,270",+480,10.02,"105,900",2026/05/29
