順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,3294,(株)イーグランド,東証STD,"4,820","+2,004",71.16,"53,000",2026/04/03
2,2,5341,ＡＳＡＨＩ　ＥＩＴＯホールディングス(株),東証STD,219,+50,29.59,"75,000",2026/04/03
3,3,6597,ＨＰＣシステムズ(株),東証GRT,"2,598",+500,23.83,"47,500",2026/04/03
4,4,3778,さくらインターネット(株),東証PRM,"2,967",+500,20.27,"6,892,500",2026/04/03
5,5,281A,インフォメティス(株),東証GRT,517,+80,18.31,"3,599,500",2026/04/03
6,6,4840,(株)トライアイズ,東証STD,970,+150,18.29,"1,845,300",2026/04/03
7,7,5134,(株)ＰＯＰＥＲ,東証GRT,652,+100,18.12,"564,900",2026/04/03
8,8,9417,(株)スマートバリュー,東証STD,385,+57,17.38,"4,345,600",2026/04/03
9,9,4422,ＶＡＬＵＥＮＥＸ(株),東証GRT,541,+80,17.35,"434,500",2026/04/03
10,10,5423,東京製鐵(株),東証PRM,"1,902",+275,16.9,"3,075,000",2026/04/03
11,11,485A,(株)パワーエックス,東証GRT,"5,800",+770,15.31,"3,102,200",2026/04/03
12,12,6976,太陽誘電(株),東証PRM,"4,360",+499,12.92,"4,397,700",2026/04/03
13,13,4069,(株)ＢｌｕｅＭｅｍｅ,東証GRT,"1,231",+137,12.52,"18,900",2026/04/03
14,14,6838,(株)多摩川ホールディングス,東証STD,"1,361",+151,12.48,"1,080,900",2026/04/03
15,15,543A,ＡＲＣＨＩＯＮ(株),東証PRM,519,+54,11.61,"24,584,300",2026/04/03
16,16,2656,(株)ベクターホールディングス,東証STD,206,+21,11.35,"2,366,800",2026/04/03
17,17,5801,古河電気工業(株),東証PRM,"35,800","+3,380",10.43,"12,149,200",2026/04/03
18,18,9265,ヤマシタヘルスケアホールディングス(株),東証STD,"3,885",+345,9.75,"42,000",2026/04/03
19,19,4564,オンコセラピー・サイエンス(株),東証GRT,24,+2,9.09,"194,375,600",2026/04/03
20,20,5381,マイポックス(株),東証STD,955,+79,9.02,"362,500",2026/04/03
21,21,6981,(株)村田製作所,東証PRM,"3,789",+311,8.94,"9,021,300",2026/04/03
22,22,5033,(株)ヌーラボ,東証GRT,754,+61,8.8,"43,900",2026/04/03
23,23,277A,グロービング(株),東証GRT,"2,462",+199,8.79,"257,700",2026/04/03
24,24,4169,ＥＮＥＣＨＡＮＧＥ(株),東証GRT,317,+25,8.56,"5,058,600",2026/04/03
25,25,3011,(株)バナーズ,東証STD,183,+14,8.28,"1,092,500",2026/04/03
26,26,6239,(株)ナガオカ,東証STD,"1,786",+136,8.24,"62,200",2026/04/03
27,27,2934,ジェイフロンティア(株),東証GRT,"1,467",+105,7.71,"18,900",2026/04/03
28,28,6952,カシオ計算機(株),東証PRM,"1,570.5",+112,7.68,"5,022,100",2026/04/03
29,29,3192,(株)白鳩,東証STD,355,+25,7.58,"94,500",2026/04/03
30,30,5803,(株)フジクラ,東証PRM,"4,616",+323,7.52,"51,978,000",2026/04/03
31,31,3856,Ａｂａｌａｎｃｅ(株),東証STD,685,+47,7.37,"542,800",2026/04/03
32,32,5578,ＡＲアドバンストテクノロジ(株),東証GRT,895,+60,7.19,"37,200",2026/04/03
33,33,264A,(株)Ｓｃｈｏｏ,東証GRT,449,+30,7.16,"115,800",2026/04/03
34,34,4784,ＧＭＯインターネット(株),東証PRM,733,+49,7.16,"487,600",2026/04/03
35,35,9213,(株)セイファート,東証STD,900,+60,7.14,"35,000",2026/04/03
36,36,4004,(株)レゾナック・ホールディングス,東証PRM,"11,300",+745,7.06,"2,668,500",2026/04/03
37,37,456A,ＨＵＭＡＮ　ＭＡＤＥ(株),東証GRT,"4,870",+320,7.03,"199,800",2026/04/03
38,38,6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ(株),東証STD,"19,010","+1,220",6.86,"136,400",2026/04/03
39,39,3260,(株)エスポア,名証NXT,926,+59,6.81,"25,300",2026/04/03
40,40,3047,(株)ＴＲＵＣＫ－ＯＮＥ,福岡Q,630,+40,6.78,"5,300",2026/04/03
41,41,429A,テクセンドフォトマスク(株),東証PRM,"3,340",+210,6.71,"1,379,500",2026/04/03
42,42,6255,(株)エヌ・ピー・シー,東証GRT,770,+48,6.65,"1,018,700",2026/04/03
43,43,3710,ジョルダン(株),東証STD,695,+43,6.6,"35,500",2026/04/03
44,44,6753,シャープ(株),東証PRM,637.4,+39.2,6.55,"5,337,200",2026/04/03
45,45,4192,スパイダープラス(株),東証GRT,279,+17,6.49,"230,300",2026/04/03
46,46,6963,ローム(株),東証PRM,"3,608",+219,6.46,"6,007,500",2026/04/03
47,47,5706,三井金属(株),東証PRM,"31,520","+1,870",6.31,"1,404,200",2026/04/03
48,48,1447,ＳＡＡＦホールディングス(株),東証GRT,423,+25,6.28,"510,300",2026/04/03
49,49,8560,(株)宮崎太陽銀行,福証,"2,433",+143,6.24,"1,100",2026/04/03
50,50,6619,ダブル・スコープ(株),東証PRM,240,+14,6.19,"3,404,800",2026/04/03
51,51,9362,兵機海運(株),東証STD,"3,360",+195,6.16,"2,600",2026/04/03
52,52,5741,(株)ＵＡＣＪ,東証PRM,"2,659",+151,6.02,"1,117,300",2026/04/03
53,53,135A,(株)ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,東証GRT,"2,499",+139,5.89,"58,500",2026/04/03
54,54,6772,東京コスモス電機(株),東証STD,"1,270",+70,5.83,200,2026/04/03
55,55,3113,(株)ＵＮＩＶＡ・Ｏａｋホールディングス,東証STD,93,+5,5.68,"1,205,700",2026/04/03
56,56,4379,(株)Ｐｈｏｔｏｓｙｎｔｈ,東証GRT,502,+27,5.68,"106,800",2026/04/03
57,57,6264,(株)マルマエ,東証PRM,"1,609",+86,5.65,"624,500",2026/04/03
58,58,153A,(株)カウリス,東証GRT,"1,275",+68,5.63,"106,700",2026/04/03
59,59,4062,イビデン(株),東証PRM,"8,210",+435,5.59,"4,086,500",2026/04/03
60,60,3776,(株)ブロードバンドタワー,東証STD,227,+12,5.58,"2,352,500",2026/04/03
61,61,9647,(株)協和コンサルタンツ,東証STD,"7,760",+410,5.58,500,2026/04/03
62,62,6659,(株)メディアリンクス,東証STD,38,+2,5.56,"1,810,900",2026/04/03
63,63,9327,(株)イー・ロジット,東証STD,210,+11,5.53,"45,500",2026/04/03
64,64,6407,ＣＫＤ(株),東証PRM,"4,875",+255,5.52,"800,700",2026/04/03
65,65,6247,(株)日阪製作所,東証PRM,"1,671",+87,5.49,"105,300",2026/04/03
66,66,7131,のむら産業(株),東証STD,"3,885",+200,5.43,"7,100",2026/04/03
67,67,6696,(株)トラース・オン・プロダクト,東証GRT,374,+19,5.35,"873,700",2026/04/03
68,68,4811,(株)ドリーム・アーツ,東証GRT,831,+42,5.32,"29,300",2026/04/03
69,69,7488,(株)ヤガミ,名証MN,"6,370",+320,5.29,"4,900",2026/04/03
70,70,7212,(株)エフテック,東証STD,758,+38,5.28,"294,400",2026/04/03
71,71,8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ(株),東証STD,121,+6,5.22,"3,847,600",2026/04/03
72,72,290A,(株)Ｓｙｎｓｐｅｃｔｉｖｅ,東証GRT,"1,209",+59,5.13,"2,247,700",2026/04/03
73,73,6522,(株)アスタリスク,東証GRT,"1,150",+56,5.12,"3,439,200",2026/04/03
74,74,1848,(株)富士ピー・エス,東証STD,599,+29,5.09,"31,400",2026/04/03
75,75,9158,(株)シーユーシー,東証GRT,984,+47,5.02,"210,600",2026/04/03
76,76,6834,(株)精工技研,東証STD,"24,180","+1,150",4.99,"291,300",2026/04/03
77,77,6521,(株)オキサイド,東証GRT,"4,290",+200,4.89,"407,100",2026/04/03
78,78,4754,(株)トスネット,東証STD,"1,494",+69,4.84,800,2026/04/03
79,79,8798,(株)アドバンスクリエイト,東証PRM,196,+9,4.81,"73,500",2026/04/03
80,80,9072,ニッコンホールディングス(株),東証PRM,"4,805",+220,4.8,"373,900",2026/04/03
81,81,4425,Ｋｕｄａｎ(株),東証GRT,"2,189",+100,4.79,"280,400",2026/04/03
82,82,5259,ＢＢＤイニシアティブ(株),東証GRT,"1,057",+48,4.76,"18,400",2026/04/03
83,83,546A,ＭＩＲＡＩＮＩホールディングス(株),東証PRM,"1,874",+85,4.75,"230,100",2026/04/03
84,84,6080,Ｍ＆Ａキャピタルパートナーズ(株),東証PRM,"3,080",+137,4.66,"188,800",2026/04/03
85,85,6707,サンケン電気(株),東証PRM,"8,353",+372,4.66,"201,600",2026/04/03
86,86,8237,(株)松屋,東証PRM,"2,042",+91,4.66,"280,200",2026/04/03
87,87,5631,(株)日本製鋼所,東証PRM,"9,513",+415,4.56,"1,245,400",2026/04/03
88,88,5989,(株)エイチワン,東証PRM,"1,262",+55,4.56,"380,300",2026/04/03
89,89,3775,(株)ガイアックス,名証NXT,418,+18,4.5,"7,400",2026/04/03
90,90,3110,日東紡,東証PRM,"20,480",+870,4.44,"1,170,400",2026/04/03
91,91,4052,フィーチャ(株),東証GRT,306,+13,4.44,"13,000",2026/04/03
92,92,2371,(株)カカクコム,東証PRM,"2,225.5",+94,4.41,"2,050,400",2026/04/03
93,93,6961,(株)エンプラス,東証PRM,"12,550",+530,4.41,"111,800",2026/04/03
94,94,7719,(株)東京衡機,東証STD,502,+21,4.37,"184,600",2026/04/03
95,95,7318,セレンディップ・ホールディングス(株),東証GRT,"1,650",+69,4.36,"166,200",2026/04/03
96,96,5856,(株)エルアイイーエイチ,東証STD,24,+1,4.35,"799,300",2026/04/03
97,97,1684,WisdomTree ブロード上場投信,東証ETF,"2,525",+104.5,4.32,380,2026/04/03
98,98,530A,NZAM 上場投信 東証REIT指数(2・5・8・11月決算型),東証ETF,"1,980",+82,4.32,744,2026/04/03
99,99,3370,(株)フジタコーポレーション,東証STD,412,+17,4.3,"125,200",2026/04/03
100,100,5727,東邦チタニウム(株),東証PRM,"2,569",+106,4.3,"511,500",2026/04/03
101,101,4438,(株)Ｗｅｌｂｙ,東証GRT,341,+14,4.28,"51,000",2026/04/03
102,102,6324,(株)ハーモニック・ドライブ・システムズ,東証PRM,"3,715",+150,4.21,"1,028,000",2026/04/03
103,103,1477,iシェアーズ MSCI 日本株最小分散 ETF,東証ETF,"3,175",+128,4.2,"2,888",2026/04/03
104,104,1893,五洋建設(株),東証PRM,"1,787.5",+71.5,4.17,"3,107,200",2026/04/03
105,105,7721,東京計器(株),東証PRM,"7,270",+290,4.15,"430,400",2026/04/03
106,106,1553,MAXIS S&P東海上場投信,名証ETF,"4,951",+197,4.14,20,2026/04/03
107,107,378A,(株)ヒット,東証GRT,"2,417",+96,4.14,"25,700",2026/04/03
108,108,7453,(株)良品計画,東証PRM,"3,471",+138,4.14,"4,401,600",2026/04/03
109,109,9720,(株)ホテル、ニューグランド,東証STD,"5,790",+230,4.14,500,2026/04/03
110,110,4629,大伸化学(株),東証STD,"1,865",+74,4.13,"4,100",2026/04/03
111,111,7717,(株)ブイ・テクノロジー,東証PRM,"4,415",+175,4.13,"133,000",2026/04/03
112,112,6890,(株)フェローテック,東証STD,"6,580",+260,4.11,"382,400",2026/04/03
113,113,5707,東邦亜鉛(株),東証PRM,"1,244",+49,4.1,"462,200",2026/04/03
114,114,2327,日鉄ソリューションズ(株),東証PRM,"3,820",+150,4.09,"319,200",2026/04/03
115,115,4441,トビラシステムズ(株),東証STD,"1,400",+55,4.09,"22,800",2026/04/03
116,116,2869,iFreeETF NASDAQ100レバレッジ,東証ETF,"51,690","+2,020",4.07,"9,431",2026/04/03
117,117,6524,湖北工業(株),東証STD,"4,095",+160,4.07,"154,300",2026/04/03
118,118,9270,バリュエンスホールディングス(株),東証GRT,"1,977",+77,4.05,"216,800",2026/04/03
119,119,7061,日本ホスピスホールディングス(株),東証GRT,776,+30,4.02,"58,300",2026/04/03
120,120,446A,(株)ノースサンド,東証GRT,"1,297",+50,4.01,"268,600",2026/04/03
121,121,6594,ニデック(株),東証PRM,"2,184",+84,4.0,"3,625,000",2026/04/03
122,122,7734,理研計器(株),東証PRM,"3,130",+120,3.99,"104,200",2026/04/03
123,123,366A,ウェルネス・コミュニケーションズ(株),東証GRT,"1,021",+39,3.97,"43,000",2026/04/03
124,124,2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ(株),東証STD,764,+29,3.95,"56,300",2026/04/03
125,125,6794,フォスター電機(株),東証PRM,"3,290",+125,3.95,"207,900",2026/04/03
126,126,9514,(株)エフオン,東証STD,395,+15,3.95,"679,300",2026/04/03
127,127,5246,(株)ＥＬＥＭＥＮＴＳ,東証GRT,607,+23,3.94,"307,400",2026/04/03
128,128,521A,iFreeETF FANG+ゴールド,東証ETF,"1,725",+65,3.92,"180,650",2026/04/03
129,129,276A,ククレブ・アドバイザーズ(株),東証GRT,"3,585",+135,3.91,"66,000",2026/04/03
130,130,3186,(株)ネクステージ,東証PRM,"3,455",+130,3.91,"474,200",2026/04/03
131,131,8050,セイコーグループ(株),東証PRM,"5,880",+220,3.89,"235,800",2026/04/03
132,132,5711,三菱マテリアル(株),東証PRM,"5,189",+194,3.88,"1,165,400",2026/04/03
133,133,6425,(株)ユニバーサルエンターテインメント,東証STD,723,+27,3.88,"256,600",2026/04/03
134,134,544A,ＧＭＳグループ(株),東証PRM,429,+16,3.87,"243,200",2026/04/03
135,135,9740,ＣＳＰ,東証PRM,"3,230",+120,3.86,"29,400",2026/04/03
136,136,332A,ミーク(株),東証GRT,"1,162",+43,3.84,"111,200",2026/04/03
137,137,2670,(株)エービーシー・マート,東証PRM,"2,656.5",+98,3.83,"895,300",2026/04/03
138,138,3627,テクミラホールディングス(株),東証STD,272,+10,3.82,"574,200",2026/04/03
139,139,9519,(株)レノバ,東証PRM,925,+34,3.82,"2,482,800",2026/04/03
140,140,1623,(NEXT FUNDS)鉄鋼･非鉄上場投信,東証ETF,"62,870","+2,310",3.81,"4,758",2026/04/03
141,141,6086,シンメンテホールディングス(株),東証GRT,"1,090",+40,3.81,"28,900",2026/04/03
142,142,6779,日本電波工業(株),東証PRM,"1,256",+46,3.8,"326,800",2026/04/03
143,143,2980,ＳＲＥホールディングス(株),東証PRM,"3,225",+115,3.7,"378,300",2026/04/03
144,144,3565,アセンテック(株),東証STD,"1,261",+45,3.7,"176,300",2026/04/03
145,145,5342,ジャニス工業(株),名証MN,561,+20,3.7,"1,600",2026/04/03
146,146,6771,池上通信機(株),東証STD,756,+27,3.7,"49,500",2026/04/03
147,147,3498,霞ヶ関キャピタル(株),東証PRM,"6,740",+240,3.69,"1,262,900",2026/04/03
148,148,4651,(株)サニックスホールディングス,東証STD,225,+8,3.69,"529,700",2026/04/03
149,149,9517,イーレックス(株),東証PRM,"1,070",+38,3.68,"864,800",2026/04/03
150,150,2848,GX MSCI 気候変動対応-日本株式,東証ETF,"2,715",+96,3.67,2,2026/04/03
151,151,2039,NEXT NOTES ドバイ原油先物 ベア ETN,東証ETF,566,+20,3.66,"669,326",2026/04/03
152,152,4098,チタン工業(株),東証STD,"1,104",+39,3.66,"46,300",2026/04/03
153,153,2036,NEXT NOTES 金先物 ダブル・ブル ETN,東証ETF,"199,000","+7,000",3.65,"7,843",2026/04/03
154,154,268A,リガク・ホールディングス(株),東証PRM,"2,360",+83,3.65,"3,324,700",2026/04/03
155,155,7616,(株)コロワイド,東証PRM,"1,994.5",+69.5,3.61,"1,066,800",2026/04/03
156,156,7679,(株)薬王堂ホールディングス,東証PRM,"1,984",+69,3.6,"36,400",2026/04/03
157,157,285A,キオクシアホールディングス(株),東証PRM,"21,850",+755,3.58,"28,862,600",2026/04/03
158,158,4657,(株)環境管理センター,東証STD,492,+17,3.58,"62,200",2026/04/03
159,159,5703,日本軽金属ホールディングス(株),東証PRM,"2,873",+99,3.57,"247,300",2026/04/03
160,160,7162,アストマックス(株),東証STD,234,+8,3.54,"56,000",2026/04/03
161,161,2243,GX 半導体,東証ETF,"2,960",+101,3.53,"72,390",2026/04/03
162,162,4366,ダイトーケミックス(株),東証STD,381,+13,3.53,"50,500",2026/04/03
163,163,4412,(株)サイエンスアーツ,東証GRT,"1,848",+63,3.53,"52,500",2026/04/03
164,164,9162,(株)ブリーチ,東証GRT,264,+9,3.53,"17,400",2026/04/03
165,165,5218,(株)オハラ,東証STD,"1,147",+39,3.52,"67,800",2026/04/03
166,166,5016,ＪＸ金属(株),東証PRM,"3,652",+124,3.51,"21,729,100",2026/04/03
167,167,224A,GX ウラニウムビジネス,東証ETF,"1,781",+60,3.49,"18,937",2026/04/03
168,168,7256,河西工業(株),東証STD,267,+9,3.49,"156,000",2026/04/03
169,169,2997,(株)ストレージ王,東証GRT,980,+33,3.48,"7,500",2026/04/03
170,170,6955,ＦＤＫ(株),東証STD,476,+16,3.48,"69,100",2026/04/03
171,171,6327,北川精機(株),東証STD,"1,555",+52,3.46,"138,900",2026/04/03
172,172,6674,(株)ジーエス・ユアサ　コーポレーション,東証PRM,"5,859",+196,3.46,"1,261,100",2026/04/03
173,173,2531,宝ホールディングス(株),東証PRM,"1,665",+55.5,3.45,"691,200",2026/04/03
174,174,6941,山一電機(株),東証PRM,"8,130",+270,3.44,"163,000",2026/04/03
175,175,2237,iFreeETF S&P500レバレッジ,東証ETF,"93,080","+3,080",3.42,396,2026/04/03
176,176,6545,(株)インターネットインフィニティー,東証GRT,758,+25,3.41,"17,800",2026/04/03
177,177,2646,GX メタルビジネス-日本株式,東証ETF,"3,647",+120,3.4,"17,869",2026/04/03
178,178,9722,藤田観光(株),東証PRM,"2,128",+70,3.4,"230,500",2026/04/03
179,179,1542,純銀上場信託(現物国内保管型),東証ETF,"33,550","+1,100",3.39,"71,120",2026/04/03
180,180,6762,ＴＤＫ(株),東証PRM,"2,011.5",+66,3.39,"13,470,000",2026/04/03
181,181,1407,(株)ウエストホールディングス,東証STD,"1,896",+62,3.38,"451,100",2026/04/03
182,182,2375,ギグワークス(株),東証STD,215,+7,3.37,"35,900",2026/04/03
183,183,3323,レカム(株),東証STD,92,+3,3.37,"509,700",2026/04/03
184,184,3697,(株)ＳＨＩＦＴ,東証PRM,653.7,+21.3,3.37,"5,287,000",2026/04/03
185,185,3979,(株)うるる,東証GRT,368,+12,3.37,"2,600",2026/04/03
186,186,8708,アイザワ証券グループ(株),東証PRM,"1,532",+50,3.37,"398,800",2026/04/03
187,187,1921,(株)巴コーポレーション,東証STD,"2,185",+71,3.36,"45,500",2026/04/03
188,188,5888,ＤＡＩＷＡ　ＣＹＣＬＥ(株),東証GRT,"3,540",+115,3.36,"24,700",2026/04/03
189,189,1541,純プラチナ上場信託(現物国内保管型),東証ETF,"9,181",+298,3.35,"38,320",2026/04/03
190,190,5243,ｎｏｔｅ(株),東証GRT,"2,541",+82,3.33,"348,900",2026/04/03
191,191,6278,ユニオンツール(株),東証PRM,"14,260",+460,3.33,"159,500",2026/04/03
192,192,6898,トミタ電機(株),東証STD,"4,030",+130,3.33,"1,200",2026/04/03
193,193,9449,ＧＭＯインターネットグループ(株),東証PRM,"2,997.5",+96.5,3.33,"318,500",2026/04/03
194,194,2511,(NEXT FUNDS)外国債券・FTSE世界国債(除く日本・H無),東証ETF,"1,212",+39,3.32,"72,520",2026/04/03
195,195,269A,(株)Ｓａｐｅｅｔ,東証GRT,"2,121",+68,3.31,"1,400",2026/04/03
196,196,7551,(株)ウェッズ,東証STD,750,+24,3.31,"34,500",2026/04/03
197,197,8141,新光商事(株),東証PRM,"1,311",+42,3.31,"256,100",2026/04/03
198,198,6369,トーヨーカネツ(株),東証PRM,"2,941",+94,3.3,"138,600",2026/04/03
199,199,408A,iシェアーズ AI グローバル・イノベーション アクティブ,東証ETF,222.9,+7.1,3.29,"241,570",2026/04/03
200,200,7745,(株)Ａ＆Ｄホロンホールディングス,東証PRM,"2,669",+85,3.29,"102,600",2026/04/03
201,201,346A,(NEXT FUNDS) S&P500 半導体・半導体製造装置35%,東証ETF,"3,475",+110,3.27,"2,244",2026/04/03
202,202,3996,サインポスト(株),東証STD,221,+7,3.27,"29,700",2026/04/03
203,203,6146,(株)ディスコ,東証PRM,"65,650","+2,080",3.27,"1,898,500",2026/04/03
204,204,6871,(株)日本マイクロニクス,東証PRM,"10,120",+320,3.27,"476,300",2026/04/03
205,205,5802,住友電気工業(株),東証PRM,"9,400",+296,3.25,"6,898,100",2026/04/03
206,206,6351,(株)鶴見製作所,東証PRM,"2,319",+73,3.25,"80,900",2026/04/03
207,207,2011,SMDAM Active ETF 日本高配当株式,東証ETF,798.7,+25.1,3.24,"17,010",2026/04/03
208,208,3660,(株)アイスタイル,東証PRM,446,+14,3.24,"640,800",2026/04/03
209,209,3922,(株)ＰＲ　ＴＩＭＥＳ,東証PRM,"2,165",+68,3.24,"100,300",2026/04/03
210,210,6363,(株)酉島製作所,東証PRM,"3,350",+105,3.24,"429,100",2026/04/03
211,211,9268,(株)オプティマスグループ,東証STD,446,+14,3.24,"228,700",2026/04/03
212,212,4263,サスメド(株),東証GRT,"1,055",+33,3.23,"73,600",2026/04/03
213,213,6993,大黒屋ホールディングス(株),東証STD,128,+4,3.23,"9,851,300",2026/04/03
214,214,471A,ＮＳグループ(株),東証PRM,"1,669",+52,3.22,"407,500",2026/04/03
215,215,7815,東京ボード工業(株),東証STD,386,+12,3.21,600,2026/04/03
216,216,3361,(株)トーエル,東証STD,939,+29,3.19,"7,100",2026/04/03
217,217,4673,川崎地質(株),東証STD,"5,500",+170,3.19,"5,200",2026/04/03
218,218,4902,コニカミノルタ(株),東証PRM,553.1,+17.1,3.19,"2,557,600",2026/04/03
219,219,8285,三谷産業(株),東証STD,745,+23,3.19,"147,500",2026/04/03
220,220,6630,ヤーマン(株),東証PRM,746,+23,3.18,"263,300",2026/04/03
221,221,9561,(株)グラッドキューブ,東証GRT,486,+15,3.18,"7,300",2026/04/03
222,222,4099,四国化成ホールディングス(株),東証PRM,"4,565",+140,3.16,"104,200",2026/04/03
223,223,5857,ＡＲＥホールディングス(株),東証PRM,"3,590",+110,3.16,"331,400",2026/04/03
224,224,7038,フロンティア・マネジメント(株),東証PRM,589,+18,3.15,"20,800",2026/04/03
225,225,413A,iFreeETF キャセイ台湾テックリーダー指数,東証ETF,"2,826",+86,3.14,"9,660",2026/04/03
226,226,4463,日華化学(株),東証STD,"1,674",+51,3.14,"14,900",2026/04/03
227,227,6856,(株)堀場製作所,東証PRM,"18,585",+565,3.14,"148,300",2026/04/03
228,228,1443,技研ホールディングス(株),東証STD,297,+9,3.13,"197,000",2026/04/03
229,229,3482,ロードスターキャピタル(株),東証PRM,"2,998",+91,3.13,"175,900",2026/04/03
230,230,7352,(株)ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,東証GRT,560,+17,3.13,"143,300",2026/04/03
231,231,6632,(株)ＪＶＣケンウッド,東証PRM,"1,224",+37,3.12,"696,800",2026/04/03
232,232,6754,アンリツ(株),東証PRM,"3,002",+90.5,3.11,"884,000",2026/04/03
233,233,3491,(株)ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,東証GRT,"1,528",+46,3.1,"188,700",2026/04/03
234,234,491A,iシェアーズ S&P500 除く金融 ETF(H有),東証ETF,478.4,+14.4,3.1,60,2026/04/03
235,235,3271,(株)ＴＨＥグローバル社,東証STD,"1,068",+32,3.09,"134,500",2026/04/03
