順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,5103,昭和ホールディングス(株),東証STD,15,-4,-21.05,"2,019,000",2026/07/21
2,2,4381,ビープラッツ(株),東証GRT,414,-100,-19.46,"552,200",2026/07/21
3,3,1447,ＳＡＡＦホールディングス(株),東証GRT,338,-67,-16.54,"731,600",2026/07/21
4,4,2034,NEXT NOTES 韓国KOSPI･ベアETN,東証ETF,"2,016",-273,-11.93,"115,393",2026/07/21
5,5,5216,(株)倉元製作所,東証STD,163,-21,-11.41,"1,772,800",2026/07/21
6,6,5075,アップコン(株),名証NXT,"1,069",-136,-11.29,"6,900",2026/07/21
7,7,3776,(株)ブロードバンドタワー,東証STD,252,-30,-10.64,"1,356,900",2026/07/21
8,8,280A,(株)ＴＭＨ,東証GRT,989,-114,-10.34,"366,800",2026/07/21
9,9,5189,櫻護謨(株),東証STD,"3,610",-370,-9.3,"24,600",2026/07/21
10,10,5131,リンカーズ(株),東証GRT,118,-11,-8.53,"203,400",2026/07/21
11,11,1795,(株)マサル,東証STD,"5,050",-450,-8.18,"3,400",2026/07/21
12,12,319A,(株)技術承継機構,東証GRT,"16,250","-1,430",-8.09,"64,300",2026/07/21
13,13,7048,ベルトラ(株),東証GRT,166,-12,-6.74,"457,900",2026/07/21
14,14,3133,(株)海帆,東証GRT,99,-7,-6.6,"1,868,600",2026/07/21
15,15,1366,iFreeETF 日経平均ダブルインバース・インデックス,東証ETF,71,-5,-6.58,"6,246,665",2026/07/21
16,16,1360,日経平均ベア2倍上場投信,東証ETF,69,-4.6,-6.25,"252,395,560",2026/07/21
17,17,1357,(NEXT FUNDS) 日経ダブルインバース上場投信,東証ETF,"2,811",-184,-6.14,"14,698,349",2026/07/21
18,18,9257,ＹＣＰホールディングス（グローバル）,東証GRT外国,549,-34,-5.83,"5,900",2026/07/21
19,19,1459,楽天 ETF-日経ダブルインバース指数連動型,東証ETF,114,-7,-5.79,"13,271,439",2026/07/21
20,20,4412,(株)サイエンスアーツ,東証GRT,"1,186",-72,-5.72,"117,800",2026/07/21
21,21,5592,(株)くすりの窓口,東証GRT,"2,307",-135,-5.53,"136,000",2026/07/21
22,22,1356,TOPIXベア2倍上場投信,東証ETF,110.6,-6.4,-5.47,"4,968,550",2026/07/21
23,23,6613,(株)ＱＤレーザ,東証GRT,"1,676",-90,-5.1,"3,180,900",2026/07/21
24,24,1466,iFreeETF JPX日経400ダブルインバース・インデックス,東証ETF,206,-11,-5.07,"2,063",2026/07/21
25,25,584A,ＬｉＮＫＸ(株),東証GRT,"2,800",-148,-5.02,"224,300",2026/07/21
26,26,3168,(株)ＭＥＲＦ,東証STD,"1,180",-62,-4.99,"231,300",2026/07/21
27,27,5029,サークレイス(株),東証GRT,761,-38,-4.76,"10,900",2026/07/21
28,28,9818,大丸エナウィン(株),東証STD,"1,459",-72,-4.7,"3,900",2026/07/21
