順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1129,1129,8951,日本ビルファンド投資法人,東証,"135,800",-400,-0.29,"13,923",
1130,1130,1489,(NEXT FUNDS)日経平均高配当株50指数連動型ETF,東証ETF,"3,151",-9,-0.28,"454,133",
1131,1131,178A,GX 革新的優良企業,東証ETF,"1,418",-4,-0.28,"3,841",
1132,1132,2212,山崎製パン(株),東証PRM,"3,557",-10,-0.28,"697,400",
1133,1133,2916,仙波糖化工業(株),東証STD,713,-2,-0.28,"1,400",
1134,1134,3467,アグレ都市デザイン(株),東証STD,"2,528",-7,-0.28,"7,000",
1135,1135,7416,(株)はるやまホールディングス,東証STD,711,-2,-0.28,"5,000",
1136,1136,7698,(株)アイスコ,東証STD,"2,515",-7,-0.28,"1,300",
1137,1137,8341,(株)七十七銀行,東証PRM,"3,243",-9,-0.28,"478,900",
1138,1138,8986,大和証券リビング投資法人,東証,"108,600",-300,-0.28,"3,327",
1139,1139,9509,北海道電力(株),東証PRM,"1,075.5",-3,-0.28,"1,724,000",
1140,1140,9733,(株)ナガセ,東証STD,"2,515",-7,-0.28,"33,000",
1141,1141,1542,純銀上場信託(現物国内保管型),東証ETF,"33,210",-90,-0.27,"90,165",
1142,1142,1762,(株)高松コンストラクショングループ,東証PRM,"3,730",-10,-0.27,"33,100",
1143,1143,2245,(NEXT FUNDS) ブルームバーグ 独国債(7-10年)(H有),東証ETF,713.2,-1.9,-0.27,20,
1144,1144,298A,ＧＶＡ　ＴＥＣＨ(株),東証GRT,367,-1,-0.27,"7,000",
1145,1145,4346,(株)ＮＥＸＹＺ．Ｇｒｏｕｐ,東証STD,739,-2,-0.27,"17,500",
1146,1146,4494,バリオセキュア(株),東証STD,739,-2,-0.27,"3,300",
1147,1147,4767,(株)テー・オー・ダブリュー,東証STD,374,-1,-0.27,"83,800",
1148,1148,496A,One ETF 日本国債 17-20年,東証ETF,983,-2.7,-0.27,"3,320",
1149,1149,5992,中央発條(株),東証STD,"3,640",-10,-0.27,"20,000",
1150,1150,6186,(株)一蔵,東証STD,370,-1,-0.27,"2,200",
1151,1151,6523,ＰＨＣホールディングス(株),東証PRM,"1,116",-3,-0.27,"216,800",
1152,1152,6850,(株)チノー,東証PRM,"1,496",-4,-0.27,"40,300",
1153,1153,6995,(株)東海理化,東証PRM,"2,987",-8,-0.27,"106,400",
1154,1154,7372,(株)デコルテ・ホールディングス,東証GRT,370,-1,-0.27,"5,400",
1155,1155,7562,(株)安楽亭,東証STD,"3,715",-10,-0.27,"5,000",
1156,1156,7883,サンメッセ(株),東証STD,363,-1,-0.27,"1,500",
1157,1157,8113,ユニ・チャーム(株),東証PRM,963.6,-2.6,-0.27,"4,545,400",
1158,1158,1311,(NEXT FUNDS)TOPIX Core30連動型上場投信,東証ETF,"1,899",-5,-0.26,"4,648",
1159,1159,2751,(株)テンポスホールディングス,東証STD,"3,910",-10,-0.26,"11,600",
1160,1160,2848,GX MSCI 気候変動対応-日本株式,東証ETF,"2,709",-7,-0.26,21,
1161,1161,315A,GX 銀行 高配当-日本株式,東証ETF,"1,539",-4,-0.26,"22,954",
1162,1162,3293,アズマハウス(株),東証STD,775,-2,-0.26,"1,700",
1163,1163,3665,(株)エニグモ,東証PRM,385,-1,-0.26,"128,000",
1164,1164,4334,(株)ユークス,東証STD,389,-1,-0.26,"2,200",
1165,1165,5406,(株)神戸製鋼所,東証PRM,"1,923.5",-5,-0.26,"1,463,100",
1166,1166,5533,(株)エリッツホールディングス,東証STD,"1,936",-5,-0.26,500,
1167,1167,5742,エヌアイシ・オートテック(株),東証STD,769,-2,-0.26,"2,700",
1168,1168,6140,旭ダイヤモンド工業(株),東証PRM,"1,152",-3,-0.26,"987,100",
1169,1169,7185,ヒロセ通商(株),東証STD,"3,810",-10,-0.26,"4,400",
1170,1170,9837,モリト(株),東証PRM,"1,926",-5,-0.26,"40,400",
1171,1171,1457,iFreeETF TOPIXインバース(-1倍)指数,東証ETF,"2,002",-5,-0.25,"10,799",
1172,1172,166A,(株)タスキホールディングス,東証GRT,811,-2,-0.25,"255,100",
1173,1173,1879,新日本建設(株),東証PRM,"1,975",-5,-0.25,"104,400",
1174,1174,2087,NZAM 上場投信 NASDAQ100(H有),東証ETF,"2,847",-7,-0.25,"26,646",
1175,1175,211A,(株)カドス・コーポレーション,東証STD,"4,050",-10,-0.25,"2,600",
1176,1176,2162,ｎｍｓホールディングス(株),東証STD,395,-1,-0.25,"12,100",
1177,1177,2555,東証REIT ETF,東証ETF,"1,981",-5,-0.25,"12,430",
1178,1178,2971,エスコンジャパンリート投資法人,東証,"121,300",-300,-0.25,190,
1179,1179,4341,西菱電機(株),東証STD,798,-2,-0.25,"2,600",
1180,1180,443A,iFreeETF 東証REIT指数(2・5・8・11月決算型),東証ETF,"1,964",-5,-0.25,235,
1181,1181,4461,第一工業製薬(株),東証PRM,"8,050",-20,-0.25,"100,800",
1182,1182,5356,美濃窯業(株),東証STD,"1,183",-3,-0.25,"1,800",
1183,1183,5580,(株)プロディライト,東証GRT,"1,565",-4,-0.25,300,
1184,1184,5946,(株)長府製作所,東証PRM,"2,021",-5,-0.25,"39,300",
1185,1185,6225,(株)エコム,名証MN,"1,975",-5,-0.25,200,
1186,1186,6325,(株)タカキタ,東証STD,396,-1,-0.25,"16,100",
1187,1187,6342,(株)太平製作所,東証STD,"2,813",-7,-0.25,300,
1188,1188,6897,(株)ツインバード,東証STD,402,-1,-0.25,"2,400",
1189,1189,7236,(株)ティラド,東証PRM,"8,090",-20,-0.25,"5,700",
1190,1190,7247,(株)ミクニ,東証STD,402,-1,-0.25,"66,500",
1191,1191,8952,ジャパンリアルエステイト投資法人,東証,"120,400",-300,-0.25,"14,261",
1192,1192,9233,アジア航測(株),東証STD,"1,216",-3,-0.25,"4,900",
1193,1193,9357,名港海運(株),名証MN,"2,399",-6,-0.25,"1,400",
1194,1194,2249,iFreeETF S&P500ダブルインバース,東証ETF,"12,720",-30,-0.24,"3,816",
1195,1195,3481,三菱地所物流リート投資法人,東証,"127,000",-300,-0.24,"1,353",
1196,1196,3850,(株)ＮＴＴデータイントラマート,東証STD,"2,865",-7,-0.24,"11,800",
1197,1197,4008,住友精化(株),東証PRM,"1,227",-3,-0.24,"143,500",
1198,1198,4076,(株)シイエヌエス,東証GRT,"1,696",-4,-0.24,"1,000",
1199,1199,4832,ＪＦＥシステムズ(株),東証STD,"2,068",-5,-0.24,"7,600",
1200,1200,532A,NZAM 上場投信 TOPIX高配当40,東証ETF,"2,080",-5,-0.24,103,
1201,1201,6328,荏原実業(株),東証PRM,"2,459",-6,-0.24,"50,800",
1202,1202,6368,オルガノ(株),東証PRM,"14,475",-35,-0.24,"109,200",
1203,1203,6382,トリニティ工業(株),東証STD,"1,232",-3,-0.24,"4,600",
1204,1204,6508,(株)明電舎,東証PRM,"8,220",-20,-0.24,"179,200",
1205,1205,7865,ピープル(株),東証STD,411,-1,-0.24,500,
1206,1206,8255,アクシアル　リテイリング(株),東証PRM,"1,261",-3,-0.24,"209,800",
1207,1207,9306,東陽倉庫(株),東証STD,"2,105",-5,-0.24,"4,300",
1208,1208,9339,(株)コーチ・エィ,東証STD,"1,243",-3,-0.24,"1,300",
1209,1209,1357,(NEXT FUNDS) 日経ダブルインバース上場投信,東証ETF,"4,739",-11,-0.23,"7,221,465",
1210,1210,1620,(NEXT FUNDS)素材･化学上場投信,東証ETF,"35,110",-80,-0.23,390,
1211,1211,1627,(NEXT FUNDS)電力･ガス上場投信,東証ETF,"12,800",-30,-0.23,"2,068",
1212,1212,2053,中部飼料(株),東証PRM,"1,769",-4,-0.23,"35,400",
1213,1213,2851,iシェアーズ MSCI ジャパンSRI,東証ETF,344,-0.8,-0.23,810,
1214,1214,2860,(NEXT FUNDS) ドイツ株式・DAX(H有),東証ETF,"2,991",-7,-0.23,"2,069",
1215,1215,3183,ウイン・パートナーズ(株),東証PRM,"1,315",-3,-0.23,"23,500",
1216,1216,4248,竹本容器(株),東証STD,885,-2,-0.23,"8,000",
1217,1217,4382,ＨＥＲＯＺ(株),東証STD,872,-2,-0.23,"31,800",
1218,1218,493A,One ETF 日本国債 1-3年,東証ETF,993.5,-2.3,-0.23,10,
1219,1219,6417,(株)ＳＡＮＫＹＯ,東証PRM,"1,960",-4.5,-0.23,"493,300",
1220,1220,6788,(株)日本トリム,東証PRM,"4,340",-10,-0.23,"7,800",
1221,1221,7242,カヤバ(株),東証PRM,"4,310",-10,-0.23,"48,300",
1222,1222,7297,(株)カーメイト,東証STD,863,-2,-0.23,300,
1223,1223,7677,(株)ヤシマキザイ,東証STD,"2,600",-6,-0.23,200,
1224,1224,7965,象印マホービン(株),東証PRM,"1,720",-4,-0.23,"128,000",
1225,1225,8897,ＭＩＲＡＲＴＨホールディングス(株),東証PRM,427,-1,-0.23,"740,100",
1226,1226,9330,(株)揚羽,東証GRT,858,-2,-0.23,"1,600",
1227,1227,1869,名工建設(株),名証MN,"1,782",-4,-0.22,"1,400",
1228,1228,2017,iFreeETF JPXプライム150,東証ETF,"1,359",-3,-0.22,"27,417",
1229,1229,2517,MAXIS Jリート･コア上場投信,東証ETF,"1,157",-2.5,-0.22,"8,720",
1230,1230,264A,(株)Ｓｃｈｏｏ,東証GRT,449,-1,-0.22,"82,900",
1231,1231,2853,iシェアーズ 気候リスク調整世界国債(除く日本・H有),東証ETF,628.6,-1.4,-0.22,20,
1232,1232,3402,東レ(株),東証PRM,"1,124",-2.5,-0.22,"3,513,800",
1233,1233,3950,ザ・パック(株),東証PRM,"1,362",-3,-0.22,"72,300",
1234,1234,5659,日本精線(株),東証PRM,"1,360",-3,-0.22,"59,700",
1235,1235,6038,(株)イード,東証GRT,918,-2,-0.22,"5,500",
1236,1236,8135,ゼット(株),東証STD,449,-1,-0.22,"15,800",
1237,1237,1474,One ETF JPX日経400,東証ETF,"33,680",-70,-0.21,30,
1238,1238,1681,上場インデックスファンド海外新興国株式,東証ETF,"2,877",-6,-0.21,"1,853",
1239,1239,1981,(株)協和日成,東証STD,"1,419",-3,-0.21,"2,400",
1240,1240,2769,(株)ヴィレッジヴァンガードコーポレーション,東証STD,950,-2,-0.21,"7,600",
1241,1241,2884,(株)ヨシムラ・フード・ホールディングス,東証PRM,929,-2,-0.21,"91,500",
1242,1242,4577,ダイト(株),東証PRM,"1,440",-3,-0.21,"45,600",
1243,1243,4633,サカタインクス(株),東証PRM,"2,362",-5,-0.21,"145,700",
1244,1244,4716,日本オラクル(株),東証STD,"8,726",-18,-0.21,"191,600",
1245,1245,5482,愛知製鋼(株),東証PRM,"2,831",-6,-0.21,"123,700",
1246,1246,5994,(株)ファインシンター,東証STD,"1,435",-3,-0.21,"13,400",
1247,1247,6182,(株)メタリアル,東証GRT,478,-1,-0.21,"57,300",
1248,1248,6351,(株)鶴見製作所,東証PRM,"2,369",-5,-0.21,"68,700",
1249,1249,6379,レイズネクスト(株),東証PRM,"2,349",-5,-0.21,"64,200",
1250,1250,6486,イーグル工業(株),東証PRM,"2,865",-6,-0.21,"60,500",
1251,1251,7073,(株)ジェイック,東証GRT,"2,375",-5,-0.21,900,
1252,1252,7804,(株)ビーアンドピー,東証STD,"2,410",-5,-0.21,"14,500",
1253,1253,8066,三谷商事(株),東証STD,"2,376",-5,-0.21,"19,200",
1254,1254,8226,(株)理経,東証STD,483,-1,-0.21,"98,900",
1255,1255,8956,NTT都市開発リート投資法人,東証,"141,500",-300,-0.21,"2,409",
1256,1256,9142,九州旅客鉄道(株),東証PRM,"3,738",-8,-0.21,"420,900",
1257,1257,1577,(NEXT FUNDS)野村日本株高配当70連動型ETF,東証ETF,"53,940",-110,-0.2,"1,686",
1258,1258,2058,(株)ヒガシマル,福証,"1,012",-2,-0.2,100,
1259,1259,2300,(株)きょくとう,東証STD,499,-1,-0.2,500,
1260,1260,2683,(株)魚喜,東証STD,"1,003",-2,-0.2,600,
1261,1261,2914,ＪＴ,東証PRM,"6,086",-12,-0.2,"3,304,700",
1262,1262,3553,共和レザー(株),東証STD,976,-2,-0.2,"19,100",
1263,1263,472A,(株)ミラティブ,東証GRT,509,-1,-0.2,"21,500",
1264,1264,486A,(NEXT FUNDS) ユーロ・ストックス50(H無),東証ETF,"1,996",-4,-0.2,"7,326",
1265,1265,4902,コニカミノルタ(株),東証PRM,552,-1.1,-0.2,"1,691,800",
1266,1266,5461,中部鋼鈑(株),東証PRM,"2,501",-5,-0.2,"88,900",
1267,1267,6489,前澤工業(株),東証STD,"2,009",-4,-0.2,"58,100",
1268,1268,6554,(株)エスユーエス,東証GRT,"1,023",-2,-0.2,"5,500",
1269,1269,6977,(株)日本抵抗器製作所,東証STD,978,-2,-0.2,"2,300",
1270,1270,7522,ワタミ(株),東証PRM,992,-2,-0.2,"127,100",
1271,1271,7927,ムトー精工(株),東証STD,"2,021",-4,-0.2,"8,400",
1272,1272,8585,(株)オリエントコーポレーション,東証PRM,983,-2,-0.2,"415,300",
1273,1273,8927,(株)明豊エンタープライズ,東証STD,489,-1,-0.2,"116,300",
1274,1274,8955,日本プライムリアルティ投資法人,東証,"98,800",-200,-0.2,"4,376",
1275,1275,8979,スターツプロシード投資法人,東証,"201,800",-400,-0.2,547,
1276,1276,9902,(株)日伝,東証PRM,"2,445",-5,-0.2,"31,500",
1277,1277,9908,Ｄｅｎｋｅｉ,東証STD,"2,480",-5,-0.2,"3,600",
1278,1278,241A,(株)ＲＯＸＸ,東証GRT,519,-1,-0.19,"7,900",
1279,1279,256A,飛島ホールディングス(株),東証PRM,"2,120",-4,-0.19,"123,000",
