順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,7063,(株)Ｂｉｒｄｍａｎ,東証GRT,106,+30,39.47,"5,476,800",2026/07/02
2,2,7602,(株)レダックス,東証STD,191,+50,35.46,"75,200",2026/07/02
3,3,9941,太洋物産(株),東証STD,"1,431",+300,26.53,"1,028,500",2026/07/02
4,4,6522,(株)アスタリスク,東証GRT,"1,960",+400,25.64,"3,872,600",2026/07/02
5,5,4935,(株)リベルタ,東証STD,308,+58,23.2,"8,235,000",2026/07/02
6,6,3070,(株)ジェリービーンズグループ,東証GRT,80,+13,19.4,"5,592,000",2026/07/02
7,7,4918,(株)アイビー化粧品,東証STD,351,+56,18.98,"1,074,900",2026/07/02
8,8,2438,(株)アスカネット,東証GRT,369,+58,18.65,"4,377,300",2026/07/02
9,9,7376,ＢＣＣ(株),東証GRT,"1,096",+150,15.86,"35,900",2026/07/02
10,10,7878,(株)光・彩,東証STD,"1,796",+238,15.28,"85,000",2026/07/02
11,11,5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ(株),東証GRT,521,+68,15.01,"1,300,400",2026/07/02
12,12,6166,(株)中村超硬,東証GRT,799,+100,14.31,"188,600",2026/07/02
13,13,7603,ジーイエット(株),東証STD,56,+7,14.29,"1,057,300",2026/07/02
14,14,504A,イノバセル(株),東証GRT,463,+49,11.84,"209,400",2026/07/02
15,15,7781,(株)平山ホールディングス,東証STD,835,+86,11.48,"222,500",2026/07/02
16,16,4840,(株)トライアイズ,東証STD,676,+67,11.0,"289,600",2026/07/02
17,17,147A,(株)ソラコム,東証GRT,"1,126",+111,10.94,"226,700",2026/07/02
18,18,4812,(株)電通総研,東証PRM,"2,365",+231,10.82,"1,001,600",2026/07/02
19,19,4828,ビジネスエンジニアリング(株),東証PRM,"1,088",+105,10.68,"430,300",2026/07/02
20,20,6731,(株)ピクセラ,東証STD,115,+11,10.58,"2,163,500",2026/07/02
21,21,5126,ポーターズ(株),東証GRT,"1,601",+152,10.49,"2,200",2026/07/02
22,22,2321,(株)ソフトフロントホールディングス,東証GRT,148,+14,10.45,"857,900",2026/07/02
23,23,4258,(株)網屋,東証GRT,"3,920",+370,10.42,"94,500",2026/07/02
